year,SSB,R
1968,128384,1281685
1969,162597,1000030
1970,193142,1255144
1971,219528,1862887
1972,252665,1319028
1973,278361,1270918
1974,306872,1437243
1975,353076,1159714
1976,324516,1359228
1977,339283,894280
1978,325846,763927
1979,315865,802320
1980,303189,1214142
1981,282283,1158801
1982,277968,1461210
1983,253692,2239035
1984,239257,1227632
1985,233347,1181092
1986,229164,1982571
1987,206693,1518209
1988,200402,2569937
1989,196082,2564022
1990,183361,2863829
1991,171271,3411948
1992,180332,3807647
1993,183954,4174924
1994,174232,3761937
1995,175546,4340681
1996,177293,4070201
1997,183026,3411519
1998,193788,4064648
1999,197256,3096316
2000,196353,2947860
2001,196450,2957175
2002,206021,3945273
2003,197700,3541452
2004,188434,4238019
2005,185861,3872593
2006,188690,3849940
2007,196665,4608930
2008,229212,2592791
2009,279749,1683811
2010,342387,1896634
2011,419101,2616116
2012,467267,4353359
2013,511319,7651250
2014,553236,6541127
2015,610423,398749
