area,assessment,year,ssb,rec
East,VPA,1968,128384,1281685
East,VPA,1969,162597,1000030
East,VPA,1970,193142,1255144
East,VPA,1971,219528,1862887
East,VPA,1972,252665,1319028
East,VPA,1973,278361,1270918
East,VPA,1974,306872,1437243
East,VPA,1975,353076,1159714
East,VPA,1976,324516,1359228
East,VPA,1977,339283,894280
East,VPA,1978,325846,763927
East,VPA,1979,315865,802320
East,VPA,1980,303189,1214142
East,VPA,1981,282283,1158801
East,VPA,1982,277968,1461210
East,VPA,1983,253692,2239035
East,VPA,1984,239257,1227632
East,VPA,1985,233347,1181092
East,VPA,1986,229164,1982571
East,VPA,1987,206693,1518209
East,VPA,1988,200402,2569937
East,VPA,1989,196082,2564022
East,VPA,1990,183361,2863829
East,VPA,1991,171271,3411948
East,VPA,1992,180332,3807647
East,VPA,1993,183954,4174924
East,VPA,1994,174232,3761937
East,VPA,1995,175546,4340681
East,VPA,1996,177293,4070201
East,VPA,1997,183026,3411519
East,VPA,1998,193788,4064648
East,VPA,1999,197256,3096316
East,VPA,2000,196353,2947860
East,VPA,2001,196450,2957175
East,VPA,2002,206021,3945273
East,VPA,2003,197700,3541452
East,VPA,2004,188434,4238019
East,VPA,2005,185861,3872593
East,VPA,2006,188690,3849940
East,VPA,2007,196665,4608930
East,VPA,2008,229212,2592791
East,VPA,2009,279749,1683811
East,VPA,2010,342387,1896634
East,VPA,2011,419101,2616116
East,VPA,2012,467267,4353359
East,VPA,2013,511319,7651250
East,VPA,2014,553236,6541127
East,VPA,2015,610423,398749
West,SS,1950,177490,548121
West,SS,1951,177203,547928
West,SS,1952,176990,547784
West,SS,1953,176833,547678
West,SS,1954,176829,547675
West,SS,1955,176894,547719
West,SS,1956,176998,547789
West,SS,1957,177159,547898
West,SS,1958,177258,547965
West,SS,1959,177161,547899
West,SS,1960,176678,547573
West,SS,1961,176230,1478730
West,SS,1962,175549,519005
West,SS,1963,173529,977977
West,SS,1964,167145,374889
West,SS,1965,155588,214035
West,SS,1966,143254,207238
West,SS,1967,132360,197969
West,SS,1968,122192,283992
West,SS,1969,113233,975117
West,SS,1970,105453,286060
West,SS,1971,98733.2,388779
West,SS,1972,92240.6,1164760
West,SS,1973,86837,875575
West,SS,1974,81078.5,281268
West,SS,1975,74412,167716
West,SS,1976,66589.2,141365
West,SS,1977,57755.8,124005
West,SS,1978,49029.6,144338
West,SS,1979,41862.3,151041
West,SS,1980,35571.6,113423
West,SS,1981,30660,225345
West,SS,1982,27583.4,282606
West,SS,1983,27713.4,131537
West,SS,1984,26606.1,180203
West,SS,1985,24736.1,224005
West,SS,1986,22282,123280
West,SS,1987,19941.1,216286
West,SS,1988,17996.2,101177
West,SS,1989,16147.7,324641
West,SS,1990,14564,188199
West,SS,1991,14002.9,156724
West,SS,1992,13969,84120.7
West,SS,1993,14026.8,52355.5
West,SS,1994,14059.5,486616
West,SS,1995,14214.5,162616
West,SS,1996,14077.3,75897.5
West,SS,1997,13951.2,221775
West,SS,1998,13968.9,125166
West,SS,1999,14311.8,99917
West,SS,2000,14394.2,297185
West,SS,2001,13961.7,226097
West,SS,2002,13306.4,203556
West,SS,2003,12879.2,502627
West,SS,2004,14013.8,189854
West,SS,2005,15438.1,105695
West,SS,2006,15962.5,246847
West,SS,2007,16320.7,60549.2
West,SS,2008,16897.6,205605
West,SS,2009,17284.7,162750
West,SS,2010,18194.2,67866.9
West,SS,2011,19745.7,102210
West,SS,2012,21870.4,158957
West,SS,2013,24854.3,67923.1
West,SS,2014,27428.3,132045
West,SS,2015,28429.5,255727
East,SS,1950,872232,4310760
East,SS,1951,883889,4076350
East,SS,1952,885424,2973690
East,SS,1953,874240,2485450
East,SS,1954,858045,2298250
East,SS,1955,842448,2154110
East,SS,1956,813918,2105840
East,SS,1957,789806,2057400
East,SS,1958,757996,1970460
East,SS,1959,727122,2003300
