Year,Val,Type,Stock
1970,51113,SSB,W
1971,50857,SSB,W
1972,51266,SSB,W
1973,51539,SSB,W
1974,46241,SSB,W
1975,41025,SSB,W
1976,36159,SSB,W
1977,31021,SSB,W
1978,27718,SSB,W
1979,24534,SSB,W
1980,22252,SSB,W
1981,19138,SSB,W
1982,18020,SSB,W
1983,17279,SSB,W
1984,16438,SSB,W
1985,14850,SSB,W
1986,15239,SSB,W
1987,14630,SSB,W
1988,14523,SSB,W
1989,14103,SSB,W
1990,13546,SSB,W
1991,13283,SSB,W
1992,12927,SSB,W
1993,13133,SSB,W
1994,13055,SSB,W
1995,13721,SSB,W
1996,14996,SSB,W
1997,16121,SSB,W
1998,16494,SSB,W
1999,16136,SSB,W
2000,16445,SSB,W
2001,16249,SSB,W
2002,16103,SSB,W
2003,16178,SSB,W
2004,16797,SSB,W
2005,17324,SSB,W
2006,18047,SSB,W
2007,20301,SSB,W
2008,21323,SSB,W
2009,21706,SSB,W
2010,22700,SSB,W
2011,26607,SSB,W
2012,28318,SSB,W
2013,27966,SSB,W
1970,363640,Rec,W
1971,322392,Rec,W
1972,278521,Rec,W
1973,150973,Rec,W
1974,465746,Rec,W
1975,164391,Rec,W
1976,135241,Rec,W
1977,112512,Rec,W
1978,95145,Rec,W
1979,99656,Rec,W
1980,81299,Rec,W
1981,80599,Rec,W
1982,82285,Rec,W
1983,104287,Rec,W
1984,93252,Rec,W
1985,98867,Rec,W
1986,102505,Rec,W
1987,91424,Rec,W
1988,138821,Rec,W
1989,121629,Rec,W
1990,114105,Rec,W
1991,94800,Rec,W
1992,83580,Rec,W
1993,77333,Rec,W
1994,88548,Rec,W
1995,114612,Rec,W
1996,92054,Rec,W
1997,75317,Rec,W
1998,101446,Rec,W
1999,104719,Rec,W
2000,90853,Rec,W
2001,91803,Rec,W
2002,105420,Rec,W
2003,173337,Rec,W
2004,149469,Rec,W
2005,63186,Rec,W
2006,86729,Rec,W
2007,96287,Rec,W
2008,74561,Rec,W
2009,65547,Rec,W
2010,80317,Rec,W
1969.841108,0.909406018,Fapc,W
1970.782691,0.95650869,Fapc,W
1971.790184,0.628908549,Fapc,W
1974.073914,0.245902154,Fapc,W
1974.962925,0.591874926,Fapc,W
1976.016321,0.60332104,Fapc,W
1977.862215,0.309411903,Fapc,W
1979.130998,0.296382753,Fapc,W
1979.974891,0.298848523,Fapc,W
1981.019656,0.359362862,Fapc,W
