Year,No,Name,Index,CV,Stock,Type,Source,Areas
18,1,GOM_Larval,2.249,0.51,2,2,Kimoto,1
19,1,GOM_Larval,4.388,0.245,2,2,Kimoto,1
22,1,GOM_Larval,0.812,0.491,2,2,Kimoto,1
23,1,GOM_Larval,1.184,0.3,2,2,Kimoto,1
24,1,GOM_Larval,0.838,0.347,2,2,Kimoto,1
25,1,GOM_Larval,0.313,0.566,2,2,Kimoto,1
27,1,GOM_Larval,0.346,0.434,2,2,Kimoto,1
28,1,GOM_Larval,0.311,0.47,2,2,Kimoto,1
29,1,GOM_Larval,1.113,0.347,2,2,Kimoto,1
30,1,GOM_Larval,0.617,0.376,2,2,Kimoto,1
31,1,GOM_Larval,0.326,0.359,2,2,Kimoto,1
32,1,GOM_Larval,0.301,0.613,2,2,Kimoto,1
33,1,GOM_Larval,0.422,0.359,2,2,Kimoto,1
34,1,GOM_Larval,0.439,0.693,2,2,Kimoto,1
35,1,GOM_Larval,0.536,0.351,2,2,Kimoto,1
36,1,GOM_Larval,0.22,0.538,2,2,Kimoto,1
37,1,GOM_Larval,0.792,0.518,2,2,Kimoto,1
38,1,GOM_Larval,0.327,0.393,2,2,Kimoto,1
39,1,GOM_Larval,0.114,0.551,2,2,Kimoto,1
40,1,GOM_Larval,0.462,0.529,2,2,Kimoto,1
41,1,GOM_Larval,0.252,0.538,2,2,Kimoto,1
42,1,GOM_Larval,0.461,0.327,2,2,Kimoto,1
43,1,GOM_Larval,0.239,0.649,2,2,Kimoto,1
44,1,GOM_Larval,0.79,0.396,2,2,Kimoto,1
45,1,GOM_Larval,0.554,0.706,2,2,Kimoto,1
46,1,GOM_Larval,0.181,0.304,2,2,Kimoto,1
47,1,GOM_Larval,0.467,0.352,2,2,Kimoto,1
48,1,GOM_Larval,0.387,0.45,2,2,Kimoto,1
49,1,GOM_Larval,0.312,0.392,2,2,Kimoto,1
50,1,GOM_Larval,0.582,0.335,2,2,Kimoto,1
51,1,GOM_Larval,0.392,0.52,2,2,Kimoto,1
52,1,GOM_Larval,1.018,0.4,2,2,Kimoto,1
53,1,GOM_Larval,0.3,0.491,2,2,Kimoto,1
54,1,GOM_Larval,0.978,0.36,2,2,Kimoto,1
17,2,JP_LL_W,0.606,0.435,2,1,Kimoto,3
18,2,JP_LL_W,2.357,0.216,2,1,Kimoto,3
19,2,JP_LL_W,1.135,0.29,2,1,Kimoto,3
20,2,JP_LL_W,0.779,0.256,2,1,Kimoto,3
21,2,JP_LL_W,1.48,0.21,2,1,Kimoto,3
22,2,JP_LL_W,1.929,0.156,2,1,Kimoto,3
23,2,JP_LL_W,0.707,0.25,2,1,Kimoto,3
24,2,JP_LL_W,0.433,0.318,2,1,Kimoto,3
25,2,JP_LL_W,1.015,0.217,2,1,Kimoto,3
26,2,JP_LL_W,1.18,0.209,2,1,Kimoto,3
27,2,JP_LL_W,0.087,0.618,2,1,Kimoto,3
28,2,JP_LL_W,0.78,0.266,2,1,Kimoto,3
29,2,JP_LL_W,1.172,0.206,2,1,Kimoto,3
30,2,JP_LL_W,0.989,0.215,2,1,Kimoto,3
31,2,JP_LL_W,0.816,0.244,2,1,Kimoto,3
32,2,JP_LL_W,0.815,0.261,2,1,Kimoto,3
33,2,JP_LL_W,1.25,0.213,2,1,Kimoto,3
34,2,JP_LL_W,1.225,0.228,2,1,Kimoto,3
35,2,JP_LL_W,1.133,0.221,2,1,Kimoto,3
36,2,JP_LL_W,0.841,0.29,2,1,Kimoto,3
37,2,JP_LL_W,2.109,0.204,2,1,Kimoto,3
38,2,JP_LL_W,1.305,0.254,2,1,Kimoto,3
39,2,JP_LL_W,0.614,0.292,2,1,Kimoto,3
40,2,JP_LL_W,0.656,0.311,2,1,Kimoto,3
41,2,JP_LL_W,0.821,0.273,2,1,Kimoto,3
42,2,JP_LL_W,0.519,0.405,2,1,Kimoto,3
43,2,JP_LL_W,0.607,0.309,2,1,Kimoto,3
44,2,JP_LL_W,0.599,0.399,2,1,Kimoto,3
45,2,JP_LL_W,0.53,0.389,2,1,Kimoto,3
46,2,JP_LL_W,0.641,0.23,2,1,Kimoto,3
47,2,JP_LL_W,1.101,0.23,2,1,Kimoto,3
48,2,JP_LL_W,1.694,0.229,2,1,Kimoto,3
49,2,JP_LL_W,0.729,0.351,2,1,Kimoto,3
