stock 1	mov_t_blk	1	age_grps	1	nsub_year	1
 0.621722 0 0.378278 0 0
 0 0.634378 0.365622 0 0
 0 0 1 0 0
 0 0 0.365848 0.634152 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	1	nsub_year	2
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	1	nsub_year	3
 0.480093 0.173302 0.173302 0.173302 0
 0 0.619323 0.380677 0 0
 0 0 1 0 0
 0 0 0.374297 0.625703 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	1	nsub_year	4
 0.620353 0 0.379647 0 0
 0 0.636376 0.363624 0 0
 0 0 1 0 0
 0 0 0.359723 0.640277 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	2	nsub_year	1
 0.700586 0 0.149707 0.149707 0
 0 0.425248 0.287376 0.287376 0
 0 0.010192 0.979616 0.010192 0
 0 0.199557 0.199557 0.600887 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	2	nsub_year	2
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	2	nsub_year	3
 0.231645 0.256118 0.256118 0.256118 0
 0 0.485514 0.257243 0.257243 0
 0 0.0196417 0.960717 0.0196417 0
 0 0 0.122799 0.877201 0
 0 0 0 0 0
stock 1	mov_t_blk	1	age_grps	2	nsub_year	4
 0.728351 0.0905496 0.0905496 0.0905496 0
 0 0.32279 0.338605 0.338605 0
 0 0.0141141 0.971772 0.0141141 0
 0 0 0.237795 0.762205 0
 0 0 0 0 0
stock 2	mov_t_blk	1 age_grps	1	nsub_year	1
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.80407 0.0979651 0.0979651
 0 0 0.165288 0.669424 0.165288
 0 0 0.0897843 0.0897843 0.820431
stock 2	mov_t_blk	1	age_grps	1	nsub_year	2
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
stock 2	mov_t_blk	1	age_grps	1	nsub_year	3
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.139505 0.430248 0.430248
 0 0 0.00914323 0.981714 0.00914323
 0 0 0.0164656 0.0164656 0.967069
stock 2	mov_t_blk	1	age_grps	1	nsub_year	4
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.443116 0.278442 0.278442
 0 0 0.0187757 0.962449 0.0187757
 0 0 0.0237126 0.0237126 0.952575
stock 2	mov_t_blk	1	age_grps	2	nsub_year	1
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.978832 0.0105841 0.0105841
 0 0 0.367213 0.265573 0.367213
 0 0 0.0128679 0.0128679 0.974264
stock 2	mov_t_blk	1	age_grps	2	nsub_year	2
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
 0 0 0 0 0
stock 2	mov_t_blk	1	age_grps	2	nsub_year	3
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.945299 0.0273505 0.0273505
 0 0 0.243402 0.513197 0.243402
 0 0 0.0111861 0.0111861 0.977628
stock 2	mov_t_blk	1	age_grps	2	nsub_year	4
 0 0 0 0 0
 0 0 0 0 0
 0 0 0.942506 0.028747 0.028747
 0 0 0.18802 0.623961 0.18802
 0 0 0.0224792 0.0224792 0.955042

