Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Days,Start_date,End_date
132813,BFT,216,181,GSL,9,2013-10-30,2013-10-31
132813,BFT,216,181,W_ATL,10,2013-11-02,2013-11-08
132813,BFT,216,181,GSL,11,2013-11-10,2013-12-02
132813,BFT,216,181,W_ATL,12,2013-12-04,2013-12-04
132813,BFT,216,181,GSL,13,2013-12-06,2013-12-12
132813,BFT,216,181,W_ATL,14,2013-12-12,2014-01-06
132813,BFT,216,181,C_ATL,15,2014-01-06,2014-01-19
132813,BFT,216,181,E_ATL,16,2014-01-21,2014-02-13
132813,BFT,216,181,C_ATL,17,2014-02-15,2014-03-15
132813,BFT,216,181,E_ATL,18,2014-03-17,2014-03-26
132813,BFT,216,181,C_ATL,19,2014-03-29,2014-04-01
132813,BFT,216,181,E_ATL,20,2014-04-01,2014-04-01
132814,BFT,213,272,GSL,21,2013-10-31,2013-11-03
132814,BFT,213,272,W_ATL,22,2013-11-05,2014-02-27
132815,BFT,216,238,GSL,23,2013-10-31,2013-11-03
132815,BFT,216,238,W_ATL,24,2013-11-05,2014-06-24
132817,BFT,216,227,GSL,25,2013-11-02,2013-11-03
132817,BFT,216,227,W_ATL,26,2013-11-05,2013-11-05
132817,BFT,216,227,GSL,27,2013-11-05,2013-11-05
132817,BFT,216,227,W_ATL,28,2013-11-05,2014-01-10
132817,BFT,216,227,C_ATL,29,2014-01-10,2014-01-23
132817,BFT,216,227,E_ATL,30,2014-01-23,2014-01-29
132817,BFT,216,227,C_ATL,31,2014-01-29,2014-02-16
140225,BFT,216,249,GSL,32,2014-09-16,2014-09-27
140225,BFT,216,249,W_ATL,33,2014-09-27,2014-09-28
140225,BFT,216,249,GSL,34,2014-09-28,2014-10-01
140225,BFT,216,249,W_ATL,35,2014-10-02,2014-10-14
140225,BFT,216,249,GSL,36,2014-10-14,2014-10-17
140225,BFT,216,249,W_ATL,37,2014-10-17,2014-10-18
140225,BFT,216,249,GSL,38,2014-10-18,2014-10-30
140225,BFT,216,249,W_ATL,39,2014-10-30,2015-01-14
140225,BFT,216,249,GSL,40,2015-01-15,2015-01-16
140225,BFT,216,249,W_ATL,41,2015-01-17,2015-01-17
140225,BFT,216,249,GSL,42,2015-01-18,2015-01-18
140225,BFT,216,249,W_ATL,43,2015-01-18,2015-02-01
140227,BFT,203,204,GSL,44,2014-09-17,2014-11-11
140227,BFT,203,204,W_ATL,45,2014-11-11,2014-11-16
140227,BFT,203,204,GSL,46,2014-11-16,2014-11-16
140227,BFT,203,204,W_ATL,47,2014-11-17,2014-12-10
140228,BFT,216,227,GSL,48,2014-09-17,2014-09-26
140228,BFT,216,227,W_ATL,49,2014-09-26,2014-10-15
140228,BFT,216,227,GSL,50,2014-10-15,2014-10-24
140228,BFT,216,227,W_ATL,51,2014-10-24,2015-01-19
140230,BFT,216,249,GSL,52,2014-09-16,2014-10-18
140230,BFT,216,249,W_ATL,53,2014-10-18,2015-02-01
140234,BFT,279,363,GSL,54,2014-09-17,2014-10-01
