Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
CAN_DFO,A_Hanke,91284,BFT,,181,W_ATL,2009-08-19,2009-10-17,60
CAN_DFO,A_Hanke,93550,BFT,,45,W_ATL,2009-09-11,2010-03-07,178
CAN_DFO,A_Hanke,93557,BFT,259,227,W_ATL,2009-08-12,2009-12-01,112
CAN_DFO,A_Hanke,93558,BFT,244,45,W_ATL,2009-08-16,2009-10-17,63
CAN_DFO,A_Hanke,95418,BFT,274,295,W_ATL,2009-08-08,2009-08-27,20
CAN_DFO,A_Hanke,95418,BFT,274,295,C_ATL,2009-08-30,2009-09-25,27
CAN_DFO,A_Hanke,95418,BFT,274,295,W_ATL,2009-09-25,2009-09-25,1
CAN_DFO,A_Hanke,95418,BFT,274,295,C_ATL,2009-09-28,2009-11-29,63
CAN_DFO,A_Hanke,132813,BFT,216,181,GSL,2013-10-30,2013-10-31,2
CAN_DFO,A_Hanke,132813,BFT,216,181,W_ATL,2013-11-02,2013-11-08,7
CAN_DFO,A_Hanke,132813,BFT,216,181,GSL,2013-11-10,2013-12-02,23
CAN_DFO,A_Hanke,132813,BFT,216,181,W_ATL,2013-12-04,2013-12-04,1
CAN_DFO,A_Hanke,132813,BFT,216,181,GSL,2013-12-06,2013-12-12,7
CAN_DFO,A_Hanke,132813,BFT,216,181,W_ATL,2013-12-12,2014-01-06,26
CAN_DFO,A_Hanke,132813,BFT,216,181,C_ATL,2014-01-06,2014-01-19,14
CAN_DFO,A_Hanke,132813,BFT,216,181,E_ATL,2014-01-21,2014-02-13,24
CAN_DFO,A_Hanke,132813,BFT,216,181,C_ATL,2014-02-15,2014-03-15,29
CAN_DFO,A_Hanke,132813,BFT,216,181,E_ATL,2014-03-17,2014-03-26,10
CAN_DFO,A_Hanke,132813,BFT,216,181,C_ATL,2014-03-29,2014-04-01,4
CAN_DFO,A_Hanke,132813,BFT,216,181,E_ATL,2014-04-01,2014-04-01,1
CAN_DFO,A_Hanke,132814,BFT,213,272,GSL,2013-10-31,2013-11-03,4
CAN_DFO,A_Hanke,132814,BFT,213,272,W_ATL,2013-11-05,2014-02-27,115
CAN_DFO,A_Hanke,132815,BFT,216,238,GSL,2013-10-31,2013-11-03,4
CAN_DFO,A_Hanke,132815,BFT,216,238,W_ATL,2013-11-05,2014-06-24,232
CAN_DFO,A_Hanke,132817,BFT,216,227,GSL,2013-11-02,2013-11-03,2
CAN_DFO,A_Hanke,132817,BFT,216,227,W_ATL,2013-11-05,2013-11-05,1
CAN_DFO,A_Hanke,132817,BFT,216,227,GSL,2013-11-05,2013-11-05,1
CAN_DFO,A_Hanke,132817,BFT,216,227,W_ATL,2013-11-05,2014-01-10,67
CAN_DFO,A_Hanke,132817,BFT,216,227,C_ATL,2014-01-10,2014-01-23,14
CAN_DFO,A_Hanke,132817,BFT,216,227,E_ATL,2014-01-23,2014-01-29,7
CAN_DFO,A_Hanke,132817,BFT,216,227,C_ATL,2014-01-29,2014-02-16,19
