Year,subyear,area,stock,Ino,type,index,CV,Name
2000,2,10,1,1,1,0.02,0.39,FR_AER_SUV
2001,2,10,1,1,1,0.01,0.37,FR_AER_SUV
2002,2,10,1,1,1,0.01,0.5,FR_AER_SUV
2003,2,10,1,1,1,0.01,0.35,FR_AER_SUV
2009,2,10,1,1,1,0.06,0.42,FR_AER_SUV
2010,2,10,1,1,1,0.04,0.52,FR_AER_SUV
2011,2,10,1,1,1,0.09,0.34,FR_AER_SUV
2012,2,10,1,1,1,0.04,0.32,FR_AER_SUV
2014,2,10,1,1,1,0.17,0.38,FR_AER_SUV
2015,2,10,1,1,1,0.09,0.34,FR_AER_SUV
2016,2,10,1,1,1,0.41,0.28,FR_AER_SUV
2001,2,10,1,2,2,5.4971,0.18455,MED_LAR_SUV
2002,2,10,1,2,2,2.7584,0.26073,MED_LAR_SUV
2003,2,10,1,2,2,13.4013,0.25269,MED_LAR_SUV
2004,2,10,1,2,2,9.026,0.19501,MED_LAR_SUV
2005,2,10,1,2,2,3.5611,0.17076,MED_LAR_SUV
2012,2,10,1,2,2,41.0507,0.07322,MED_LAR_SUV
2013,2,10,1,2,2,21.8325,0.08053,MED_LAR_SUV
2014,2,10,1,2,2,25.4069,0.10355,MED_LAR_SUV
2015,2,10,1,2,2,54.2873,0.07075,MED_LAR_SUV
1994,3,4,2,3,2,0.026,0.275,CAN_ACO_SUV
1995,3,4,2,3,2,0.034,0.135,CAN_ACO_SUV
1996,3,4,2,3,2,0.067,0.098,CAN_ACO_SUV
1997,3,4,2,3,2,0.038,0.119,CAN_ACO_SUV
1998,3,4,2,3,2,0.042,0.213,CAN_ACO_SUV
1999,3,4,2,3,2,0.035,0.12,CAN_ACO_SUV
2000,3,4,2,3,2,0.019,0.138,CAN_ACO_SUV
2001,3,4,2,3,2,0.037,0.145,CAN_ACO_SUV
2002,3,4,2,3,2,0.02,0.186,CAN_ACO_SUV
2003,3,4,2,3,2,0.036,0.144,CAN_ACO_SUV
2004,3,4,2,3,2,0.038,0.071,CAN_ACO_SUV
2005,3,4,2,3,2,0.051,0.054,CAN_ACO_SUV
2006,3,4,2,3,2,0.062,0.073,CAN_ACO_SUV
2007,3,4,2,3,2,0.042,0.131,CAN_ACO_SUV
2008,3,4,2,3,2,0.034,0.076,CAN_ACO_SUV
2009,3,4,2,3,2,0.057,0.09,CAN_ACO_SUV
2010,3,4,2,3,2,0.065,0.042,CAN_ACO_SUV
2011,3,4,2,3,2,0.05,0.08,CAN_ACO_SUV
2012,3,4,2,3,2,0.101,0.065,CAN_ACO_SUV
2013,3,4,2,3,2,0.056,0.057,CAN_ACO_SUV
2014,3,4,2,3,2,0.076,0.063,CAN_ACO_SUV
2015,3,4,2,3,2,0.075,0.098,CAN_ACO_SUV
1977,2,1,2,4,2,2.421,0.483,GOM_LAR_SUV
1978,2,1,2,4,2,4.625,0.234,GOM_LAR_SUV
1981,2,1,2,4,2,1.149,0.814,GOM_LAR_SUV
1982,2,1,2,4,2,1.362,1.2,GOM_LAR_SUV
1983,2,1,2,4,2,0.901,1.015,GOM_LAR_SUV
1984,2,1,2,4,2,0.309,0.321,GOM_LAR_SUV
1986,2,1,2,4,2,0.339,0.419,GOM_LAR_SUV
1987,2,1,2,4,2,0.307,0.464,GOM_LAR_SUV
1988,2,1,2,4,2,1.132,0.323,GOM_LAR_SUV
1989,2,1,2,4,2,0.695,0.363,GOM_LAR_SUV
1990,2,1,2,4,2,0.335,0.345,GOM_LAR_SUV
1991,2,1,2,4,2,0.312,0.569,GOM_LAR_SUV
1992,2,1,2,4,2,0.43,0.343,GOM_LAR_SUV
1993,2,1,2,4,2,0.473,0.659,GOM_LAR_SUV
1994,2,1,2,4,2,0.528,0.339,GOM_LAR_SUV
1995,2,1,2,4,2,0.234,0.54,GOM_LAR_SUV
1996,2,1,2,4,2,0.775,0.492,GOM_LAR_SUV
1997,2,1,2,4,2,0.335,0.384,GOM_LAR_SUV
1998,2,1,2,4,2,0.112,0.535,GOM_LAR_SUV
1999,2,1,2,4,2,0.464,0.507,GOM_LAR_SUV
2000,2,1,2,4,2,0.236,0.514,GOM_LAR_SUV
2001,2,1,2,4,2,0.437,0.316,GOM_LAR_SUV
2002,2,1,2,4,2,0.244,0.62,GOM_LAR_SUV
2003,2,1,2,4,2,0.766,0.388,GOM_LAR_SUV
2004,2,1,2,4,2,0.502,0.674,GOM_LAR_SUV
2005,2,1,2,4,2,0.18,0.29,GOM_LAR_SUV
2006,2,1,2,4,2,0.496,0.352,GOM_LAR_SUV
2007,2,1,2,4,2,0.458,0.378,GOM_LAR_SUV
2008,2,1,2,4,2,0.324,0.378,GOM_LAR_SUV
2009,2,1,2,4,2,0.591,0.319,GOM_LAR_SUV
2010,2,1,2,4,2,0.337,0.513,GOM_LAR_SUV
2011,2,1,2,4,2,1.041,0.39,GOM_LAR_SUV
2012,2,1,2,4,2,0.282,0.472,GOM_LAR_SUV
2013,2,1,2,4,2,0.98626,0.34407,GOM_LAR_SUV
2014,2,1,2,4,2,0.26163,0.36953,GOM_LAR_SUV
2015,2,1,2,4,2,0.3888,0.30634,GOM_LAR_SUV
2016,2,1,2,4,2,2.46825,0.26416,GOM_LAR_SUV
2010,2,10,1,5,2,23371,0.256,MED_AER_SUV
2011,2,10,1,5,2,44139,0.287,MED_AER_SUV
2012,2,10,1,5,2,16866,0.303,MED_AER_SUV
2013,2,10,1,5,2,8690,0.353,MED_AER_SUV
2014,2,10,1,5,2,31855,0.267,MED_AER_SUV
