"FleetID","GearGrpCode","GearCode","YearC","TimePeriodID","SquareTypeCode","QuadID","Lat","Lon","Eff1","Eff1Type","DSetType","CatchUnit","BFT"
"021ES00","TP","TRAP",1950,17,"1x1",4,36.00,5.00,4.00,"NO.TRAPS","nw","kg",6725000.00
"021ES00","TP","TRAP",1950,17,"1x1",4,36.00,5.00,4.00,"NO.TRAPS","nw","nr",52928.00
"026YU00","PS","PS",1950,17,"5x5",1,40.00,15.00,14.00,"NO.BOATS","-w","kg",657000.00
"021ES00","TP","TRAP",1951,17,"1x1",4,36.00,5.00,4.00,"NO.TRAPS","nw","kg",3072000.00
"021ES00","TP","TRAP",1951,17,"1x1",4,36.00,5.00,4.00,"NO.TRAPS","nw","nr",28654.00
"026YU00","PS","PS",1951,17,"5x5",1,40.00,15.00,14.00,"NO.BOATS","-w","kg",531000.00
"008FR00","BB","BB",1952,17,"1x1",4,44.00,2.00,4800.00,"D.AT SEA","-w","kg",2362000.00
"021ES00","TP","TRAP",1952,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","kg",4665000.00
"021ES00","TP","TRAP",1952,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","nr",42186.00
"026YU00","PS","PS",1952,17,"5x5",1,40.00,15.00,16.00,"NO.BOATS","-w","kg",279000.00
"008FR00","BB","BB",1953,17,"1x1",4,44.00,2.00,5150.00,"D.AT SEA","-w","kg",2364000.00
"021ES00","TP","TRAP",1953,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","kg",7171000.00
"021ES00","TP","TRAP",1953,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","nr",62447.00
"026YU00","PS","PS",1953,17,"5x5",1,40.00,15.00,21.00,"NO.BOATS","-w","kg",588000.00
"008FR00","BB","BB",1954,17,"1x1",4,44.00,2.00,4850.00,"D.AT SEA","-w","kg",3451000.00
"021ES00","TP","TRAP",1954,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","kg",6348000.00
"021ES00","TP","TRAP",1954,17,"1x1",4,36.00,5.00,5.00,"NO.TRAPS","nw","nr",49139.00
"023TN00","TP","TRAP",1954,4,"5x5",1,35.00,10.00,3.00,"TRAP D","nw","kg",1100.00
"023TN00","TP","TRAP",1954,4,"5x5",1,35.00,10.00,3.00,"TRAP D","nw","nr",33.00
"023TN00","TP","TRAP",1954,5,"5x5",1,35.00,10.00,31.00,"TRAP D","nw","kg",28600.00
