area,assessment,year,ssb,rec
East,VPA,1968,299310,1529917
East,VPA,1969,357546,1143547
East,VPA,1970,403421,1410278
East,VPA,1971,447589,2080238
East,VPA,1972,499955,1418171
East,VPA,1973,539319,1492190
East,VPA,1974,565572,1607950
East,VPA,1975,632042,1326699
East,VPA,1976,568651,1540934
East,VPA,1977,588821,982181
East,VPA,1978,554372,835048
East,VPA,1979,523321,905004
East,VPA,1980,488667,1318696
East,VPA,1981,446600,1259446
East,VPA,1982,437242,1594895
East,VPA,1983,397060,2384091
East,VPA,1984,374016,1318454
East,VPA,1985,364396,1277919
East,VPA,1986,357226,2078900
East,VPA,1987,319162,1623049
East,VPA,1988,308112,2767855
East,VPA,1989,301464,2848144
East,VPA,1990,279778,3106243
East,VPA,1991,258278,3707571
East,VPA,1992,269828,4161186
East,VPA,1993,274546,4461850
East,VPA,1994,260308,3862071
East,VPA,1995,267316,4457741
East,VPA,1996,270709,4110447
East,VPA,1997,272483,3548699
East,VPA,1998,286891,4416325
East,VPA,1999,283529,3317738
East,VPA,2000,280493,3295236
East,VPA,2001,282352,3250832
East,VPA,2002,296801,4270146
East,VPA,2003,286056,3508318
East,VPA,2004,275444,3867135
East,VPA,2005,276725,3067014
East,VPA,2006,277517,2697562
East,VPA,2007,281703,2845146
East,VPA,2008,303802,1696657
East,VPA,2009,333210,1113569
East,VPA,2010,369715,1248431
East,VPA,2011,420674,1679033
East,VPA,2012,439623,2837500
East,VPA,2013,450878,5277994
East,VPA,2014,460363,4384891
East,VPA,2015,483299,396204
West,SS,1950,224443,631041
West,SS,1951,224180,630820
West,SS,1952,223816,630514
West,SS,1953,223862,630553
West,SS,1954,223497,630245
West,SS,1955,223248,630035
West,SS,1956,223193,629988
West,SS,1957,223394,630158
West,SS,1958,223344,630116
West,SS,1959,222554,629447
West,SS,1960,221181,628276
West,SS,1961,220127,1481830
West,SS,1962,218446,617040
West,SS,1963,212430,1082810
West,SS,1964,197883,426797
West,SS,1965,176242,243250
West,SS,1966,158508,233880
West,SS,1967,145820,224963
West,SS,1968,135977,314742
West,SS,1969,128057,1048310
West,SS,1970,120386,329987
West,SS,1971,110941,417401
West,SS,1972,100932,1284010
West,SS,1973,92701.9,947176
West,SS,1974,85060.4,313062
West,SS,1975,77831,184225
West,SS,1976,71538.3,158136
West,SS,1977,65931.8,140383
West,SS,1978,59802.7,165256
West,SS,1979,53997.8,168536
West,SS,1980,47636.7,131892
West,SS,1981,41805.8,247480
West,SS,1982,35997.3,319919
West,SS,1983,34316.2,147655
West,SS,1984,31962.3,208592
West,SS,1985,30175.2,253885
West,SS,1986,28599.4,138159
West,SS,1987,27871.5,245553
West,SS,1988,26888,114961
West,SS,1989,25871.9,364360
West,SS,1990,25343,209010
West,SS,1991,24628.6,178490
West,SS,1992,24124.9,96570
West,SS,1993,23973.8,67305.9
West,SS,1994,24475.7,542815
West,SS,1995,24844.2,191741
West,SS,1996,24669.5,87755
West,SS,1997,24437.2,251585
West,SS,1998,24547.5,141702
West,SS,1999,25550.2,115963
West,SS,2000,25527.9,338219
West,SS,2001,25262.4,250890
West,SS,2002,25348.7,243388
West,SS,2003,24568,559826
West,SS,2004,24762.1,218683
West,SS,2005,25768.4,121215
West,SS,2006,27316.3,279228
West,SS,2007,29237.7,72418.1
