"Year","Subyear","Area","Fleet","Length_category","N"
1984,3,7,17,10,12
1984,3,7,17,15,43
1984,4,7,17,15,13
2006,2,7,1,20,2
1987,2,4,2,20,4
1982,3,7,5,20,232
1957,3,2,17,20,1
1998,2,7,17,20,1
1983,3,7,17,20,2
1984,3,7,17,20,71
1993,3,7,17,20,268
1994,3,7,17,20,22
1984,4,7,17,20,15
1994,4,7,17,20,1
1995,4,7,17,20,1
2017,3,7,1,25,1
1993,4,7,5,25,192
1957,3,2,17,25,3
1998,2,7,17,25,1
1983,3,7,17,25,5
1984,3,7,17,25,23
1993,3,7,17,25,648
1994,3,7,17,25,50
1995,3,7,17,25,28
2004,3,7,17,25,44
1984,4,7,17,25,16
1993,4,7,17,25,23
1994,4,7,17,25,5
1995,4,7,17,25,5
2009,2,7,1,30,1
2015,3,7,1,30,1
2017,3,7,1,30,5
1993,4,7,1,30,15
2016,4,7,1,30,11
1985,1,2,2,30,3
1979,4,7,5,30,141
2007,4,7,5,30,7
1977,2,7,6,30,349
1993,2,7,6,30,249
2010,2,7,7,30,1
1986,2,2,15,30,1
1994,2,2,15,30,1
1979,3,2,15,30,1
1984,3,2,15,30,2
1995,3,2,15,30,1
1957,3,2,17,30,11.3
2009,2,7,17,30,1
2010,2,7,17,30,2
1983,3,7,17,30,3
1984,3,7,17,30,9
1993,3,7,17,30,62
1994,3,7,17,30,69
1995,3,7,17,30,34
2009,3,7,17,30,1
1983,4,7,17,30,32
1984,4,7,17,30,23
1992,4,7,17,30,137
1993,4,7,17,30,172
1994,4,7,17,30,29
1995,4,7,17,30,21
1998,4,7,17,30,9
1999,4,7,17,30,9
2009,4,7,17,30,16
1993,2,7,1,35,1
2015,3,7,1,35,1
2017,3,7,1,35,8
1993,4,7,1,35,27
2015,4,7,1,35,1
2016,4,7,1,35,97
2017,4,7,1,35,29
1986,4,2,2,35,1
1980,1,7,5,35,366
1977,3,7,5,35,205
1982,3,7,5,35,245
1999,3,7,5,35,325
2003,3,7,5,35,287
1975,4,7,5,35,156
2007,4,7,5,35,15
1982,2,7,6,35,291
1995,2,7,6,35,223
1999,2,7,6,35,427
2006,3,7,9,35,1
1986,2,2,15,35,1
1990,2,2,15,35,1
1993,2,2,15,35,2
1979,3,2,15,35,1
1984,3,2,15,35,4
1957,3,2,17,35,19.2
1960,3,2,17,35,1.2
1983,1,4,17,35,1
2011,1,7,17,35,3
2009,2,7,17,35,1
2010,2,7,17,35,9
1992,3,7,17,35,4806
1993,3,7,17,35,32
1994,3,7,17,35,24
1995,3,7,17,35,16
2005,3,7,17,35,6
2009,3,7,17,35,4
1983,4,7,17,35,191
1984,4,7,17,35,12
1991,4,7,17,35,2
1992,4,7,17,35,10173
1993,4,7,17,35,1401
1994,4,7,17,35,29
1995,4,7,17,35,44
1998,4,7,17,35,16
