"Year","Subyear","Area","Fleet","Length_category","N"
2006,2,7,1,0,2
1987,2,4,2,0,4
1982,3,7,5,0,232
1957,3,2,17,0,1
1998,2,7,17,0,1
1983,3,7,17,0,2
1984,3,7,17,0,126
1993,3,7,17,0,268
1994,3,7,17,0,22
1984,4,7,17,0,28
1994,4,7,17,0,1
1995,4,7,17,0,1
2009,4,2,1,25,1
2007,1,7,1,25,13
1993,2,7,1,25,63
2000,2,7,1,25,29
2007,2,7,1,25,2
2009,2,7,1,25,5
1993,3,7,1,25,37
2010,3,7,1,25,1
2015,3,7,1,25,2
2017,3,7,1,25,14
1993,4,7,1,25,76
2004,4,7,1,25,365
2006,4,7,1,25,370
2007,4,7,1,25,12
2013,4,7,1,25,12
2015,4,7,1,25,16
2016,4,7,1,25,165
2017,4,7,1,25,52
1976,1,2,2,25,1
1985,1,2,2,25,8
1987,1,2,2,25,1
1982,4,2,2,25,1
1983,4,2,2,25,2
1984,4,2,2,25,2
1986,4,2,2,25,1
1987,4,2,2,25,1
1990,4,2,2,25,1
1991,2,4,2,25,1
1985,2,7,2,25,2
1953,2,6,3,25,6
1980,1,7,5,25,366
1974,3,7,5,25,197
1977,3,7,5,25,205
1982,3,7,5,25,245
1988,3,7,5,25,266
1990,3,7,5,25,180
1995,3,7,5,25,212
1999,3,7,5,25,325
2003,3,7,5,25,287
1975,4,7,5,25,156
1979,4,7,5,25,285
1993,4,7,5,25,192
1994,4,7,5,25,787
2007,4,7,5,25,106
1977,2,7,6,25,349
1980,2,7,6,25,96
1982,2,7,6,25,782
1985,2,7,6,25,402
1988,2,7,6,25,376
1990,2,7,6,25,3167
1991,2,7,6,25,3203
1993,2,7,6,25,445
1995,2,7,6,25,223
1999,2,7,6,25,427
2010,2,7,7,25,1
2006,3,7,9,25,1
1977,3,2,10,25,1
1958,2,4,12,25,2.5
1982,2,2,15,25,2
1983,2,2,15,25,11
1984,2,2,15,25,1
1985,2,2,15,25,1
1986,2,2,15,25,2
1987,2,2,15,25,1
1989,2,2,15,25,1
1990,2,2,15,25,1
1993,2,2,15,25,2
1994,2,2,15,25,1
1996,2,2,15,25,1
1979,3,2,15,25,2
1984,3,2,15,25,8
1989,3,2,15,25,2
1993,3,2,15,25,1
1995,3,2,15,25,3
1957,3,2,17,25,42.8
1960,3,2,17,25,2.4
1983,1,4,17,25,55
1983,2,4,17,25,64
1988,2,4,17,25,4
1983,3,4,17,25,6
1982,4,4,17,25,22
1993,4,4,17,25,145
1996,4,4,17,25,85
1997,2,6,17,25,25
1998,2,6,17,25,15
1997,3,6,17,25,5
1998,3,6,17,25,35
2002,3,6,17,25,10
2005,3,6,17,25,1
2007,3,6,17,25,1
1992,4,6,17,25,50
2007,4,6,17,25,1
1992,1,7,17,25,221
1994,1,7,17,25,12
2010,1,7,17,25,23
2011,1,7,17,25,4
1993,2,7,17,25,42
1994,2,7,17,25,12
1998,2,7,17,25,1
2004,2,7,17,25,5
2005,2,7,17,25,2
2009,2,7,17,25,2
2010,2,7,17,25,52
2012,2,7,17,25,1
1983,3,7,17,25,8
1984,3,7,17,25,33
1992,3,7,17,25,10555
1993,3,7,17,25,742
1994,3,7,17,25,148
1995,3,7,17,25,78
2004,3,7,17,25,44
2005,3,7,17,25,14
2009,3,7,17,25,16
1983,4,7,17,25,331
1984,4,7,17,25,61
1991,4,7,17,25,28
1992,4,7,17,25,17336
1993,4,7,17,25,1860
1994,4,7,17,25,145
1995,4,7,17,25,257
1996,4,7,17,25,3
1998,4,7,17,25,50
1999,4,7,17,25,122
2003,4,7,17,25,95
2005,4,7,17,25,22
2009,4,7,17,25,90
2002,1,1,1,50,1
1999,2,1,1,50,1
1988,1,2,1,50,6
1994,1,2,1,50,1
2000,2,2,1,50,1
2001,2,2,1,50,1
1988,4,2,1,50,5
1984,1,7,1,50,3
2000,1,7,1,50,6
2007,1,7,1,50,58
2012,1,7,1,50,1
1984,2,7,1,50,2
1993,2,7,1,50,118
1996,2,7,1,50,4
1998,2,7,1,50,909
2000,2,7,1,50,365
2003,2,7,1,50,25
2004,2,7,1,50,2
2005,2,7,1,50,7
2007,2,7,1,50,29
2008,2,7,1,50,19
2009,2,7,1,50,5
2010,2,7,1,50,1
2011,2,7,1,50,22
2012,2,7,1,50,1
2013,2,7,1,50,4
2014,2,7,1,50,1
2016,2,7,1,50,1
