"Year","Subyear","Area","Age","Catch"
1950,1,2,1,9.78656792844647
1951,1,2,1,14.2225227991849
1952,1,2,1,5.47970895797101
1953,1,2,1,21.0398850215829
1954,1,2,1,14.5850900084341
1955,1,2,1,10.35513923386
1956,1,2,1,4.97156552076568
1957,1,2,1,11.0967539800516
1958,1,2,1,23.8690079422396
1959,1,2,1,10.4650080851476
1960,1,2,1,6.48226222597072
1961,1,2,1,4.33981962586175
1962,1,2,1,6.1526556721078
1963,1,2,1,8.32256548503867
1964,1,2,1,13.1567949416948
1950,2,2,1,0.0556840837584192
1951,2,2,1,0.00146537062522156
1953,2,2,1,0.00732685312610779
1954,2,2,1,0.0190498181278803
1955,2,2,1,0.00586148250088623
1956,2,2,1,0.00293074125044312
1957,2,2,1,0.0219805593783234
1958,2,2,1,0.00439611187566468
1959,2,2,1,0.0102575943765509
1960,2,2,1,0.0131462272756946
1961,2,2,1,0.0328655681892364
1962,2,2,1,0.186238219739006
1963,2,2,1,0.594549748878134
1964,2,2,1,0.290163825617681
1950,3,2,1,9.86003854832062
1951,3,2,1,14.2537584678379
1952,3,2,1,5.47970895797101
1953,3,2,1,21.0495136426307
1954,3,2,1,14.6262448933802
1955,3,2,1,0.00796414639261035
1956,3,2,1,0.0038514484190976
1957,3,2,1,77.4983706470948
1958,3,2,1,0.0465121811921734
1959,3,2,1,0.242473764522414
1960,3,2,1,0.218742679639786
1961,3,2,1,0.30840365400344
1962,3,2,1,7.50180032330849
1963,3,2,1,10.5431656721541
1964,3,2,1,14.7015680242021
1950,4,2,1,9.78665183693504
1951,4,2,1,14.2243388074624
1952,4,2,1,5.47970895797101
1953,4,2,1,21.0398936750276
1954,4,2,1,14.5861103592859
1955,4,2,1,10.3551461566157
1956,4,2,1,4.97156898214355
1957,4,2,1,11.0967799403856
1958,4,2,1,23.8715168352
1959,4,2,1,10.4791896981328
1960,4,2,1,6.4873032965348
1961,4,2,1,4.35624135480627
1962,4,2,1,6.22123755952052
1963,4,2,1,8.46715628549964
1964,4,2,1,13.15711970365
