Year,Subyear,Age,Catch_offBrasil
1963,2,4,0.0001137
1964,2,4,0.00013618
1962,4,4,1.7395E-05
1963,4,4,1.30013E-05
1959,1,5,4.03289E-05
1961,1,5,5.34242E-05
1962,1,5,3.94441E-05
1963,1,5,0.000260206
1964,1,5,0.000806402
1957,2,5,0.000278894
1958,2,5,0.001079851
1959,2,5,0.001257092
1960,2,5,0.010080996
1961,2,5,0.002384952
1962,2,5,0.022443965
1963,2,5,0.367574632
1964,2,5,0.440247628
1957,3,5,2.14535E-05
1959,3,5,0.000154172
1960,3,5,0.001619633
1961,3,5,0.000342337
1962,3,5,0.009431921
1963,3,5,0.008839877
1964,3,5,0.002686935
1957,4,5,0.002166797
1958,4,5,0.00026581
1959,4,5,0.00340364
1960,4,5,0.013801244
1961,4,5,0.013020237
1962,4,5,0.056235191
1963,4,5,0.04203094
1964,4,5,0.016702269
1958,1,6,0.00443152
1959,1,6,0.04005642
1960,1,6,0.007855192
1961,1,6,0.053063232
1962,1,6,0.039177555
1963,1,6,0.258447578
1964,1,6,0.800952695
1957,2,6,0.001890395
1958,2,6,0.007319421
1959,2,6,0.008520796
1960,2,6,0.068330787
1961,2,6,0.016165627
1962,2,6,0.152129193
1963,2,6,2.491486329
1964,2,6,2.984076845
1957,3,6,0.000145415
1959,3,6,0.001045002
1960,3,6,0.010978159
1961,3,6,0.002320424
1962,3,6,0.063931239
1963,3,6,0.059918263
1964,3,6,0.018212525
1957,4,6,0.014686938
1958,4,6,0.001801705
1959,4,6,0.023070478
1960,4,6,0.093547292
1961,4,6,0.088253484
1962,4,6,0.381172142
1963,4,6,0.284893201
1964,4,6,0.113210953
1958,1,7,0.115675127
1959,1,7,1.04558512
1960,1,7,0.205042576
1961,1,7,1.38509949
1962,1,7,1.022644281
1963,1,7,6.746208099
1964,1,7,20.90711623
1957,2,7,0.011539299
1958,2,7,0.04467901
1959,2,7,0.052012412
1960,2,7,0.417102916
1961,2,7,0.098677775
1962,2,7,0.928622845
1963,2,7,15.20846249
1964,2,7,18.21532
1957,3,7,0.000887641
1959,3,7,0.006378873
1960,3,7,0.067012579
1961,3,7,0.014164269
1962,3,7,0.390247315
1963,3,7,0.365751419
1964,3,7,0.111172395
1957,4,7,0.089651603
1958,4,7,0.01099792
1959,4,7,0.140826177
1960,4,7,0.571028811
1961,4,7,0.538714497
1962,4,7,2.326740531
1963,4,7,1.739037263
1964,4,7,0.691059195
1958,1,8,0.623758998
1959,1,8,5.638144892
1960,1,8,1.105658189
1961,1,8,7.468920001
1962,1,8,5.514440211
1963,1,8,36.37781182
1964,1,8,112.7381677
1957,2,8,0.047731148
1958,2,8,0.18481023
1959,2,8,0.215144109
1960,2,8,1.725304243
1961,2,8,0.40817069
1962,2,8,3.841154964
1963,2,8,62.90827488
1964,2,8,75.34583846
1957,3,8,0.003671638
1959,3,8,0.026385565
1960,3,8,0.277190792
1961,3,8,0.058589073
1962,3,8,1.614218754
1963,3,8,1.512893943
1964,3,8,0.459853425
1957,4,8,0.370834836
1958,4,8,0.045491789
1959,4,8,0.582513313
1960,4,8,2.362003223
1961,4,8,2.228338315
1962,4,8,9.624328102
1963,4,8,7.193352663
1964,4,8,2.85849683
1958,1,9,0.775418393
1959,1,9,7.008991073
1960,1,9,1.374485496
1961,1,9,9.284896826
1962,1,9,6.855209108
1963,1,9,45.22263318
1964,1,9,140.1490784
1957,2,9,0.100122227
1958,2,9,0.387663246
1959,2,9,0.451292462
1960,2,9,3.619047727
1961,2,9,0.85619056
1962,2,9,8.057316961
1963,2,9,131.958204
1964,2,9,158.0475945
1957,3,9,0.007701732
1959,3,9,0.055347119
1960,3,9,0.581443366
1961,3,9,0.122898123
1962,3,9,3.386031615
1963,3,9,3.173489781
1964,3,9,0.96460175
1957,4,9,0.777873801
1958,4,9,0.095424883
1959,4,9,1.221896653
1960,4,9,4.954605792
1961,4,9,4.674226442
1962,4,9,20.18826701
1963,4,9,15.08898312
1964,4,9,5.99606504
1958,1,10,0.772908331
1959,1,10,6.986302677
1960,1,10,1.370036229
1961,1,10,9.254841229
1962,1,10,6.83301851
1963,1,10,45.07624564
1964,1,10,139.69541
1957,2,10,0.158817316
1958,2,10,0.614924758
1959,2,10,0.715855606
1960,2,10,5.74065783
1961,2,10,1.358118879
1962,2,10,12.78079296
1963,2,10,209.3166362
1964,2,10,250.7005238
1957,3,10,0.012216753
1959,3,10,0.087793501
1960,3,10,0.922305441
1961,3,10,0.194945225
1962,3,10,5.371039667
1963,3,10,5.033898509
1964,3,10,1.530084433
1957,4,10,1.233890146
1958,4,10,0.151366228
1959,4,10,1.938214447
