Year,subyear,area,stock,Ino,type,index,CV,Name
2000,3,7,1,1,1,0.02193231,0.3754066,FR_AER_SUV1
2001,3,7,1,1,1,0.01138058,0.3660123,FR_AER_SUV1
2002,3,7,1,1,1,0.01090067,0.4944127,FR_AER_SUV1
2003,3,7,1,1,1,0.01106218,0.3079347,FR_AER_SUV1
2009,3,7,1,2,1,0.04522888,0.342682,FR_AER_SUV2
2010,3,7,1,2,1,0.02229604,0.513798,FR_AER_SUV2
2011,3,7,1,2,1,0.05536997,0.2851458,FR_AER_SUV2
2012,3,7,1,2,1,0.0333334,0.2924312,FR_AER_SUV2
2014,3,7,1,2,1,0.12066005,0.3038968,FR_AER_SUV2
2015,3,7,1,2,1,0.069758656,0.3160994,FR_AER_SUV2
2016,3,7,1,2,1,0.322055985,0.2719389,FR_AER_SUV2
2017,3,7,1,2,1,0.111596184,0.1969056,FR_AER_SUV2
2018,3,7,1,2,1,0.04232272,0.1421296,FR_AER_SUV2
2001,2,7,1,3,2,3.329309521,0.26157526,MED_LAR_SUV
2002,2,7,1,3,2,6.069244273,0.46412671,MED_LAR_SUV
2003,2,7,1,3,2,5.033408046,0.357708734,MED_LAR_SUV
2004,2,7,1,3,2,5.404486483,0.419469502,MED_LAR_SUV
2005,2,7,1,3,2,2.428929817,0.178097775,MED_LAR_SUV
2012,2,7,1,3,2,22.66062463,1.83200292,MED_LAR_SUV
2013,2,7,1,3,2,24.76145562,2.223644357,MED_LAR_SUV
2014,2,7,1,3,2,13.33985107,1.390775615,MED_LAR_SUV
2015,2,7,1,3,2,26.99342324,2.784159024,MED_LAR_SUV
2016,2,7,1,3,2,20.06921712,2.059058231,MED_LAR_SUV
2017,2,7,1,3,2,58.83603093,6.134080258,MED_LAR_SUV
1994,3,3,2,4,2,0.026,0.275,CAN_ACO_SUV
1995,3,3,2,4,2,0.034,0.135,CAN_ACO_SUV
1996,3,3,2,4,2,0.067,0.098,CAN_ACO_SUV
1997,3,3,2,4,2,0.038,0.119,CAN_ACO_SUV
1998,3,3,2,4,2,0.042,0.213,CAN_ACO_SUV
1999,3,3,2,4,2,0.035,0.12,CAN_ACO_SUV
2000,3,3,2,4,2,0.019,0.138,CAN_ACO_SUV
2001,3,3,2,4,2,0.037,0.145,CAN_ACO_SUV
2002,3,3,2,4,2,0.02,0.186,CAN_ACO_SUV
2003,3,3,2,4,2,0.036,0.144,CAN_ACO_SUV
2004,3,3,2,4,2,0.038,0.071,CAN_ACO_SUV
2005,3,3,2,4,2,0.051,0.054,CAN_ACO_SUV
2006,3,3,2,4,2,0.062,0.073,CAN_ACO_SUV
2007,3,3,2,4,2,0.042,0.131,CAN_ACO_SUV
2008,3,3,2,4,2,0.034,0.076,CAN_ACO_SUV
2009,3,3,2,4,2,0.057,0.09,CAN_ACO_SUV
2010,3,3,2,4,2,0.065,0.042,CAN_ACO_SUV
2011,3,3,2,4,2,0.05,0.08,CAN_ACO_SUV
