Year,Subyear,Area,Age,Catch
1950,1,2,1,9.786567928
1950,1,2,2,4.150894733
1950,1,2,3,13.65108003
1950,1,2,4,18.53312473
1950,1,2,5,11.60338228
1950,1,2,6,9.987848874
1950,1,2,7,10.45877725
1950,1,2,8,5.450285763
1950,1,2,9,2.638143887
1950,1,2,10,1.055520428
1950,1,2,11,0.427147833
1950,1,2,12,0.212525247
1950,1,2,13,0.131447128
1950,1,2,14,0.093493751
1950,1,2,15,0.071994506
1950,1,2,16,0.058298241
1950,1,2,17,0.048980517
1950,1,2,18,0.042386302
1950,1,2,19,0.037593964
1950,1,2,20,0.034042586
1950,1,2,21,0.031370769
1950,1,2,22,0.029336275
1950,1,2,23,0.027771849
1950,1,2,24,0.026559234
1950,1,2,25,0.025613153
1950,1,2,26,0.02487107
1950,1,2,27,0.024286456
1950,1,2,28,0.023824259
1950,1,2,29,0.02345779
1950,1,2,30,0.023166543
1950,1,2,31,0.022934638
1950,1,2,32,0.022749703
1950,1,2,33,0.022602041
1950,1,2,34,0.022484024
1950,1,2,35,0.022389623
1950,1,4,1,0.124898282
1950,1,4,2,0.04449032
1950,1,4,3,0.030196333
1950,1,4,4,0.163893132
1950,1,4,5,0.535363761
1950,1,4,6,1.688780432
1950,1,4,7,2.801741764
1950,1,4,8,3.724584125
1950,1,4,9,5.163608705
1950,1,4,10,7.024449453
1950,1,4,11,8.146794511
1950,1,4,12,8.514097086
1950,1,4,13,8.650578636
1950,1,4,14,8.703232072
1950,1,4,15,8.619489643
1950,1,4,16,8.298439006
1950,1,4,17,7.708134211
1950,1,4,18,6.914838439
1950,1,4,19,6.03013983
1950,1,4,20,5.154377641
1950,1,4,21,4.352273017
1950,1,4,22,3.653861036
1950,1,4,23,3.065078386
1950,1,4,24,2.578471447
1950,1,4,25,2.180810418
1950,1,4,26,1.857563423
1950,1,4,27,1.59513337
1950,1,4,28,1.38175236
1950,1,4,29,1.207665308
1950,1,4,30,1.064984154
1950,1,4,31,0.94742009
1950,1,4,32,0.849996383
1950,1,4,33,0.768786485
1950,1,4,34,0.700692627
1950,1,4,35,0.643266134
1950,1,7,2,36.60094268
1950,1,7,3,58.67566039
1950,1,7,4,21.09321537
1950,1,7,5,34.53109163
1950,1,7,6,35.01084885
1950,1,7,7,42.75189739
1950,1,7,8,49.11847787
1950,1,7,9,45.08579306
1950,1,7,10,32.18466196
1950,1,7,11,21.71096643
1950,1,7,12,14.04878112
1950,1,7,13,8.787486388
1950,1,7,14,5.467188947
1950,1,7,15,3.449878974
1950,1,7,16,2.225285571
1950,1,7,17,1.470814472
1950,1,7,18,0.996578544
1950,1,7,19,0.691919182
1950,1,7,20,0.491812377
1950,1,7,21,0.357498685
1950,1,7,22,0.265462838
1950,1,7,23,0.201155709
1950,1,7,24,0.155392343
1950,1,7,25,0.122259154
1950,1,7,26,0.097877317
1950,1,7,27,0.079657992
1950,1,7,28,0.065844987
1950,1,7,29,0.055228609
1950,1,7,30,0.046963483
1950,1,7,31,0.040450674
1950,1,7,32,0.035260255
1950,1,7,33,0.031079736
1950,1,7,34,0.027679251
1950,1,7,35,0.024887764
1950,2,2,1,0.055684084
1950,2,2,2,2.759839078
1950,2,2,3,5.023287257
1950,2,2,4,0.914246012
1950,2,2,5,6.215886028
1950,2,2,6,11.25044167
1950,2,2,7,11.86205751
1950,2,2,8,6.218428948
1950,2,2,9,11.17533365
1950,2,2,10,18.18074977
1950,2,2,11,16.58277404
1950,2,2,12,11.71486485
1950,2,2,13,7.785279594
1950,2,2,14,5.279887534
1950,2,2,15,3.756023001
1950,2,2,16,2.819875863
1950,2,2,17,2.22889702
1950,2,2,18,1.843838995
1950,2,2,19,1.584972928
1950,2,2,20,1.40582618
1950,2,2,21,1.278617633
1950,2,2,22,1.186264184
1950,2,2,23,1.117950218
1950,2,2,24,1.066628083
1950,2,2,25,1.027577246
1950,2,2,26,0.997553877
1950,2,2,27,0.974276382
1950,2,2,28,0.956106283
1950,2,2,29,0.941845305
1950,2,2,30,0.930603196
1950,2,2,31,0.921709591
1950,2,2,32,0.914653933
1950,2,2,33,0.909043656
1950,2,2,34,0.904574526
1950,2,2,35,0.901009216
1950,2,4,1,127.219188
1950,2,4,2,48.4053931
1950,2,4,3,32.72285721
1950,2,4,4,153.8056745
1950,2,4,5,476.3550661
1950,2,4,6,826.6111623
