Year,Quarter,Area,Fleet,Catch
1974,1,1,1,0.25
1975,1,1,1,0.13787
1979,1,1,1,7.75
1980,1,1,1,2.5
1981,1,1,1,20.75
1982,1,1,1,7.5
1983,1,1,1,61.38464
1984,1,1,1,68.38464
1985,1,1,1,71.07696
1986,1,1,1,351.61536
1987,1,1,1,57.44893
1988,1,1,1,58.69216
1989,1,1,1,55.82171
1990,1,1,1,171.20592
1991,1,1,1,185.18388
1992,1,1,1,150.40249
1993,1,1,1,26.4618
1994,1,1,1,15.8376
1995,1,1,1,22.2795
1996,1,1,1,16.11429
1997,1,1,1,41.19607
1998,1,1,1,15.96337
1999,1,1,1,64.91564
2000,1,1,1,83.34813
2001,1,1,1,17.8863
2002,1,1,1,22.98942
2003,1,1,1,57.06944
2004,1,1,1,41.4845
2005,1,1,1,29.26557
2006,1,1,1,16.98932
2007,1,1,1,18.86561
2008,1,1,1,14.48213
2009,1,1,1,19.48722
2010,1,1,1,22.17142
2011,1,1,1,13.71976
2012,1,1,1,87.86791
2013,1,1,1,29.17601
2014,1,1,1,51.7005
2015,1,1,1,49.66466
2016,1,1,1,44.7265
1972,2,1,1,6.46875
1974,2,1,1,0.25
1975,2,1,1,27.26161
1976,2,1,1,6.26316
1977,2,1,1,37.00001
1978,2,1,1,16.5
1979,2,1,1,7.75
1980,2,1,1,10
1981,2,1,1,36.53947
1982,2,1,1,21.5
1983,2,1,1,12.24
1984,2,1,1,21.18
1985,2,1,1,11.24
1986,2,1,1,13.16
1987,2,1,1,67.68376
1988,2,1,1,22.80182
1989,2,1,1,40.81493
1990,2,1,1,2.24
1991,2,1,1,42.3458
1992,2,1,1,23.63467
1993,2,1,1,25.28572
1994,2,1,1,29.29957
1995,2,1,1,58.97516
1996,2,1,1,80.57143
1997,2,1,1,23.71896
1998,2,1,1,16.00733
1999,2,1,1,47.61368
2000,2,1,1,55.95388
2001,2,1,1,41.27471
2002,2,1,1,73.37677
2003,2,1,1,61.68528
2004,2,1,1,57.66139
2005,2,1,1,34.26709
2006,2,1,1,17.63802
2007,2,1,1,16.42792
2008,2,1,1,38.89464
2009,2,1,1,48.33864
2010,2,1,1,16.56984
2011,2,1,1,6.18344
2012,2,1,1,59.96144
2013,2,1,1,31.73208
2014,2,1,1,30.01982
2015,2,1,1,8.56547
2016,2,1,1,18.68611
1973,3,1,1,1.05263
1974,3,1,1,0.25
1978,3,1,1,8.25
1979,3,1,1,7.75
1980,3,1,1,3.33333
1981,3,1,1,20.75
1982,3,1,1,7.5
1987,3,1,1,20.16825
1988,3,1,1,0.55897
1989,3,1,1,0.97363
1990,3,1,1,2.49329
1993,3,1,1,0.58804
1994,3,1,1,1.58376
1995,3,1,1,2.62112
1997,3,1,1,2.49673
2000,3,1,1,9.39863
2001,3,1,1,0.76027
2002,3,1,1,1.31454
2003,3,1,1,4.27771
2004,3,1,1,1.47404
2005,3,1,1,3.70641
2006,3,1,1,2.15713
2007,3,1,1,0.93087
2008,3,1,1,0.22009
2009,3,1,1,1.04964
2011,3,1,1,0.64146
2013,3,1,1,3.79347
2014,3,1,1,0.60273
2015,3,1,1,1.0003
2016,3,1,1,0.34716
1974,4,1,1,0.25
1979,4,1,1,7.75
1980,4,1,1,2.5
1981,4,1,1,20.75
1982,4,1,1,7.5
1987,4,1,1,6.31531
1988,4,1,1,0.37264
1989,4,1,1,1.785
1990,4,1,1,3.32439
1991,4,1,1,0.63203
1992,4,1,1,2.1486
1993,4,1,1,1.17608
1994,4,1,1,3.9594
1996,4,1,1,1.34286
