"Year","Subyear","Area","Age","Catch"
1864,1,4,1,0.168616949233109
1865,1,4,1,0.142501475522205
1866,1,4,1,0.122120129709238
1867,1,4,1,0.289021639006354
1868,1,4,1,0.233911631552106
1869,1,4,1,0.309870832074591
1870,1,4,1,0.281116220000618
1871,1,4,1,0.61904589130801
1872,1,4,1,0.677814704220147
1873,1,4,1,0.597740847067969
1874,1,4,1,0.541719137270116
1875,1,4,1,0.540741809293419
1876,1,4,1,1.00053193038555
1877,1,4,1,0.842623955429963
1878,1,4,1,0.914870720944935
1879,1,4,1,0.59744517889307
1880,1,4,1,1.04937292574956
1881,1,4,1,1.55378918299645
1882,1,4,1,0.736300550692822
1883,1,4,1,0.665376882619228
1884,1,4,1,0.408330451272153
1885,1,4,1,0.640338939464581
1886,1,4,1,0.700346877233817
1887,1,4,1,0.693602961368619
1888,1,4,1,0.23144396661744
1889,1,4,1,0.204018802852564
1890,1,4,1,0.56116478857254
1891,1,4,1,0.107321196620933
1892,1,4,1,0.222335411005012
1893,1,4,1,0.401127155975308
1894,1,4,1,0.214569005437117
1895,1,4,1,0.264225734476983
1896,1,4,1,0.672719191353913
1897,1,4,1,0.872865376202061
1898,1,4,1,0.811402384073294
1899,1,4,1,0.810184428775258
1900,1,4,1,0.591216388965048
1901,1,4,1,0.566600425687704
1902,1,4,1,0.383448457202596
1903,1,4,1,0.803071456930411
1904,1,4,1,0.674074748785852
1905,1,4,1,0.854791512326857
1906,1,4,1,1.07233272385629
1907,1,4,1,0.501013603453652
1908,1,4,1,0.402073435265381
1909,1,4,1,0.333549689537455
1910,1,4,1,0.25057983670559
1911,1,4,1,0.274335610233046
1912,1,4,1,0.28360787710222
1913,1,4,1,0.465747235012194
1914,1,4,1,0.625235870377751
1915,1,4,1,0.48236392757196
1916,1,4,1,0.149197407053529
1917,1,4,1,0.248931433706625
1918,1,4,1,0.0965099028079476
1919,1,4,1,0.148853048892786
1920,1,4,1,0.26693190977708
1921,1,4,1,0.141853687014906
1922,1,4,1,0.0961380242204243
1923,1,4,1,0.102999078312432
1924,1,4,1,0.110177675790371
1925,1,4,1,0.066937440102211
1926,1,4,1,0.0830735836712689
1927,1,4,1,0.186294236701884
1928,1,4,1,0.259530326277022
1929,1,4,1,0.122317712260484
1930,1,4,1,0.165547363169113
1931,1,4,1,0.158900121623632
1932,1,4,1,0.17405470330418
1933,1,4,1,0.171724640503417
1934,1,4,1,0.0864240192188215
1935,1,4,1,0.117922206147235
1936,1,4,1,0.307613451426608
1937,1,4,1,0.285917475995889
1938,1,4,1,0.108294996337787
1939,1,4,1,0.0744371092259241
1940,1,4,1,0.0703033999930759
1941,1,4,1,0.108515865404001
1942,1,4,1,0.103449284268485
1943,1,4,1,0.293217445612451
1944,1,4,1,0.171348528004082
1945,1,4,1,0.136197180833528
1946,1,4,1,0.276845614285835
1947,1,4,1,0.171217982389866
1948,1,4,1,0.166885279301834
1949,1,4,1,0.17634101568288
1864,2,4,1,10.8270976312877
1865,2,4,1,9.15019157385221
1866,2,4,1,7.84148078304702
1867,2,4,1,18.5584279475395
1868,2,4,1,15.0197479163687
1869,2,4,1,19.8971797747434
1870,2,4,1,18.0508114606998
1871,2,4,1,39.749683136381
1872,2,4,1,49.4318936169386
1873,2,4,1,43.6582757349777
1874,2,4,1,37.3690908428156
1875,2,4,1,34.7216836099024
1876,2,4,1,64.2453617075526
1877,2,4,1,54.1059002276778
1878,2,4,1,58.7449521577062
1879,2,4,1,38.3626753457312
1880,2,4,1,67.3815009131334
1881,2,4,1,99.7706770241933
1882,2,4,1,47.2787462030342
1883,2,4,1,42.7246519551289
1884,2,4,1,68.3500729893984
1885,2,4,1,105.296008201337
1886,2,4,1,84.7133944857994
1887,2,4,1,70.0963631277712
1888,2,4,1,14.8612961753638
1889,2,4,1,13.1002933403174
1890,2,4,1,36.0330677357718
1891,2,4,1,6.89122344465535
1892,2,4,1,14.2764248362469
1893,2,4,1,25.7568583707517
1894,2,4,1,13.7777345698756
1895,2,4,1,16.966253018408
1896,2,4,1,43.196110452457
1897,2,4,1,56.0477383210458
1898,2,4,1,52.1011254833931
1899,2,4,1,52.0229191050761
1900,2,4,1,37.9627172336778
1901,2,4,1,36.3820965493151
1902,2,4,1,25.7620249406809
1903,2,4,1,64.4413231296327
1904,2,4,1,54.4267179091175
1905,2,4,1,56.9066577681129
1906,2,4,1,82.7771590366645
1907,2,4,1,55.3776717979556
1908,2,4,1,57.5911763711038
1909,2,4,1,56.2597020614389
1910,2,4,1,61.0645368679214
1911,2,4,1,50.0527689036828
1912,2,4,1,68.8511349525935
1913,2,4,1,95.3746504600988
1914,2,4,1,133.815424506152
1915,2,4,1,111.803692216453
1916,2,4,1,74.239507957559
1917,2,4,1,100.885938578999
1918,2,4,1,103.266109347969
1919,2,4,1,92.837613108209
1920,2,4,1,116.414138203085
1921,2,4,1,136.178947303748
1922,2,4,1,120.417505410115
1923,2,4,1,106.511487956161
1924,2,4,1,118.760880146735
1925,2,4,1,79.4391419371674
1926,2,4,1,85.1171281296376
1927,2,4,1,160.146651829121
1928,2,4,1,153.187940484814
1929,2,4,1,151.029882049296
1930,2,4,1,183.768995845243
1931,2,4,1,146.493385891148
1932,2,4,1,94.679514805897
1933,2,4,1,107.215189514295
1934,2,4,1,71.7242431957709
1935,2,4,1,52.7183995341195
1936,2,4,1,80.3019276365813
1937,2,4,1,121.207203782529
1938,2,4,1,68.8371709970853
1939,2,4,1,66.18500719841
1940,2,4,1,68.3212494016791
1941,2,4,1,60.2940903344657
1942,2,4,1,62.8697317435899
1943,2,4,1,127.26551743896
1944,2,4,1,88.9308770971361
1945,2,4,1,68.0778012470251
1946,2,4,1,94.7062823390476
1947,2,4,1,85.032486532301
1948,2,4,1,73.1709054643573
1949,2,4,1,135.426612797317
1864,3,4,1,5.2168446397365
1865,3,4,1,4.40885724782512
1866,3,4,1,3.77827820379322
1867,3,4,1,8.94204879803439
1868,3,4,1,7.2369986931006
1869,3,4,1,9.58710258174683
1870,3,4,1,8.69746281215033
1871,3,4,1,19.1526786275585
1872,3,4,1,21.6681660164312
1873,3,4,1,19.1161826398675
1874,3,4,1,17.0652630639521
1875,3,4,1,16.7300263830172
1876,3,4,1,30.9554861575693
1877,3,4,1,26.0699667808674
1878,3,4,1,28.3052115360908
1879,3,4,1,18.4843735651737
1880,3,4,1,32.4665791172211
1881,3,4,1,48.072728201181
1882,3,4,1,22.7804239051114
1883,3,4,1,20.5861144996633
1884,3,4,1,17.6049341418837
1885,3,4,1,27.3848484001595
1886,3,4,1,26.3579155005848
1887,3,4,1,24.4754978147664
1888,3,4,1,7.16065153674636
1889,3,4,1,6.31214360660407
1890,3,4,1,17.3618935260553
1891,3,4,1,3.32041358753325
1892,3,4,1,6.87884167279996
1893,3,4,1,12.4104846103551
1894,3,4,1,6.63855662766562
