"Year","Quarter","Area","Fleet","Catch"
1973,1,1,1,0.0191640684852002
1974,1,1,1,0.546140452698781
1975,1,1,1,0.13787
1976,1,1,1,2.35702750435287
1977,1,1,1,12.561230412072
1978,1,1,1,2.04802669762043
1979,1,1,1,16.9303540336622
1980,1,1,1,5.46140452698781
1981,1,1,1,45.3296575739988
1982,1,1,1,16.3842135809634
1983,1,1,1,33.5246350783517
1984,1,1,1,37.3476182472432
1985,1,1,1,38.8180031108532
1986,1,1,1,192.031371886245
1987,1,1,1,57.44893
1988,1,1,1,58.69216
1989,1,1,1,55.82171
1990,1,1,1,171.20593
1991,1,1,1,185.18388
1992,1,1,1,150.40249
1993,1,1,1,26.4618
1994,1,1,1,15.8376
1995,1,1,1,22.2795
1996,1,1,1,16.11429
1997,1,1,1,41.19606
1998,1,1,1,15.96337
1999,1,1,1,64.91564
2000,1,1,1,83.34813
2001,1,1,1,17.8863
2002,1,1,1,22.98942
2003,1,1,1,57.06944
2004,1,1,1,41.4845
2005,1,1,1,29.26557
2006,1,1,1,16.98932
2007,1,1,1,18.86561
2008,1,1,1,14.48213
2009,1,1,1,19.48722
2010,1,1,1,22.17142
2011,1,1,1,13.71976
2012,1,1,1,87.86791
2013,1,1,1,29.17601
2014,1,1,1,51.7005
2015,1,1,1,49.66466
2016,1,1,1,44.7265
2017,1,1,1,29.4706
2018,1,1,1,51.2147
2019,1,1,1,35.66821
1972,2,1,1,6.46875
1973,2,1,1,0.0128303540336622
1974,2,1,1,0.36564132327336
1975,2,1,1,27.26161
1976,2,1,1,3.52540116656994
1977,2,1,1,22.4097504352873
1978,2,1,1,15.3711549622751
1979,2,1,1,11.3348810214742
1980,2,1,1,11.1564132327336
1981,2,1,1,46.1377098316889
1982,2,1,1,24.9692396982008
1983,2,1,1,34.6847609982589
1984,2,1,1,46.1842502611724
1985,2,1,1,37.2286737086477
1986,2,1,1,141.725105513639
1987,2,1,1,67.68376
1988,2,1,1,22.80182
1989,2,1,1,40.81493
1990,2,1,1,2.24
1991,2,1,1,42.3458
1992,2,1,1,23.63467
1993,2,1,1,25.28572
1994,2,1,1,29.29957
1995,2,1,1,58.97516
1996,2,1,1,80.57143
1997,2,1,1,23.71896
1998,2,1,1,16.00733
1999,2,1,1,47.61368
2000,2,1,1,55.95388
2001,2,1,1,41.27471
2002,2,1,1,73.37677
2003,2,1,1,61.68528
2004,2,1,1,57.66139
2005,2,1,1,34.26709
2006,2,1,1,17.63802
2007,2,1,1,16.42792
2008,2,1,1,38.89464
2009,2,1,1,48.33864
2010,2,1,1,16.56984
2011,2,1,1,6.18344
2012,2,1,1,59.96144
2013,2,1,1,31.73208
2014,2,1,1,30.01982
2015,2,1,1,8.56547
2016,2,1,1,18.68611
2017,2,1,1,10.91246
2018,2,1,1,25.13977
2019,2,1,1,10.59023
1973,3,1,1,1.01973948926291
1974,3,1,1,0.0626813697040046
1976,3,1,1,0.270519628554846
1977,3,1,1,1.44167150319211
1978,3,1,1,7.23505513639002
1979,3,1,1,1.94312246082414
1980,3,1,1,1.46014369704005
1981,3,1,1,5.20255368543239
1982,3,1,1,1.88044109112014
1983,3,1,1,3.84767331398723
1984,3,1,1,4.28644290191526
1985,3,1,1,4.45520120719675
1986,3,1,1,22.0397323737667
1987,3,1,1,20.16825
1988,3,1,1,0.55897
1989,3,1,1,0.97363
1990,3,1,1,2.49329
1993,3,1,1,0.58804
1994,3,1,1,1.58376
1995,3,1,1,2.62112
1997,3,1,1,2.49673
2000,3,1,1,9.39863
2001,3,1,1,0.76027
2002,3,1,1,1.31454
2003,3,1,1,4.27771
2004,3,1,1,1.47404
2005,3,1,1,3.70641
2006,3,1,1,2.15713
2007,3,1,1,0.93087
2008,3,1,1,0.22009
2009,3,1,1,1.04964
2011,3,1,1,0.64146
2013,3,1,1,3.79347
2014,3,1,1,0.60273
2015,3,1,1,1.0003
2016,3,1,1,0.34716
2017,3,1,1,1.11662
2018,3,1,1,1.37843
2019,3,1,1,1.232
1973,4,1,1,0.000896088218224028
1974,4,1,1,0.0255368543238537
1976,4,1,1,0.110211700522345
1977,4,1,1,0.587347649448636
1978,4,1,1,0.0957632037144515
1979,4,1,1,0.791642484039466
1980,4,1,1,0.255368543238537
1981,4,1,1,2.11955890887986
1982,4,1,1,0.766105629715612
1983,4,1,1,1.56757060940221
1984,4,1,1,1.74632858966918
1985,4,1,1,1.81508197330238
1986,4,1,1,8.97915022634939
1987,4,1,1,6.31531
1988,4,1,1,0.37264
1989,4,1,1,1.785
1990,4,1,1,3.32439
1991,4,1,1,0.63203
1992,4,1,1,2.1486
1993,4,1,1,1.17608
1994,4,1,1,3.9594
1996,4,1,1,1.34286
1997,4,1,1,1.24837
1998,4,1,1,6.02931
1999,4,1,1,15.77707
2000,4,1,1,0.25484
2001,4,1,1,2.14677
2002,4,1,1,4.10418
2003,4,1,1,2.06989
2004,4,1,1,3.48383
2005,4,1,1,1.08864
2006,4,1,1,5.00829
2007,4,1,1,2.11145
2008,4,1,1,0.13152
2009,4,1,1,1.38282
2010,4,1,1,1.40077
2011,4,1,1,2.13678
2012,4,1,1,7.06221
2013,4,1,1,3.40304
2014,4,1,1,5.00093
2015,4,1,1,1.88192
2016,4,1,1,1.73646
2017,4,1,1,0.76
2018,4,1,1,13.26737
2019,4,1,1,1.8328
1952,1,2,1,0.855257556406982
1953,1,2,1,0.122179650915283
1955,1,2,1,0.610898254576415
1957,1,2,1,1.95487441464453
1958,1,2,1,4.88718603661132
1959,1,2,1,10.1409110259685
1960,1,2,1,0.122179650915283
1962,1,2,1,3.17667092379736
1963,1,2,1,11.7292464878672
1964,1,2,1,12.795435440613
1965,1,2,1,61.4432437537779
1966,1,2,1,178.220014293133
1967,1,2,1,873.796264756569
1968,1,2,1,520.160276993609
1969,1,2,1,173.465237453832
1970,1,2,1,74.0318963042741
1971,1,2,1,2.08464
1972,1,2,1,0.62377
1973,1,2,1,2.07171236696467
1974,1,2,1,5.57823
1975,1,2,1,13.3728000490349
1976,1,2,1,16.8537896594295
1977,1,2,1,13.382209382418
1978,1,2,1,19.2270145636441
1979,1,2,1,9.45316
1980,1,2,1,1.34929
1982,1,2,1,20.4203
1983,1,2,1,7.42852631758195
1984,1,2,1,7.16160422307365
1985,1,2,1,7.69355575989783
1986,1,2,1,69.4897401064283
1987,1,2,1,45.99343
1988,1,2,1,123.56404
1989,1,2,1,80.76207
1990,1,2,1,74.64321
1991,1,2,1,28.07064
1992,1,2,1,66.28566
1993,1,2,1,30.93781
1994,1,2,1,39.17385
1995,1,2,1,23.64687
1996,1,2,1,28.95714
1997,1,2,1,14.48366
1998,1,2,1,12
1999,1,2,1,443.1702
2000,1,2,1,280.19368
2001,1,2,1,53.76165
2002,1,2,1,35.17434
2003,1,2,1,36.50803
2004,1,2,1,17.71849
2005,1,2,1,70.14848
2006,1,2,1,59.73087
2007,1,2,1,55.23158
2008,1,2,1,27.88242
2009,1,2,1,71.37553
2010,1,2,1,91.87809
2011,1,2,1,39.38411
2012,1,2,1,105.567
2013,1,2,1,84.59429
2014,1,2,1,70.206
2015,1,2,1,10.66938
2016,1,2,1,12.941
2017,1,2,1,13.07376
2018,1,2,1,28.53347
2019,1,2,1,25.50256
1952,2,2,1,2.97999148573861
1953,2,2,1,0.42571306939123
1955,2,2,1,2.12856534695615
1957,2,2,1,6.81140911025969
1958,2,2,1,17.0285227756492
1959,2,2,1,35.3341847594721
1960,2,2,1,0.42571306939123
1962,2,2,1,11.068539804172
1963,2,2,1,40.8684546615581
1964,2,2,1,42.1455938697318
1965,2,2,1,121.183251150437
1966,2,2,1,324.114161798821
1967,2,2,1,1498.74142964956
1968,2,2,1,862.499967489149
1969,2,2,1,298.693047986781
1970,2,2,1,126.344033695726
1971,2,2,1,6.56841
1972,2,2,1,21.65996
1973,2,2,1,30.2503847977863
1974,2,2,1,48.61076
1975,2,2,1,21.9560399509651
1976,2,2,1,112.741023482333
1977,2,2,1,5.30449061758203
1978,2,2,1,22.056381336739
1979,2,2,1,34.30573
1980,2,2,1,21.19005
1981,2,2,1,21.58744
1982,2,2,1,17.18842
1983,2,2,1,24.5657064027246
1984,2,2,1,24.9533248190719
1985,2,2,1,27.1857343550447
1986,2,2,1,128.303380161771
1987,2,2,1,50.26997
1988,2,2,1,86.64078
1989,2,2,1,53.83264
1990,2,2,1,7.86764
1991,2,2,1,36.50817
1992,2,2,1,66.78233
1993,2,2,1,54.37483
1994,2,2,1,45.79016
1995,2,2,1,62.57773
1996,2,2,1,99.83366
1997,2,2,1,51.32596
1998,2,2,1,40.28572
1999,2,2,1,42.27736
2000,2,2,1,20.64221
2001,2,2,1,34.46575
2002,2,2,1,106.02838
2003,2,2,1,51.00563
2004,2,2,1,92.62043
2005,2,2,1,62.41865
2006,2,2,1,106.03804
2007,2,2,1,47.4964
2008,2,2,1,66.66381
2009,2,2,1,70.90999
2010,2,2,1,65.53475
2011,2,2,1,134.18781
2012,2,2,1,50.5284638461538
2013,2,2,1,56.92118
2014,2,2,1,90.50865
2015,2,2,1,25.59421
2016,2,2,1,66.7788
2017,2,2,1,60.73091
2018,2,2,1,65.8267
2019,2,2,1,88.72139
1952,3,2,1,1.67177522349936
1953,3,2,1,0.23882503192848
1955,3,2,1,1.1941251596424
1957,3,2,1,3.82120051085568
1958,3,2,1,9.55300127713921
1959,3,2,1,19.8224776500639
1960,3,2,1,0.23882503192848
1962,3,2,1,30.2227208301405
1963,3,2,1,194.817493065134
1964,3,2,1,212.85093816092
1965,3,2,1,111.61582752235
1966,3,2,1,62.5914962452107
1967,3,2,1,36.7428606385696
1968,3,2,1,8.42021528735632
1969,3,2,1,1.40734006385696
1970,3,2,1,1.4038
1971,3,2,1,6.34695
1972,3,2,1,0.90099
1973,3,2,1,0.41948466155811
1974,3,2,1,4.13073
1975,3,2,1,2.66667
1976,3,2,1,102.155593933589
1977,3,2,1,25.53846
1978,3,2,1,31.7730412899106
1979,3,2,1,41.86922
1980,3,2,1,5.63532
1981,3,2,1,4.87693
1982,3,2,1,0.2174
1983,3,2,1,13.3991950319285
1984,3,2,1,13.9988152234994
1985,3,2,1,14.7999469731801
1986,3,2,1,71.9781962707535
1987,3,2,1,22.80591
1988,3,2,1,52.54344
1989,3,2,1,30.59766
1990,3,2,1,31.12864
