Year,subyear,area,stock,Ino,type,index,CV,Name
2000,3,7,1,1,1,0.009522307,0.385015959,FR_AER_SUV1
2001,3,7,1,1,1,0.008102125,0.42080619,FR_AER_SUV1
2002,3,7,1,1,1,0.006862726,0.582837841,FR_AER_SUV1
2003,3,7,1,1,1,0.005180682,0.271401398,FR_AER_SUV1
2009,3,7,1,2,1,0.018135153,0.351919876,FR_AER_SUV2
2010,3,7,1,2,1,0.014167452,0.52547763,FR_AER_SUV2
2011,3,7,1,2,1,0.026454293,0.250234924,FR_AER_SUV2
2012,3,7,1,2,1,0.017982568,0.26661795,FR_AER_SUV2
2014,3,7,1,2,1,0.063351508,0.270598642,FR_AER_SUV2
2015,3,7,1,2,1,0.027393979,0.240885838,FR_AER_SUV2
2016,3,7,1,2,1,0.107440592,0.200390937,FR_AER_SUV2
2017,3,7,1,2,1,0.068639209,0.246583099,FR_AER_SUV2
2018,3,7,1,2,1,0.030892891,0.172816458,FR_AER_SUV2
2019,3,7,1,2,1,0.062522715,0.140099003,FR_AER_SUV2
2020,3,7,1,2,1,0.135689467,0.150420791,FR_AER_SUV2
2021,3,7,1,2,1,0.097496469,0.144809605,FR_AER_SUV2
2001,2,7,1,3,2,4.106139398,0.417725509,MED_LAR_SUV
2002,2,7,1,3,2,9.209271376,0.487213178,MED_LAR_SUV
2003,2,7,1,3,2,2.129047908,0.540872175,MED_LAR_SUV
2004,2,7,1,3,2,10.44779695,0.418110157,MED_LAR_SUV
2005,2,7,1,3,2,1.99650577,0.399297629,MED_LAR_SUV
2008,2,7,1,3,2,2.001275842,0.786529669,MED_LAR_SUV
2011,2,7,1,3,2,9.190538097,0.399454803,MED_LAR_SUV
2012,2,7,1,3,2,24.98381665,0.217995362,MED_LAR_SUV
2013,2,7,1,3,2,39.82797763,0.302743105,MED_LAR_SUV
2014,2,7,1,3,2,18.37846391,0.295973701,MED_LAR_SUV
2015,2,7,1,3,2,34.44105632,0.245182492,MED_LAR_SUV
2016,2,7,1,3,2,30.76387852,0.276943444,MED_LAR_SUV
2017,2,7,1,3,2,67.46011007,0.250118796,MED_LAR_SUV
2019,2,7,1,3,2,44.88824368,0.231986141,MED_LAR_SUV
2021,2,7,1,3,2,NA,NA,MED_LAR_SUV
1994,3,3,2,4,2,0.026,0.275,CAN_ACO_SUV1
1995,3,3,2,4,2,0.034,0.135,CAN_ACO_SUV1
1996,3,3,2,4,2,0.067,0.098,CAN_ACO_SUV1
1997,3,3,2,4,2,0.038,0.119,CAN_ACO_SUV1
1998,3,3,2,4,2,0.042,0.213,CAN_ACO_SUV1
1999,3,3,2,4,2,0.035,0.12,CAN_ACO_SUV1
2000,3,3,2,4,2,0.019,0.138,CAN_ACO_SUV1
2001,3,3,2,4,2,0.037,0.145,CAN_ACO_SUV1
2002,3,3,2,4,2,0.02,0.186,CAN_ACO_SUV1
2003,3,3,2,4,2,0.036,0.144,CAN_ACO_SUV1
2004,3,3,2,4,2,0.038,0.071,CAN_ACO_SUV1
2005,3,3,2,4,2,0.051,0.054,CAN_ACO_SUV1
2006,3,3,2,4,2,0.062,0.073,CAN_ACO_SUV1
2007,3,3,2,4,2,0.042,0.131,CAN_ACO_SUV1
2008,3,3,2,4,2,0.034,0.076,CAN_ACO_SUV1
2009,3,3,2,4,2,0.057,0.09,CAN_ACO_SUV1
2010,3,3,2,4,2,0.065,0.042,CAN_ACO_SUV1
2011,3,3,2,4,2,0.05,0.08,CAN_ACO_SUV1
2012,3,3,2,4,2,0.1,0.065,CAN_ACO_SUV1
2013,3,3,2,4,2,0.056,0.057,CAN_ACO_SUV1
2014,3,3,2,4,2,0.076,0.063,CAN_ACO_SUV1
2015,3,3,2,4,2,0.075,0.098,CAN_ACO_SUV1
2016,3,3,2,4,2,0.088,0.01,CAN_ACO_SUV1
2017,3,3,2,4,2,0.053,0.007,CAN_ACO_SUV1
1977,2,1,2,5,2,3.04478495,0.465,GOM_LAR_SUV
1978,2,1,2,5,2,5.512284313,0.2318,GOM_LAR_SUV
1981,2,1,2,5,2,1.071112748,0.4428,GOM_LAR_SUV
1982,2,1,2,5,2,1.547568471,0.2849,GOM_LAR_SUV
1983,2,1,2,5,2,1.433647089,0.3422,GOM_LAR_SUV
1984,2,1,2,5,2,0.408858174,0.5266,GOM_LAR_SUV
1986,2,1,2,5,2,0.439321129,0.4188,GOM_LAR_SUV
1987,2,1,2,5,2,0.390102057,0.4738,GOM_LAR_SUV
1988,2,1,2,5,2,1.504139878,0.3165,GOM_LAR_SUV
1989,2,1,2,5,2,0.988157841,0.3668,GOM_LAR_SUV
1990,2,1,2,5,2,0.417418013,0.3423,GOM_LAR_SUV
1991,2,1,2,5,2,0.383430418,0.5465,GOM_LAR_SUV
1992,2,1,2,5,2,0.55764831,0.3436,GOM_LAR_SUV
1993,2,1,2,5,2,0.583579586,0.6425,GOM_LAR_SUV
1994,2,1,2,5,2,0.721544044,0.3409,GOM_LAR_SUV
