"Year","subyear","area","stock","Ino","type","index","CV","Name","X"
2000,3,7,1,1,1,0.0121710676136652,0.38,"FR_AER_SUV1",NA
2001,3,7,1,1,1,0.00608553380683262,0.37,"FR_AER_SUV1",NA
2002,3,7,1,1,1,0.00608553380683262,0.49,"FR_AER_SUV1",NA
2003,3,7,1,1,1,0.00608553380683262,0.31,"FR_AER_SUV1",NA
2009,3,7,1,2,1,0.018135153,0.351919876,"FR_AER_SUV2",NA
2010,3,7,1,2,1,0.014167452,0.52547763,"FR_AER_SUV2",NA
2011,3,7,1,2,1,0.026454293,0.250234924,"FR_AER_SUV2",NA
2012,3,7,1,2,1,0.017982568,0.26661795,"FR_AER_SUV2",NA
2013,3,7,1,2,1,NA,NA,"FR_AER_SUV2",NA
2014,3,7,1,2,1,0.063351508,0.270598642,"FR_AER_SUV2",NA
2015,3,7,1,2,1,0.027393979,0.240885838,"FR_AER_SUV2",NA
2016,3,7,1,2,1,0.107440592,0.200390937,"FR_AER_SUV2",NA
2017,3,7,1,2,1,0.068639209,0.246583099,"FR_AER_SUV2",NA
2018,3,7,1,2,1,0.030892891,0.172816458,"FR_AER_SUV2",NA
2019,3,7,1,2,1,0.062522715,0.140099003,"FR_AER_SUV2",NA
2020,3,7,1,2,1,0.135689467,0.150420791,"FR_AER_SUV2",NA
2021,3,7,1,2,1,0.097496469,0.144809605,"FR_AER_SUV2",NA
2001,2,7,1,3,2,4.26555668513134,0.416871801,"MED_LAR_SUV",NA
2002,2,7,1,3,2,8.92733701050722,0.488253982,"MED_LAR_SUV",NA
2003,2,7,1,3,2,2.49116656872104,0.53995123,"MED_LAR_SUV",NA
2004,2,7,1,3,2,10.1267839405117,0.419651788,"MED_LAR_SUV",NA
2005,2,7,1,3,2,2.11883270914118,0.396427257,"MED_LAR_SUV",NA
2006,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
2007,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
2008,2,7,1,3,2,1.825180102753,0.788953071,"MED_LAR_SUV",NA
2009,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
2010,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
2011,2,7,1,3,2,9.25190837952688,0.398378885,"MED_LAR_SUV",NA
2012,2,7,1,3,2,24.7751383277546,0.215505112,"MED_LAR_SUV",NA
2013,2,7,1,3,2,37.5873594604133,0.301817599,"MED_LAR_SUV",NA
2014,2,7,1,3,2,18.7387017285269,0.295828807,"MED_LAR_SUV",NA
2015,2,7,1,3,2,34.1292161958117,0.242478452,"MED_LAR_SUV",NA
2016,2,7,1,3,2,30.2136875061795,0.277800884,"MED_LAR_SUV",NA
2017,2,7,1,3,2,68.0856739888188,0.247795081,"MED_LAR_SUV",NA
2018,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
2019,2,7,1,3,2,43.0380086909014,0.232931564,"MED_LAR_SUV",NA
2020,2,7,1,3,2,99.899351452786,0.231443818,"MED_LAR_SUV",NA
2021,2,7,1,3,2,NA,NA,"MED_LAR_SUV",NA
1994,3,3,2,4,2,0.026,0.275,"CAN_ACO_SUV1",NA
1995,3,3,2,4,2,0.034,0.135,"CAN_ACO_SUV1",NA
1996,3,3,2,4,2,0.067,0.098,"CAN_ACO_SUV1",NA
1997,3,3,2,4,2,0.038,0.119,"CAN_ACO_SUV1",NA
1998,3,3,2,4,2,0.042,0.213,"CAN_ACO_SUV1",NA
1999,3,3,2,4,2,0.035,0.12,"CAN_ACO_SUV1",NA
2000,3,3,2,4,2,0.019,0.138,"CAN_ACO_SUV1",NA
2001,3,3,2,4,2,0.037,0.145,"CAN_ACO_SUV1",NA
