Year,No,Name,Index,CV,Stock,Type,Source,Areas
1977,1,GOM_Larval,2.421,0.483,2,2,Kimoto,1
1978,1,GOM_Larval,4.625,0.234,2,2,Kimoto,1
1981,1,GOM_Larval,1.149,0.814,2,2,Kimoto,1
1982,1,GOM_Larval,1.362,1.2,2,2,Kimoto,1
1983,1,GOM_Larval,0.901,1.015,2,2,Kimoto,1
1984,1,GOM_Larval,0.309,0.321,2,2,Kimoto,1
1986,1,GOM_Larval,0.339,0.419,2,2,Kimoto,1
1987,1,GOM_Larval,0.307,0.464,2,2,Kimoto,1
1988,1,GOM_Larval,1.132,0.323,2,2,Kimoto,1
1989,1,GOM_Larval,0.695,0.363,2,2,Kimoto,1
1990,1,GOM_Larval,0.335,0.345,2,2,Kimoto,1
1991,1,GOM_Larval,0.312,0.569,2,2,Kimoto,1
1992,1,GOM_Larval,0.43,0.343,2,2,Kimoto,1
1993,1,GOM_Larval,0.473,0.659,2,2,Kimoto,1
1994,1,GOM_Larval,0.528,0.339,2,2,Kimoto,1
1995,1,GOM_Larval,0.234,0.54,2,2,Kimoto,1
1996,1,GOM_Larval,0.775,0.492,2,2,Kimoto,1
1997,1,GOM_Larval,0.335,0.384,2,2,Kimoto,1
1998,1,GOM_Larval,0.112,0.535,2,2,Kimoto,1
1999,1,GOM_Larval,0.464,0.507,2,2,Kimoto,1
2000,1,GOM_Larval,0.236,0.514,2,2,Kimoto,1
2001,1,GOM_Larval,0.437,0.316,2,2,Kimoto,1
2002,1,GOM_Larval,0.244,0.62,2,2,Kimoto,1
2003,1,GOM_Larval,0.766,0.388,2,2,Kimoto,1
2004,1,GOM_Larval,0.502,0.674,2,2,Kimoto,1
2005,1,GOM_Larval,0.18,0.29,2,2,Kimoto,1
2006,1,GOM_Larval,0.496,0.352,2,2,Kimoto,1
2007,1,GOM_Larval,0.458,0.378,2,2,Kimoto,1
2008,1,GOM_Larval,0.324,0.378,2,2,Kimoto,1
2009,1,GOM_Larval,0.591,0.319,2,2,Kimoto,1
2010,1,GOM_Larval,0.337,0.513,2,2,Kimoto,1
2011,1,GOM_Larval,1.041,0.39,2,2,Kimoto,1
2012,1,GOM_Larval,0.282,0.472,2,2,Kimoto,1
2013,1,GOM_Larval,0.98626,0.34407,2,2,Kimoto,1
2014,1,GOM_Larval,0.26163,0.36953,2,2,Kimoto,1
2015,1,GOM_Larval,0.3888,0.30634,2,2,Kimoto,1
2016,1,GOM_Larval,2.46825,0.26416,2,2,Kimoto,1
2010,2,JP_LL_W,0.59925,0.37154,2,1,Kimoto,3
2011,2,JP_LL_W,2.03502,0.26364,2,1,Kimoto,3
2012,2,JP_LL_W,2.53639,0.26647,2,1,Kimoto,3
2013,2,JP_LL_W,1.91215,0.26139,2,1,Kimoto,3
2014,2,JP_LL_W,2.38335,0.28448,2,1,Kimoto,3
2015,2,JP_LL_W,1.45744,0.26655,2,1,Kimoto,3
2016,2,JP_LL_W,3.67304,0.29387,2,1,Kimoto,3
2017,2,JP_LL_W,3.6363,0.31352,2,1,Kimoto,3
1984,3,CAN-comb-RR,0.570868536,0.136890065,2,1,Hanke,4
1985,3,CAN-comb-RR,0.306749242,0.164107077,2,1,Hanke,4
1986,3,CAN-comb-RR,0.179313037,0.211811385,2,1,Hanke,4
1987,3,CAN-comb-RR,0.221343255,0.371586839,2,1,Hanke,4
1988,3,CAN-comb-RR,0.602424782,0.141307497,2,1,Hanke,4
1989,3,CAN-comb-RR,0.64008991,0.12867299,2,1,Hanke,4
1990,3,CAN-comb-RR,0.232852079,0.110550995,2,1,Hanke,4
1991,3,CAN-comb-RR,0.215097182,0.110102615,2,1,Hanke,4
1992,3,CAN-comb-RR,0.235115606,0.110140995,2,1,Hanke,4
1993,3,CAN-comb-RR,0.235845754,0.11750071,2,1,Hanke,4
