Fleetnam,Fleetno,Areas,Total
LLOTH,1,7,1766.834439
LLOTH,1,4 and 5 and 6,660.2877124
LLOTH,1,1 and 2 and 3,268.2314713
LLJPNnew,18,4 and 5 and 6,2781.630861
LLJPNnew,18,2 and 3,664.52
BBnew,4,6,193.9201998
PSMEDnew,7,7,21149.66214
PSNOR,8,5,290.8451586
PSHRV,9,7,870.0258133
TPnew,13,4 and 6,5484.500137
TPnew,13,7,3.013779008
RRCAN,14,2 and 3,447.5310334
RRUSAFS,15,1 and 2 and 3,211.293851
RRUSAFB,16,1 and 2 and 3,1044.571949
OTH,17,7,1367.135881
OTH,17,4 and 5 and 6,1432.143883
OTH,17,1 and 2 and 3,89.85169526
