Year,Quarter,Area,qNo,Fleet,Index,lt,CV,Name
1952,3,8,1,3,179.22,0,0.425,SPN_BB
1953,3,8,1,3,184.74,0,0.53,SPN_BB
1954,3,8,1,3,226.46,0,0.414,SPN_BB
1955,3,8,1,3,187.01,0,0.423,SPN_BB
1956,3,8,1,3,470.53,0,0.431,SPN_BB
1957,3,8,1,3,315.05,0,0.411,SPN_BB
1958,3,8,1,3,252.25,0,0.409,SPN_BB
1959,3,8,1,3,506.79,0,0.412,SPN_BB
1960,3,8,1,3,485.16,0,0.425,SPN_BB
1961,3,8,1,3,327.29,0,0.413,SPN_BB
1962,3,8,1,3,180.12,0,0.462,SPN_BB
1963,3,8,1,3,312.09,0,0.493,SPN_BB
1964,3,8,1,3,457.4,0,0.415,SPN_BB
1965,3,8,1,3,228.91,0,0.41,SPN_BB
1966,3,8,1,3,349.1,0,0.421,SPN_BB
1967,3,8,1,3,345.89,0,0.414,SPN_BB
1968,3,8,1,3,447,0,0.422,SPN_BB
1969,3,8,1,3,610.62,0,0.401,SPN_BB
1970,3,8,1,3,594.66,0,0.431,SPN_BB
1971,3,8,1,3,744.71,0,0.403,SPN_BB
1972,3,8,1,3,525.63,0,0.413,SPN_BB
1973,3,8,1,3,535.63,0,0.396,SPN_BB
1974,3,8,1,3,245.39,0,0.439,SPN_BB
1975,3,8,1,3,484.22,0,0.41,SPN_BB
1976,3,8,1,3,483.96,0,0.414,SPN_BB
1977,3,8,1,3,547.56,0,0.407,SPN_BB
1978,3,8,1,3,705.26,0,0.412,SPN_BB
1979,3,8,1,3,623.01,0,0.409,SPN_BB
1980,3,8,1,3,634.81,0,0.446,SPN_BB
1981,3,8,1,3,510.66,0,0.422,SPN_BB
1982,3,8,1,3,503.78,0,0.418,SPN_BB
1983,3,8,1,3,625.14,0,0.432,SPN_BB
1984,3,8,1,3,331.71,0,0.449,SPN_BB
1985,3,8,1,3,1125.74,0,0.407,SPN_BB
1986,3,8,1,3,751.21,0,0.419,SPN_BB
1987,3,8,1,3,1008.43,0,0.415,SPN_BB
1988,3,8,1,3,1394.68,0,0.419,SPN_BB
1989,3,8,1,3,1285.6,0,0.4,SPN_BB
1990,3,8,1,3,986.51,0,0.407,SPN_BB
1991,3,8,1,3,901.2,0,0.422,SPN_BB
1992,3,8,1,3,695.16,0,0.427,SPN_BB
1993,3,8,1,3,2093.55,0,0.403,SPN_BB
1994,3,8,1,3,1007.03,0,0.419,SPN_BB
1995,3,8,1,3,1235.91,0,0.405,SPN_BB
1996,3,8,1,3,1739.29,0,0.398,SPN_BB
1997,3,8,1,3,2246.41,0,0.404,SPN_BB
1998,3,8,1,3,879.51,0,0.409,SPN_BB
1999,3,8,1,3,339.77,0,0.436,SPN_BB
2000,3,8,1,3,960.44,0,0.402,SPN_BB
2001,3,8,1,3,704.49,0,0.447,SPN_BB
2002,3,8,1,3,687.42,0,0.423,SPN_BB
2003,3,8,1,3,444.91,0,0.482,SPN_BB
2004,3,8,1,3,1210.46,0,0.417,SPN_BB
2005,3,8,1,3,2383.57,0,0.4,SPN_BB
2006,3,8,1,3,850.09,0,0.48,SPN_BB
2007,3,8,2,3,2179.982,0,0.3123,SPN_FR_BB
2008,3,8,2,3,2154.014,0,0.3018,SPN_FR_BB
2009,3,8,2,3,955.3767,0,0.3032,SPN_FR_BB
2010,3,8,2,3,2126.197,0,0.3066,SPN_FR_BB
2011,3,8,2,3,2785.474,0,0.3043,SPN_FR_BB
2012,3,8,2,3,2306.988,0,0.3866,SPN_FR_BB
2013,3,8,2,3,1569.126,0,0.4425,SPN_FR_BB
2014,3,8,2,3,678.2874,0,0.4114,SPN_FR_BB
1981,2,9,3,9,768.36,0,0.5719,MOR_SPN_TRAP
1982,2,9,3,9,1038.12,0,0.3463,MOR_SPN_TRAP
1983,2,9,3,9,1092.05,0,0.3463,MOR_SPN_TRAP
1984,2,9,3,9,1200.27,0,0.3463,MOR_SPN_TRAP
1985,2,9,3,9,814.46,0,0.3464,MOR_SPN_TRAP
1986,2,9,3,9,394.33,0,0.2805,MOR_SPN_TRAP
1987,2,9,3,9,433.53,0,0.2805,MOR_SPN_TRAP
1988,2,9,3,9,1014.56,0,0.2803,MOR_SPN_TRAP
1989,2,9,3,9,531.45,0,0.2609,MOR_SPN_TRAP
1990,2,9,3,9,614.37,0,0.226,MOR_SPN_TRAP
1991,2,9,3,9,727.86,0,0.2259,MOR_SPN_TRAP
1992,2,9,3,9,313.95,0,0.2263,MOR_SPN_TRAP
1993,2,9,3,9,325.36,0,0.2262,MOR_SPN_TRAP
1994,2,9,3,9,341.9,0,0.2262,MOR_SPN_TRAP
1995,2,9,3,9,223.43,0,0.2265,MOR_SPN_TRAP
1996,2,9,3,9,375.22,0,0.2462,MOR_SPN_TRAP
1997,2,9,3,9,992.41,0,0.2459,MOR_SPN_TRAP
1998,2,9,3,9,925.14,0,0.2459,MOR_SPN_TRAP
1999,2,9,3,9,1137.45,0,0.2459,MOR_SPN_TRAP
2000,2,9,3,9,739.23,0,0.2259,MOR_SPN_TRAP
2001,2,9,3,9,1284.62,0,0.2258,MOR_SPN_TRAP
2002,2,9,3,9,1130.42,0,0.2258,MOR_SPN_TRAP
2003,2,9,3,9,662.66,0,0.2368,MOR_SPN_TRAP
2004,2,9,3,9,332.36,0,0.2262,MOR_SPN_TRAP
2005,2,9,3,9,677.39,0,0.2259,MOR_SPN_TRAP
2006,2,9,3,9,633.94,0,0.226,MOR_SPN_TRAP
2007,2,9,3,9,1000.6,0,0.2259,MOR_SPN_TRAP
2008,2,9,3,9,634.18,0,0.226,MOR_SPN_TRAP
2009,2,9,3,9,876.71,0,0.2259,MOR_SPN_TRAP
2010,2,9,3,9,1042.24,0,0.2366,MOR_SPN_TRAP
2011,2,9,3,9,674.97,0,0.2259,MOR_SPN_TRAP
2012,2,9,4,10,41.15,0,0.4906,MOR_POR_TRAP
2013,2,9,4,10,88.58,0,0.5436,MOR_POR_TRAP
2014,2,9,4,10,48.54,0,0.4978,MOR_POR_TRAP
2015,2,9,4,10,66.98,0,0.5394,MOR_POR_TRAP
2016,2,9,4,10,64.03,0,0.5343,MOR_POR_TRAP
1975,2,9,5,2,1.9,0,0.15,JPN_LL_Eatl_Med
1976,2,9,5,2,2.15,0,0.12,JPN_LL_Eatl_Med
1977,2,9,5,2,3.53,0,0.14,JPN_LL_Eatl_Med
1978,2,9,5,2,1.5,0,0.15,JPN_LL_Eatl_Med
1979,2,9,5,2,2.7,0,0.14,JPN_LL_Eatl_Med
1980,2,9,5,2,1.69,0,0.16,JPN_LL_Eatl_Med
1981,2,9,5,2,1.63,0,0.17,JPN_LL_Eatl_Med
1982,2,9,5,2,3.32,0,0.13,JPN_LL_Eatl_Med
1983,2,9,5,2,2.12,0,0.13,JPN_LL_Eatl_Med
1984,2,9,5,2,1.62,0,0.12,JPN_LL_Eatl_Med
1985,2,9,5,2,1.75,0,0.15,JPN_LL_Eatl_Med
1986,2,9,5,2,1.32,0,0.14,JPN_LL_Eatl_Med
1987,2,9,5,2,2.16,0,0.13,JPN_LL_Eatl_Med
1988,2,9,5,2,1.35,0,0.14,JPN_LL_Eatl_Med
1989,2,9,5,2,1.05,0,0.16,JPN_LL_Eatl_Med
1990,2,9,5,2,1.41,0,0.14,JPN_LL_Eatl_Med
1991,2,9,5,2,1.21,0,0.13,JPN_LL_Eatl_Med
1992,2,9,5,2,1.03,0,0.14,JPN_LL_Eatl_Med
1993,2,9,5,2,1.04,0,0.14,JPN_LL_Eatl_Med
1994,2,9,5,2,1.12,0,0.16,JPN_LL_Eatl_Med
1995,2,9,5,2,1.42,0,0.15,JPN_LL_Eatl_Med
1996,2,9,5,2,0.5,0,0.22,JPN_LL_Eatl_Med
1997,2,9,5,2,0.53,0,0.21,JPN_LL_Eatl_Med
1998,2,9,5,2,0.71,0,0.17,JPN_LL_Eatl_Med
1999,2,9,5,2,0.64,0,0.22,JPN_LL_Eatl_Med
2000,2,9,5,2,0.74,0,0.2,JPN_LL_Eatl_Med
2001,2,9,5,2,0.96,0,0.17,JPN_LL_Eatl_Med
2002,2,9,5,2,2.05,0,0.15,JPN_LL_Eatl_Med
2003,2,9,5,2,1.7,0,0.13,JPN_LL_Eatl_Med
2004,2,9,5,2,0.82,0,0.18,JPN_LL_Eatl_Med
2005,2,9,5,2,0.88,0,0.15,JPN_LL_Eatl_Med
