Country,Year,BFTn,BFTtons
SPAIN,1512,3511.00,526.65
SPAIN,1514,9317.00,1397.55
SPAIN,1515,6359.00,953.85
SPAIN,1516,6167.00,925.05
SPAIN,1525,31440.00,4716.00
SPAIN,1526,46015.00,6902.25
SPAIN,1527,31186.00,4677.90
SPAIN,1528,17428.00,2614.20
SPAIN,1529,33213.00,4981.95
SPAIN,1530,34567.00,5185.05
SPAIN,1532,37405.00,5610.75
SPAIN,1533,30550.00,4582.50
SPAIN,1534,35500.00,5325.00
SPAIN,1535,41130.00,6169.50
SPAIN,1536,34075.00,5111.25
SPAIN,1539,37520.00,5628.00
SPAIN,1540,82074.00,12311.10
SPAIN,1541,40813.00,6121.95
SPAIN,1542,92480.00,13872.00
SPAIN,1543,72212.00,10831.80
SPAIN,1544,43574.00,6536.10
SPAIN,1545,72322.00,10848.30
SPAIN,1547,89641.00,13446.15
SPAIN,1548,83230.00,12484.50
SPAIN,1549,102643.00,15396.45
SPAIN,1550,91638.00,13745.70
SPAIN,1551,71606.00,10740.90
SPAIN,1552,107065.00,16059.75
SPAIN,1553,42685.00,6402.75
SPAIN,1554,52663.00,7899.45
SPAIN,1555,47012.00,7051.80
SPAIN,1556,122475.00,18371.25
SPAIN,1557,51823.00,7773.45
SPAIN,1558,110152.00,16522.80
SPAIN,1559,125388.00,18808.20
SPAIN,1560,111453.00,16717.95
SPAIN,1562,115102.00,17265.30
SPAIN,1563,110698.00,16604.70
SPAIN,1564,115423.00,17313.45
SPAIN,1565,59050.00,8857.50
SPAIN,1566,125031.00,18754.65
SPAIN,1567,122382.00,18357.30
SPAIN,1568,118030.00,17704.50
SPAIN,1569,62671.00,9400.65
SPAIN,1570,115335.00,17300.25
SPAIN,1571,19608.00,2941.20
SPAIN,1572,37884.00,5682.60
SPAIN,1573,13317.00,1997.55
SPAIN,1574,18619.00,2792.85
SPAIN,1575,28496.00,4274.40
SPAIN,1576,44907.00,6736.05
SPAIN,1577,56589.00,8488.35
SPAIN,1578,92353.00,13852.95
SPAIN,1579,28098.00,4214.70
SPAIN,1580,47021.00,7053.15
SPAIN,1581,66817.00,10022.55
SPAIN,1582,48449.00,7267.35
SPAIN,1583,19907.00,2986.05
SPAIN,1584,59051.00,8857.65
SPAIN,1585,22986.00,3447.90
SPAIN,1586,14746.00,2211.90
SPAIN,1587,12571.00,1885.65
SPAIN,1588,73385.00,11007.75
SPAIN,1589,802.00,120.30
SPAIN,1590,12286.00,1842.90
SPAIN,1591,848.00,127.20
SPAIN,1592,10100.00,1515.00
SPAIN,1593,1923.00,288.45
SPAIN,1594,3259.00,488.85
SPAIN,1595,5212.00,781.80
SPAIN,1597,3081.00,462.15
SPAIN,1598,3838.00,575.70
SPAIN,1599,2993.00,448.95
SPAIN,1600,2354.00,353.10
SPAIN,1601,5183.00,777.45
SPAIN,1602,2740.00,411.00
SPAIN,1603,2725.00,408.75
SPAIN,1604,337.00,50.55
SPAIN,1605,23759.00,3563.85
SPAIN,1606,12151.00,1822.65
SPAIN,1607,9143.00,1371.45
SPAIN,1608,14713.00,2206.95
SPAIN,1609,2296.00,344.40
SPAIN,1610,3173.00,475.95
SPAIN,1611,6338.00,950.70
SPAIN,1612,8014.00,1202.10
SPAIN,1614,2848.00,427.20
SPAIN,1615,9048.00,1357.20
SPAIN,1616,21347.00,3202.05
SPAIN,1617,32613.00,4891.95
SPAIN,1618,16525.00,2478.75
SPAIN,1619,24138.00,3620.70
SPAIN,1620,20226.00,3033.90
SPAIN,1621,29784.00,4467.60
SPAIN,1622,37467.00,5620.05
SPAIN,1623,22365.00,3354.75
SPAIN,1624,29722.00,4458.30
SPAIN,1625,29997.00,4499.55
SPAIN,1626,16640.00,2496.00
SPAIN,1627,25354.00,3803.10
SPAIN,1628,16948.00,2542.20
SPAIN,1629,13563.00,2034.45
SPAIN,1630,11322.00,1698.30
SPAIN,1631,23242.00,3486.30
SPAIN,1632,31226.00,4683.90
SPAIN,1633,33216.00,4982.40
SPAIN,1634,22991.00,3448.65
SPAIN,1635,29389.00,4408.35
SPAIN,1636,24394.00,3659.10
SPAIN,1637,24500.00,3675.00
SPAIN,1638,23922.00,3588.30
SPAIN,1639,33600.00,5040.00
SPAIN,1640,13821.00,2073.15
SPAIN,1641,13130.00,1969.50
SPAIN,1642,12198.00,1829.70
SPAIN,1643,3120.00,468.00
SPAIN,1644,7295.00,1094.25
SPAIN,1645,21000.00,3150.00
SPAIN,1646,8623.00,1293.45
SPAIN,1647,6199.00,929.85
SPAIN,1648,19294.00,2894.10
SPAIN,1649,1152.00,172.80
SPAIN,1652,12845.00,1926.75
SPAIN,1653,23114.00,3467.10
SPAIN,1654,24355.00,3653.25
SPAIN,1655,14783.00,2217.45
SPAIN,1656,13381.00,2007.15
SPAIN,1657,25412.00,3811.80
SPAIN,1658,9344.00,1401.60
SPAIN,1659,13869.00,2080.35
SPAIN,1660,10520.00,1578.00
SPAIN,1661,6452.00,967.80
SPAIN,1662,11004.00,1650.60
SPAIN,1663,16874.00,2531.10
SPAIN,1664,18438.00,2765.70
SPAIN,1665,15673.00,2350.95
SPAIN,1666,22211.00,3331.65
SPAIN,1667,19432.00,2914.80
SPAIN,1668,20042.00,3006.30
SPAIN,1669,24658.00,3698.70
SPAIN,1670,26487.00,3973.05
SPAIN,1671,27890.00,4183.50
SPAIN,1672,24810.00,3721.50
SPAIN,1673,15798.00,2369.70
SPAIN,1674,10156.00,1523.40
SPAIN,1675,8564.00,1284.60
SPAIN,1676,13157.00,1973.55
SPAIN,1677,2695.00,404.25
SPAIN,1678,4951.00,742.65
SPAIN,1680,2768.00,415.20
SPAIN,1682,1994.00,299.10
SPAIN,1684,80.00,12.00
SPAIN,1685,2798.00,419.70
SPAIN,1686,3015.00,452.25
SPAIN,1687,2892.00,433.80
SPAIN,1688,3506.00,525.90
SPAIN,1689,9427.00,1414.05
SPAIN,1690,850.00,127.50
SPAIN,1691,1535.00,230.25
SPAIN,1692,394.00,59.10
SPAIN,1693,306.00,45.90
SPAIN,1694,387.00,58.05
SPAIN,1698,2105.00,315.75
SPAIN,1699,273.00,40.95
SPAIN,1700,1643.00,246.45
SPAIN,1701,397.00,59.55
SPAIN,1702,98.00,14.70
SPAIN,1703,9.00,1.35
SPAIN,1704,301.00,45.15
SPAIN,1706,1058.00,158.70
SPAIN,1707,512.00,76.80
SPAIN,1708,203.00,30.45
SPAIN,1709,618.00,92.70
SPAIN,1710,196.00,29.40
SPAIN,1711,778.00,116.70
SPAIN,1712,3550.00,532.50
SPAIN,1713,6137.00,920.55
SPAIN,1714,3509.00,526.35
SPAIN,1715,2329.00,349.35
SPAIN,1716,1033.00,154.95
SPAIN,1717,1088.00,163.20
SPAIN,1718,831.00,124.65
SPAIN,1719,2438.00,365.70
SPAIN,1722,623.00,93.45
SPAIN,1723,267.00,40.05
SPAIN,1724,1470.00,220.50
SPAIN,1725,5943.00,891.45
SPAIN,1726,5490.00,823.50
SPAIN,1727,3540.00,531.00
SPAIN,1728,6837.00,1025.55
SPAIN,1729,5846.00,876.90
SPAIN,1730,4894.00,734.10
SPAIN,1731,2389.00,358.35
SPAIN,1732,6846.00,1026.90
SPAIN,1733,8805.00,1320.75
SPAIN,1734,4986.00,747.90
SPAIN,1735,3807.00,571.05
SPAIN,1736,7819.00,1172.85
SPAIN,1737,9498.00,1424.70
SPAIN,1738,13728.00,2059.20
SPAIN,1739,10592.00,1588.80
SPAIN,1740,2370.00,355.50
SPAIN,1741,9685.00,1452.75
SPAIN,1742,7030.00,1054.50
SPAIN,1743,10714.00,1607.10
SPAIN,1744,9868.00,1480.20
SPAIN,1745,9272.00,1390.80
SPAIN,1746,5455.00,818.25
SPAIN,1747,5332.00,799.80
SPAIN,1748,15191.00,2278.65
SPAIN,1749,7373.00,1105.95
SPAIN,1750,7816.00,1172.40
SPAIN,1751,8706.00,1305.90
SPAIN,1752,1353.00,202.95
SPAIN,1753,4377.00,656.55
SPAIN,1754,7081.00,1062.15
SPAIN,1755,7615.00,1142.25
SPAIN,1756,9918.00,1487.70
SPAIN,1757,417.00,62.55
SPAIN,1758,1742.00,261.30
SPAIN,1759,3348.00,502.20
SPAIN,1760,5131.00,769.65
SPAIN,1761,1402.00,210.30
SPAIN,1762,633.00,94.95
SPAIN,1763,46.00,6.90
SPAIN,1765,978.00,146.70
SPAIN,1766,1986.00,297.90
SPAIN,1767,3912.00,586.80
SPAIN,1768,198.00,29.70
SPAIN,1769,730.00,109.50
SPAIN,1771,381.00,57.15
SPAIN,1775,1996.00,299.40
SPAIN,1776,2412.00,361.80
SPAIN,1777,2220.00,333.00
SPAIN,1778,6706.00,1005.90
SPAIN,1779,7937.00,1190.55
SPAIN,1780,5123.00,768.45
SPAIN,1781,1545.00,231.75
SPAIN,1782,6253.00,937.95
SPAIN,1783,7863.00,1179.45
SPAIN,1784,14645.00,2196.75
SPAIN,1785,15242.00,2286.30
SPAIN,1786,12990.00,1948.50
SPAIN,1787,10012.00,1501.80
SPAIN,1788,15176.00,2276.40
SPAIN,1789,7695.00,1154.25
SPAIN,1790,12627.00,1894.05
SPAIN,1791,15761.00,2364.15
SPAIN,1792,16720.00,2508.00
SPAIN,1793,14134.00,2120.10
SPAIN,1794,6037.00,905.55
SPAIN,1795,9883.00,1482.45
SPAIN,1796,11994.00,1799.10
SPAIN,1797,17459.00,2618.85
SPAIN,1798,11306.00,1695.90
SPAIN,1799,13792.00,2068.80
SPAIN,1800,3127.00,469.05
SPAIN,1801,15098.00,2264.70
SPAIN,1802,13403.00,2010.45
SPAIN,1803,7579.00,1136.85
SPAIN,1804,10780.00,1617.00
SPAIN,1805,9340.00,1401.00
SPAIN,1806,9642.00,1446.30
SPAIN,1807,21757.00,3263.55
SPAIN,1808,38650.00,5797.50
SPAIN,1809,27620.00,4143.00
SPAIN,1813,5672.00,850.80
SPAIN,1814,8795.00,1319.25
SPAIN,1816,3615.00,542.25
SPAIN,1872,4207.00,631.10
SPAIN,1873,3757.32,563.60
SPAIN,1874,1840.45,276.07
SPAIN,1884,30000.00,4500.00
SPAIN,1885,45700.00,6855.00
SPAIN,1886,28300.00,4245.00
SPAIN,1887,18200.00,2730.00
SPAIN,1902,812.00,121.80
SPAIN,1903,9168.00,1375.20
SPAIN,1904,7935.00,1190.25
SPAIN,1905,1438.00,215.70
SPAIN,1906,9913.00,1486.95
SPAIN,1907,16525.00,2478.75
SPAIN,1908,22625.00,3393.75
SPAIN,1909,24810.00,3721.50
SPAIN,1910,32025.00,4803.75
SPAIN,1911,22963.00,3464.65
SPAIN,1912,35760.00,5408.92
SPAIN,1913,45972.00,6992.72
SPAIN,1914,107550.00,10004.76
SPAIN,1915,57557.00,8633.55
SPAIN,1916,46042.00,6906.30
SPAIN,1917,60456.00,9068.40
SPAIN,1918,69120.00,10368.00
SPAIN,1919,60263.00,8895.14
SPAIN,1920,72335.00,10613.12
SPAIN,1921,90483.00,13572.45
SPAIN,1922,81350.00,12202.50
SPAIN,1923,71283.00,10670.14
SPAIN,1924,80539.00,11929.27
SPAIN,1925,53926.00,8025.85
SPAIN,1926,56811.00,8521.65
SPAIN,1927,95905.00,14579.48
SPAIN,1928,90152.00,13347.44
SPAIN,1929,95121.00,13760.19
SPAIN,1930,118408.00,16853.85
SPAIN,1931,93543.00,13467.95
SPAIN,1932,54634.00,8105.66
SPAIN,1933,55989.00,8180.92
SPAIN,1934,39913.00,5992.75
SPAIN,1935,25752.00,3694.01
SPAIN,1936,47205.00,5917.58
SPAIN,1937,75902.00,9097.50
SPAIN,1938,59421.00,6609.80
SPAIN,1939,50446.00,5975.95
SPAIN,1940,49739.00,5019.56
SPAIN,1941,32194.00,4061.14
SPAIN,1942,36949.00,5077.43
SPAIN,1943,77472.00,9904.76
SPAIN,1944,63379.00,7664.27
SPAIN,1945,47519.00,5405.27
SPAIN,1946,65685.00,6992.15
SPAIN,1947,67621.00,6457.07
SPAIN,1948,47358.00,5376.79
SPAIN,1949,93028.00,11458.56
SPAIN,1950,64071.00,7364.88
SPAIN,1951,35318.00,3679.68
SPAIN,1952,46703.00,5213.69
SPAIN,1953,67456.00,7630.05
SPAIN,1954,55172.00,6770.71
SPAIN,1955,58263.00,8277.66
SPAIN,1956,63205.00,8981.98
SPAIN,1957,60167.00,9411.44
SPAIN,1958,53337.00,9104.66
SPAIN,1959,35408.00,5187.86
SPAIN,1960,45279.00,6220.22
SPAIN,1961,35235.00,4878.51
SPAIN,1962,35606.00,4960.84
SPAIN,1963,147979.00,2605.66
SPAIN,1964,15452.00,2655.11
