SpeciesCode,YearC,Decade,FlagName,FleetCode,Stock,GearGrp,SchoolType,Trimester,QuadID,Lat5,Lon5,yLat5ctoid,xLon5ctoid,Catch_t
BFT,1950,1950,Algerie,DZA,MED,TP,n/a,2,1,35,0,37.5,2.5,50
BFT,1950,1950,Algerie,DZA,MED,TP,n/a,3,1,35,0,37.5,2.5,50
BFT,1950,1950,Canada,CAN,ATW,RR,n/a,1,4,45,50,47.5,-52.5,18.75
BFT,1950,1950,Canada,CAN,ATW,RR,n/a,2,4,45,50,47.5,-52.5,18.75
BFT,1950,1950,Canada,CAN,ATW,RR,n/a,3,4,45,50,47.5,-52.5,18.75
BFT,1950,1950,Canada,CAN,ATW,RR,n/a,4,4,45,50,47.5,-52.5,18.75
BFT,1950,1950,Canada,CAN,ATW,TP,n/a,1,4,45,50,47.5,-52.5,2.575
BFT,1950,1950,Canada,CAN,ATW,TP,n/a,2,4,45,50,47.5,-52.5,2.575
BFT,1950,1950,Canada,CAN,ATW,TP,n/a,3,4,45,50,47.5,-52.5,2.575
BFT,1950,1950,Canada,CAN,ATW,TP,n/a,4,4,45,50,47.5,-52.5,2.575
BFT,1950,1950,Canada,CAN,ATW,oth,n/a,1,4,45,50,47.5,-52.5,89.25
BFT,1950,1950,Canada,CAN,ATW,oth,n/a,2,4,45,50,47.5,-52.5,89.25
BFT,1950,1950,Canada,CAN,ATW,oth,n/a,3,4,45,50,47.5,-52.5,89.25
BFT,1950,1950,Canada,CAN,ATW,oth,n/a,4,4,45,50,47.5,-52.5,89.25
BFT,1950,1950,EU.Bulgaria,EU.BGR,MED,PS,n/a,2,1,40,25,42.5,27.5,366.5
BFT,1950,1950,EU.Bulgaria,EU.BGR,MED,PS,n/a,3,1,40,25,42.5,27.5,366.5
BFT,1950,1950,EU.Denmark,EU.DNK,ATE,HL,n/a,2,1,55,5,57.5,7.5,817.722
BFT,1950,1950,EU.España,EU.ESP,ATE,TP,n/a,1,4,35,5,37.5,-7.5,1827.375
BFT,1950,1950,EU.España,EU.ESP,ATE,TP,n/a,2,4,35,5,37.5,-7.5,1827.375
BFT,1950,1950,EU.España,EU.ESP,ATE,TP,n/a,3,4,35,5,37.5,-7.5,1827.375
BFT,1950,1950,EU.España,EU.ESP,ATE,TP,n/a,4,4,35,5,37.5,-7.5,1827.375
BFT,1950,1950,EU.España,EU.ESP-ES-CANT_BFT,ATE,BB,n/a,1,4,40,0,42.5,-2.5,276.5485
BFT,1950,1950,EU.España,EU.ESP-ES-CANT_BFT,ATE,BB,n/a,2,4,40,0,42.5,-2.5,276.5485
BFT,1950,1950,EU.España,EU.ESP-ES-CANT_BFT,ATE,BB,n/a,3,4,40,0,42.5,-2.5,276.5485
BFT,1950,1950,EU.España,EU.ESP-ES-CANT_BFT,ATE,BB,n/a,4,4,40,0,42.5,-2.5,276.5485
BFT,1950,1950,EU.España,EU.ESP-ES-MEDI,MED,TP,n/a,1,4,35,0,37.5,-2.5,42
