Rec_ID,Tag_ID,Investigator,Contact_Person,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days_Area
1,49826,AZTI,I_Arregi,BFT,94,NA,E_ATL,9/23/2010,11/4/2010,43
2,49827,AZTI,I_Arregi,BFT,97,NA,E_ATL,9/29/2010,1/3/2011,97
3,49827,AZTI,I_Arregi,BFT,97,NA,SE_ATL,1/4/2011,1/29/2011,26
4,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,9/29/2010,12/17/2010,80
5,49856,AZTI,I_Arregi,BFT,98,NA,SE_ATL,12/18/2010,4/20/2011,124
6,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/21/2011,4/21/2011,1
7,49856,AZTI,I_Arregi,BFT,98,NA,SE_ATL,4/22/2011,4/26/2011,5
8,49856,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/27/2011,6/19/2011,54
9,49880,AZTI,I_Arregi,BFT,93,NA,E_ATL,9/29/2010,1/23/2011,117
10,49880,AZTI,I_Arregi,BFT,93,NA,SE_ATL,1/24/2011,5/26/2011,123
11,49880,AZTI,I_Arregi,BFT,93,NA,E_ATL,5/27/2011,6/2/2011,7
12,49885,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/2/2010,4
13,49889,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/11/2010,13
14,79999,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/4/2010,13
15,79999,AZTI,I_Arregi,BFT,92,NA,SE_ATL,9/5/2010,10/19/2010,45
16,80001,AZTI,I_Arregi,BFT,95,NA,E_ATL,8/23/2010,9/25/2010,34
17,80003,AZTI,I_Arregi,BFT,90,NA,E_ATL,8/23/2010,1/31/2011,162
18,80003,AZTI,I_Arregi,BFT,90,NA,SE_ATL,2/1/2011,2/5/2011,5
19,80003,AZTI,I_Arregi,BFT,90,NA,E_ATL,2/6/2011,2/14/2011,9
20,90813,AZTI,I_Arregi,BFT,89,NA,E_ATL,8/26/2008,3/22/2009,209
21,90813,AZTI,I_Arregi,BFT,89,NA,SE_ATL,3/23/2009,4/28/2009,37
22,90813,AZTI,I_Arregi,BFT,89,NA,E_ATL,4/29/2009,8/10/2009,104
23,93709,AZTI,I_Arregi,BFT,110,NA,E_ATL,9/22/2009,3/16/2010,176
24,93710,AZTI,I_Arregi,BFT,91,NA,E_ATL,8/23/2010,1/31/2011,162
25,93710,AZTI,I_Arregi,BFT,91,NA,SE_ATL,2/1/2011,2/2/2011,2
26,93712,AZTI,I_Arregi,BFT,107,NA,E_ATL,9/22/2009,2/1/2010,133
27,93713,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/14/2010,23
28,93714,AZTI,I_Arregi,BFT,103,NA,E_ATL,9/22/2009,4/5/2010,196
29,93714,AZTI,I_Arregi,BFT,103,NA,SE_ATL,4/6/2010,5/9/2010,34
30,93714,AZTI,I_Arregi,BFT,103,NA,E_ATL,5/10/2010,5/18/2010,9
31,93715,AZTI,I_Arregi,BFT,97,NA,E_ATL,8/23/2010,5/23/2011,274
32,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,8/18/2007,1/17/2008,153
33,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,1/18/2008,2/1/2008,15
34,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/2/2008,2/7/2008,6
35,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,2/8/2008,2/17/2008,10
36,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/18/2008,3/3/2008,15
37,390540,AZTI,I_Arregi,BFT,64,NA,SE_ATL,3/4/2008,4/18/2008,46
38,390540,AZTI,I_Arregi,BFT,64,NA,SC_ATL,4/19/2008,4/20/2008,2
39,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/21/2008,5/15/2008,25
40,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,5/16/2008,12/11/2008,210
41,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,12/12/2008,2/2/2009,53
42,390540,AZTI,I_Arregi,BFT,64,NA,W_ATL,2/3/2009,4/24/2009,81
43,390540,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/25/2009,6/1/2009,38
44,390540,AZTI,I_Arregi,BFT,64,NA,E_ATL,6/2/2009,8/2/2009,62
45,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,9/1/2005,12/15/2005,106
46,390579,AZTI,I_Arregi,BFT,67,NA,SE_ATL,12/16/2005,1/23/2006,39
47,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,1/24/2006,3/30/2006,66
48,390579,AZTI,I_Arregi,BFT,67,NA,SE_ATL,3/31/2006,4/9/2006,10
49,390579,AZTI,I_Arregi,BFT,67,NA,E_ATL,4/10/2006,6/14/2006,66
50,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,8/18/2007,12/29/2007,134
51,790068,AZTI,I_Arregi,BFT,70,NA,SE_ATL,12/30/2007,1/4/2008,6
52,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,1/5/2008,1/6/2008,2
53,790068,AZTI,I_Arregi,BFT,70,NA,SE_ATL,1/7/2008,2/23/2008,48
54,790068,AZTI,I_Arregi,BFT,70,NA,E_ATL,2/24/2008,3/9/2008,15
55,790068,AZTI,I_Arregi,BFT,70,NA,NC_ATL,3/10/2008,4/5/2008,27
56,790068,AZTI,I_Arregi,BFT,70,NA,SC_ATL,4/6/2008,4/7/2008,2
57,790068,AZTI,I_Arregi,BFT,70,NA,W_ATL,4/8/2008,9/24/2009,535
58,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,8/17/2007,1/1/2008,138
59,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,1/2/2008,1/7/2008,6
60,790076,AZTI,I_Arregi,BFT,NA,NA,SC_ATL,1/8/2008,1/9/2008,2
61,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,1/10/2008,1/14/2008,5
62,790076,AZTI,I_Arregi,BFT,NA,NA,SC_ATL,1/15/2008,1/20/2008,6
63,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,1/21/2008,5/23/2008,124
64,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,5/24/2008,12/13/2008,204
65,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,12/14/2008,4/23/2009,131
66,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,4/24/2009,4/30/2009,7
67,790076,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,5/1/2009,5/13/2009,13
68,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,5/14/2009,12/14/2009,215
69,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/15/2009,1/1/2010,18
70,790076,AZTI,I_Arregi,BFT,NA,NA,W_ATL,1/2/2010,4/6/2010,95
71,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,4/7/2010,4/24/2010,18
72,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,4/25/2010,12/9/2010,229
73,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/10/2010,12/18/2010,9
74,790076,AZTI,I_Arregi,BFT,NA,NA,W_ATL,12/19/2010,5/15/2011,148
75,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,5/16/2011,6/5/2011,21
76,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,6/6/2011,12/11/2011,189
77,790076,AZTI,I_Arregi,BFT,NA,NA,NE_ATL,12/12/2011,12/15/2011,4
78,790076,AZTI,I_Arregi,BFT,NA,NA,E_ATL,12/16/2011,12/22/2011,7
79,790076,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,12/23/2011,12/28/2011,6
80,150404,COMBIOMA,A_DiNatale,BFT,104,21,W_MED,7/1/2015,7/17/2015,17
81,150405,COMBIOMA,A_DiNatale,BFT,110,25,W_MED,7/1/2015,7/27/2015,27
82,150406,COMBIOMA,A_DiNatale,BFT,139,48,W_MED,7/1/2015,7/14/2015,14
83,150407,COMBIOMA,A_DiNatale,BFT,192,119,W_MED,7/1/2015,7/9/2015,9
84,150409,COMBIOMA,A_DiNatale,BFT,93,16,W_MED,7/1/2015,8/2/2015,33
85,150410,COMBIOMA,A_DiNatale,BFT,111,26,W_MED,7/1/2015,8/15/2015,46
86,150411,COMBIOMA,A_DiNatale,BFT,163,76,W_MED,7/1/2015,7/8/2015,8
87,150412,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,7/31/2015,31
88,150413,COMBIOMA,A_DiNatale,BFT,123,34,W_MED,7/1/2015,7/9/2015,9
89,150414,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,7/6/2015,6
90,150415,COMBIOMA,A_DiNatale,BFT,127,38,W_MED,7/1/2015,7/14/2015,14
91,150416,COMBIOMA,A_DiNatale,BFT,164,77,W_MED,7/1/2015,7/19/2015,19
92,150419,COMBIOMA,A_DiNatale,BFT,104,21,W_MED,7/1/2015,8/12/2015,43
93,150420,COMBIOMA,A_DiNatale,BFT,NA,NA,W_MED,7/1/2015,9/5/2015,67
94,150421,COMBIOMA,A_DiNatale,BFT,134,43,W_MED,7/1/2015,7/12/2015,12
95,150422,COMBIOMA,A_DiNatale,BFT,156,66,W_MED,7/1/2015,7/14/2015,14
96,2009_91277,DFO,A_Hanke,BFT,244,227,W_ATL,8/16/2009,9/1/2009,17
97,2009_91278,DFO,A_Hanke,BFT,241,249,W_ATL,8/16/2009,9/7/2009,23
98,2009_91279,DFO,A_Hanke,BFT,244,227,W_ATL,8/16/2009,9/2/2009,18
99,2009_91282,DFO,A_Hanke,BFT,216,181,W_ATL,8/19/2009,9/8/2009,21
100,2009_91283,DFO,A_Hanke,BFT,206,159,W_ATL,8/19/2009,9/26/2009,39
101,2009_91284,DFO,A_Hanke,BFT,NA,181,W_ATL,8/19/2009,10/11/2009,54
102,2009_91293,DFO,A_Hanke,BFT,216,181,W_ATL,8/19/2009,9/3/2009,16
103,2009_93550,DFO,A_Hanke,BFT,135,45,W_ATL,9/11/2009,3/5/2010,176
104,2009_93556,DFO,A_Hanke,BFT,248,272,W_ATL,8/12/2009,9/12/2009,32
105,2009_93556,DFO,A_Hanke,BFT,248,272,NC_ATL,9/12/2009,9/21/2009,10
106,2009_93557,DFO,A_Hanke,BFT,259,227,W_ATL,8/12/2009,10/11/2009,61
107,2009_93557,DFO,A_Hanke,BFT,259,227,GSL,10/14/2009,10/14/2009,1
108,2009_93557,DFO,A_Hanke,BFT,259,227,W_ATL,10/14/2009,10/17/2009,4
109,2009_93557,DFO,A_Hanke,BFT,259,227,GSL,10/17/2009,10/18/2009,2
110,2009_93557,DFO,A_Hanke,BFT,259,227,W_ATL,10/19/2009,10/19/2009,1
111,2009_93557,DFO,A_Hanke,BFT,259,227,GSL,10/19/2009,10/20/2009,2
112,2009_93557,DFO,A_Hanke,BFT,259,227,W_ATL,10/20/2009,11/26/2009,38
113,2009_93558,DFO,A_Hanke,BFT,216,181,W_ATL,8/16/2009,10/13/2009,59
114,2009_95418,DFO,A_Hanke,BFT,274,295,W_ATL,8/8/2009,8/27/2009,20
115,2009_95418,DFO,A_Hanke,BFT,274,295,NC_ATL,8/30/2009,10/27/2009,59
116,2010_91287,DFO,A_Hanke,BFT,213,170,W_ATL,8/13/2010,12/2/2010,112
117,2010_91287,DFO,A_Hanke,BFT,213,170,CAR,12/2/2010,12/7/2010,6
118,2010_91287,DFO,A_Hanke,BFT,213,170,W_ATL,12/7/2010,12/8/2010,2
119,2010_91288,DFO,A_Hanke,BFT,216,181,W_ATL,8/13/2010,9/28/2010,47
120,2010_91289,DFO,A_Hanke,BFT,213,170,W_ATL,8/13/2010,9/27/2010,46
121,2010_91289,DFO,A_Hanke,BFT,213,170,GSL,9/27/2010,9/27/2010,1
122,2010_91289,DFO,A_Hanke,BFT,213,170,W_ATL,9/28/2010,10/6/2010,9
123,2010_91290,DFO,A_Hanke,BFT,213,159,W_ATL,8/13/2010,9/22/2010,41
124,2010_91291,DFO,A_Hanke,BFT,213,170,W_ATL,8/13/2010,11/14/2010,94
125,2010_93554,DFO,A_Hanke,BFT,248,295,GSL,8/31/2010,9/9/2010,10
126,2010_93554,DFO,A_Hanke,BFT,248,295,W_ATL,9/13/2010,1/14/2011,124
127,2010_93554,DFO,A_Hanke,BFT,248,295,CAR,1/17/2011,1/21/2011,5
128,2010_96080,DFO,A_Hanke,BFT,269,375,GSL,8/31/2010,9/1/2010,2
129,2010_96080,DFO,A_Hanke,BFT,269,375,W_ATL,9/1/2010,9/4/2010,4
130,2010_96080,DFO,A_Hanke,BFT,269,375,GSL,9/4/2010,9/26/2010,23
131,2010_96080,DFO,A_Hanke,BFT,269,375,W_ATL,9/26/2010,10/14/2010,19
132,2010_96080,DFO,A_Hanke,BFT,269,375,GSL,10/16/2010,10/27/2010,12
133,2010_96080,DFO,A_Hanke,BFT,269,375,W_ATL,10/28/2010,10/30/2010,3
134,2010_96080,DFO,A_Hanke,BFT,269,375,GSL,10/30/2010,11/14/2010,16
135,2010_96080,DFO,A_Hanke,BFT,269,375,W_ATL,11/17/2010,12/29/2010,43
136,2010_96080,DFO,A_Hanke,BFT,269,375,CAR,12/29/2010,12/29/2010,1
137,2010_96080,DFO,A_Hanke,BFT,269,375,W_ATL,12/31/2010,12/31/2010,1
138,2010_96080,DFO,A_Hanke,BFT,269,375,CAR,1/1/2011,1/13/2011,13
139,2010_96080,DFO,A_Hanke,BFT,269,375,GOM,1/13/2011,2/13/2011,32
140,2010_96081,DFO,A_Hanke,BFT,210,182,GSL,9/1/2010,9/4/2010,4
141,2010_96081,DFO,A_Hanke,BFT,210,182,W_ATL,9/4/2010,9/21/2010,18
142,2010_96081,DFO,A_Hanke,BFT,210,182,GSL,9/22/2010,9/22/2010,1
143,2010_96081,DFO,A_Hanke,BFT,210,182,W_ATL,9/22/2010,11/21/2010,61
144,2010_96082,DFO,A_Hanke,BFT,227,227,GSL,9/1/2010,10/25/2010,55
145,2010_96082,DFO,A_Hanke,BFT,227,227,W_ATL,10/26/2010,11/27/2010,33
146,2010_96082,DFO,A_Hanke,BFT,227,227,CAR,11/27/2010,12/20/2010,24
147,2010_96082,DFO,A_Hanke,BFT,227,227,W_ATL,12/20/2010,12/20/2010,1
148,2010_96082,DFO,A_Hanke,BFT,227,227,CAR,12/20/2010,1/3/2011,15
149,2010_96083,DFO,A_Hanke,BFT,272,386,GSL,8/31/2010,9/2/2010,3
150,2010_96083,DFO,A_Hanke,BFT,272,386,W_ATL,9/2/2010,9/12/2010,11
151,2010_96083,DFO,A_Hanke,BFT,272,386,GSL,9/13/2010,9/13/2010,1
