Tag_ID,Rec_ID,Investigator,Contact_Person,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days_Area
49826,1,AZTI,I_Arregi,BFT,94,NA,E_ATL,9/23/2010,11/4/2010,43
49827,2,AZTI,I_Arregi,BFT,97,NA,E_ATL,9/29/2010,1/3/2011,97
49827,3,AZTI,I_Arregi,BFT,97,NA,SE_ATL,1/4/2011,1/29/2011,26
49856,4,AZTI,I_Arregi,BFT,98,NA,E_ATL,9/29/2010,12/17/2010,80
49856,5,AZTI,I_Arregi,BFT,98,NA,SE_ATL,12/18/2010,4/20/2011,124
49856,6,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/21/2011,4/21/2011,1
49856,7,AZTI,I_Arregi,BFT,98,NA,SE_ATL,4/22/2011,4/26/2011,5
49856,8,AZTI,I_Arregi,BFT,98,NA,E_ATL,4/27/2011,6/19/2011,54
49880,9,AZTI,I_Arregi,BFT,93,NA,E_ATL,9/29/2010,1/23/2011,117
49880,10,AZTI,I_Arregi,BFT,93,NA,SE_ATL,1/24/2011,5/26/2011,123
49880,11,AZTI,I_Arregi,BFT,93,NA,E_ATL,5/27/2011,6/2/2011,7
49885,12,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/2/2010,4
49889,13,AZTI,I_Arregi,BFT,95,NA,E_ATL,9/29/2010,10/11/2010,13
79999,14,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/4/2010,13
79999,15,AZTI,I_Arregi,BFT,92,NA,SE_ATL,9/5/2010,10/19/2010,45
80001,16,AZTI,I_Arregi,BFT,95,NA,E_ATL,8/23/2010,9/25/2010,34
80003,17,AZTI,I_Arregi,BFT,90,NA,E_ATL,8/23/2010,1/31/2011,162
80003,18,AZTI,I_Arregi,BFT,90,NA,SE_ATL,2/1/2011,2/5/2011,5
80003,19,AZTI,I_Arregi,BFT,90,NA,E_ATL,2/6/2011,2/14/2011,9
90813,20,AZTI,I_Arregi,BFT,89,NA,E_ATL,8/26/2008,3/22/2009,209
90813,21,AZTI,I_Arregi,BFT,89,NA,SE_ATL,3/23/2009,4/28/2009,37
90813,22,AZTI,I_Arregi,BFT,89,NA,E_ATL,4/29/2009,8/10/2009,104
93709,23,AZTI,I_Arregi,BFT,110,NA,E_ATL,9/22/2009,3/16/2010,176
93710,24,AZTI,I_Arregi,BFT,91,NA,E_ATL,8/23/2010,1/31/2011,162
93710,25,AZTI,I_Arregi,BFT,91,NA,SE_ATL,2/1/2011,2/2/2011,2
93712,26,AZTI,I_Arregi,BFT,107,NA,E_ATL,9/22/2009,2/1/2010,133
93713,27,AZTI,I_Arregi,BFT,92,NA,E_ATL,8/23/2010,9/14/2010,23
93714,28,AZTI,I_Arregi,BFT,103,NA,E_ATL,9/22/2009,4/5/2010,196
93714,29,AZTI,I_Arregi,BFT,103,NA,SE_ATL,4/6/2010,5/9/2010,34
93714,30,AZTI,I_Arregi,BFT,103,NA,E_ATL,5/10/2010,5/18/2010,9
93715,31,AZTI,I_Arregi,BFT,97,NA,E_ATL,8/23/2010,5/23/2011,274
390540,32,AZTI,I_Arregi,BFT,64,NA,E_ATL,8/18/2007,1/17/2008,153
390540,33,AZTI,I_Arregi,BFT,64,NA,SE_ATL,1/18/2008,2/1/2008,15
390540,34,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/2/2008,2/7/2008,6
390540,35,AZTI,I_Arregi,BFT,64,NA,SE_ATL,2/8/2008,2/17/2008,10
390540,36,AZTI,I_Arregi,BFT,64,NA,E_ATL,2/18/2008,3/3/2008,15
390540,37,AZTI,I_Arregi,BFT,64,NA,SE_ATL,3/4/2008,4/18/2008,46
390540,38,AZTI,I_Arregi,BFT,64,NA,SC_ATL,4/19/2008,4/20/2008,2
390540,39,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/21/2008,5/15/2008,25
390540,40,AZTI,I_Arregi,BFT,64,NA,E_ATL,5/16/2008,12/11/2008,210
390540,41,AZTI,I_Arregi,BFT,64,NA,NC_ATL,12/12/2008,2/2/2009,53
390540,42,AZTI,I_Arregi,BFT,64,NA,W_ATL,2/3/2009,4/24/2009,81
390540,43,AZTI,I_Arregi,BFT,64,NA,NC_ATL,4/25/2009,6/1/2009,38
390540,44,AZTI,I_Arregi,BFT,64,NA,E_ATL,6/2/2009,8/2/2009,62
390579,45,AZTI,I_Arregi,BFT,67,NA,E_ATL,9/1/2005,12/15/2005,106
390579,46,AZTI,I_Arregi,BFT,67,NA,SE_ATL,12/16/2005,1/23/2006,39
390579,47,AZTI,I_Arregi,BFT,67,NA,E_ATL,1/24/2006,3/30/2006,66
390579,48,AZTI,I_Arregi,BFT,67,NA,SE_ATL,3/31/2006,4/9/2006,10
390579,49,AZTI,I_Arregi,BFT,67,NA,E_ATL,4/10/2006,6/14/2006,66
790068,50,AZTI,I_Arregi,BFT,70,NA,E_ATL,8/18/2007,12/29/2007,134
790068,51,AZTI,I_Arregi,BFT,70,NA,SE_ATL,12/30/2007,1/4/2008,6
790068,52,AZTI,I_Arregi,BFT,70,NA,E_ATL,1/5/2008,1/6/2008,2
790068,53,AZTI,I_Arregi,BFT,70,NA,SE_ATL,1/7/2008,2/23/2008,48
790068,54,AZTI,I_Arregi,BFT,70,NA,E_ATL,2/24/2008,3/9/2008,15
790068,55,AZTI,I_Arregi,BFT,70,NA,NC_ATL,3/10/2008,4/5/2008,27
790068,56,AZTI,I_Arregi,BFT,70,NA,SC_ATL,4/6/2008,4/7/2008,2
790068,57,AZTI,I_Arregi,BFT,70,NA,W_ATL,4/8/2008,9/24/2009,535
790076,58,AZTI,I_Arregi,BFT,NA,NA,E_ATL,8/17/2007,1/1/2008,138
790076,59,AZTI,I_Arregi,BFT,NA,NA,SE_ATL,1/2/2008,1/7/2008,6
790076,60,AZTI,I_Arregi,BFT,NA,NA,SC_ATL,1/8/2008,1/9/2008,2
790076,61,AZTI,I_Arregi,BFT,NA,NA,NC_ATL,1/10/2008,1/14/2008,5
