"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","7","","","","","",""
"2","WATL","","12","","1","","","","","44","45","","","","",""
"3","GSL","","","","","","","","","1","1","","","","",""
"4","SATL","","","","4","","4","1","","","","","","","",""
"5","NATL","","2","","3","1","","","","","","","","","",""
"6","EATL","","1","","8","","9","","","","","","","","",""
"7","MED","","","","3","","","37","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","37","4","","","","",""
"10","WATL","","8","","6","2","1","2","","28","12","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","1","","8","","4","1","","","","","","","",""
"13","NATL","","","","1","","","","","","","","","","",""
"14","EATL","","","","2","","5","1","","","","","","","",""
"15","MED","","","","","","","17","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","2","18","3","","","",""
"18","WATL","","7","","1","","1","","","","18","2","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","1","","2","2","3","3","","","","","","","",""
"21","NATL","","","","","1","1","","","","","","","","",""
"22","EATL","","","","1","","5","","","","","","","","",""
"23","MED","","","1","6","3","9","34","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","7","","","","","","","1","18","2","","","",""
"27","GSL","","2","","","","","","","6","29","","","","",""
"28","SATL","","","","4","","","1","","","","","","","",""
"29","NATL","","","","","4","","","","","","","","","",""
"30","EATL","","","","1","4","22","","","","","","","","",""
"31","MED","","","","2","","","47","","","","","","","",""
