"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","37","4","","","","",""
"2","WATL","","5","","1","2","","2","","28","","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","1","","5","","4","1","","","","","","","",""
"5","NATL","","","","1","","","","","","","","","","",""
"6","EATL","","","","2","","4","1","","","","","","","",""
"7","MED","","","","","","","17","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","2","18","3","","","",""
"10","WATL","","4","","1","","1","","","","1","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","1","1","1","3","","","","","","","",""
"13","NATL","","","","","1","1","","","","","","","","",""
"14","EATL","","","","1","","4","","","","","","","","",""
"15","MED","","","1","6","3","9","34","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","3","","","","","","","1","8","1","","","",""
"19","GSL","","1","","","","","","","6","25","","","","",""
"20","SATL","","","","3","","","1","","","","","","","",""
"21","NATL","","","","","4","","","","","","","","","",""
"22","EATL","","","","1","2","20","","","","","","","","",""
"23","MED","","","","2","","","47","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","7","","","","","",""
"26","WATL","","5","","","","","","","44","27","","","","",""
"27","GSL","","","","","","","","","1","","","","","",""
"28","SATL","","","","3","","3","1","","","","","","","",""
"29","NATL","","1","","2","1","","","","","","","","","",""
"30","EATL","","1","","7","","8","","","","","","","","",""
"31","MED","","","","3","","","37","","","","","","","",""
