"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","28","","","","","",""
"2","WATL","","48","","","","","","","176","192","","4","","",""
"3","GSL","","","","","","","","","4","4","","","","",""
"4","SATL","","","","16","","16","4","","","","","","","",""
"5","NATL","","8","","12","4","","","","","","","","","",""
"6","EATL","","4","","32","","36","","","","","","","","",""
"7","MED","","","","12","","","148","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","148","16","","","","",""
"10","WATL","","32","","24","8","4","8","","112","56","","4","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","4","","28","","16","4","","","","","4","","",""
"13","NATL","","","","4","","","","","","","","","","",""
"14","EATL","","","","8","","20","4","","","","","","","",""
"15","MED","","","","","","","68","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","8","72","12","","","",""
"18","WATL","","28","","4","","4","","","","76","8","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","8","8","12","12","","","8","","","","",""
"21","NATL","","","","","4","4","","","","","","","","",""
"22","EATL","","","","4","","20","","","","","","","","",""
"23","MED","","","4","24","12","36","136","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","24","","","","","","","4","84","8","","","",""
"27","GSL","","8","","","","","","","24","120","","","","",""
"28","SATL","","","","16","","","4","","","","","","","",""
"29","NATL","","","","","16","","","","","","","","","",""
"30","EATL","","","","4","16","88","","","","","","","","",""
"31","MED","","","","8","","","188","","","","","","","",""
