"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM",NA,NA,NA,NA,NA,NA,NA,"","53","7",NA,"2",NA,NA,NA
"2","WATL",NA,"1",NA,NA,"1",NA,"2","","19","229",NA,"8","2","10",NA
"3","GSL",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"4","SATL",NA,NA,NA,"1",NA,NA,"1","",NA,"1",NA,"4",NA,"4",NA
"5","NATL",NA,NA,NA,NA,NA,NA,NA,"",NA,"2",NA,"2","1",NA,NA
"6","EATL",NA,NA,NA,"1",NA,"1","1","",NA,"1",NA,"1",NA,NA,NA
"7","MED",NA,NA,NA,NA,NA,NA,"14","",NA,NA,NA,NA,NA,NA,NA
"8","","","","","","","","","","","","","","","",""
"9","GOM",NA,NA,NA,NA,NA,NA,NA,"","2","22","3",NA,NA,NA,NA
"10","WATL",NA,NA,NA,"1",NA,NA,NA,"",NA,"117","5",NA,"5","6",NA
"11","GSL",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"12","SATL",NA,NA,NA,"1","1","1","1","",NA,"5","1",NA,"1","3","2"
"13","NATL",NA,NA,NA,NA,"1",NA,NA,"",NA,"2",NA,NA,"2","1",NA
"14","EATL",NA,NA,NA,"1",NA,NA,NA,"",NA,"4",NA,NA,"2","6",NA
"15","MED",NA,NA,NA,"6","3","9","24","",NA,NA,"1",NA,NA,NA,NA
"16","","","","","","","","","","","","","","","",""
"17","GOM",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"18","WATL",NA,NA,NA,NA,NA,NA,NA,"","4","183","4",NA,NA,NA,NA
"19","GSL",NA,NA,NA,NA,NA,NA,NA,"","11","60","2",NA,NA,NA,NA
"20","SATL",NA,NA,NA,"2",NA,NA,"1","",NA,NA,NA,NA,NA,NA,NA
"21","NATL",NA,NA,NA,NA,"4",NA,NA,"",NA,NA,NA,NA,"3",NA,NA
"22","EATL",NA,NA,NA,"1",NA,"2",NA,"",NA,NA,NA,NA,"4","5",NA
"23","MED",NA,NA,NA,"1",NA,NA,"3","",NA,NA,NA,NA,NA,NA,"1"
"24","","","","","","","","","","","","","","","",""
"25","GOM",NA,NA,NA,NA,NA,NA,NA,"","14",NA,NA,NA,"1","1",NA
"26","WATL",NA,"1",NA,NA,NA,NA,NA,"","77","177",NA,"7","2","1",NA
"27","GSL",NA,NA,NA,NA,NA,NA,NA,"","1","4",NA,NA,NA,NA,NA
"28","SATL",NA,NA,NA,"1",NA,"3","1","",NA,NA,NA,NA,NA,NA,NA
"29","NATL",NA,"1",NA,"1",NA,NA,NA,"",NA,"2",NA,"2","2","1",NA
"30","EATL",NA,NA,NA,"1",NA,NA,NA,"",NA,"1",NA,"3",NA,NA,NA
"31","MED",NA,NA,NA,"2",NA,NA,"1","",NA,NA,NA,NA,NA,NA,NA
