Year,age,Prob(East),BFT_Area,Quarter
1974,6,0.072,W_ATL,3
1975,4,0.07,W_ATL,3
1975,2,0.268,W_ATL,3
2011,6,0.054,W_ATL,3
2011,11,0.182,W_ATL,3
2011,5,0.19,W_ATL,3
2011,4,0.176,W_ATL,3
2011,11,0.212,W_ATL,3
2011,10,0.04,W_ATL,3
2011,10,0.066,W_ATL,3
2011,9,0.072,W_ATL,3
2011,6,0.042,W_ATL,3
2011,10,0.26,W_ATL,4
1975,2,0.09,W_ATL,3
2011,12,0.044,W_ATL,4
2011,10,0.22,W_ATL,4
2011,10,0.126,W_ATL,3
2011,6,0.192,W_ATL,4
2011,5,0.652,W_ATL,4
2011,5,0.178,W_ATL,4
2011,4,0.074,W_ATL,4
2011,5,0.19,W_ATL,4
2011,4,0.038,W_ATL,4
2011,15,0.106,W_ATL,4
1975,2,0.086,W_ATL,3
2011,5,0.056,W_ATL,4
2011,20,0.226,W_ATL,4
2011,13,0.03,W_ATL,4
2011,10,0.022,W_ATL,3
2011,12,0.004,W_ATL,4
2011,11,0.39,W_ATL,4
2011,11,0.156,W_ATL,4
2011,11,0.312,W_ATL,4
2011,10,0.058,W_ATL,4
2011,10,0.1,W_ATL,4
1975,1,0.19,W_ATL,3
2011,9,0.06,W_ATL,4
2011,8,0.2,W_ATL,4
2011,8,0.058,W_ATL,4
2011,8,0.042,W_ATL,4
2011,10,0.032,W_ATL,3
2011,5,0.082,W_ATL,4
2011,16,0.124,W_ATL,4
2011,11,0.14,W_ATL,4
2011,9,0.12,W_ATL,4
2011,9,0.084,W_ATL,4
1975,1,0.096,W_ATL,3
2011,13,0.112,W_ATL,4
2011,12,0.212,W_ATL,4
2011,10,0.168,W_ATL,4
2011,10,0.104,W_ATL,3
2011,5,0.136,W_ATL,3
2011,8,0.198,W_ATL,3
2011,7,0.206,W_ATL,3
2011,9,0.058,W_ATL,2
2011,7,0.876,W_ATL,3
2011,6,0.43,W_ATL,3
1975,1,0.09,W_ATL,3
2011,7,0.462,W_ATL,3
2011,7,0.212,W_ATL,3
2011,10,0.214,W_ATL,3
2011,9,0.15,W_ATL,3
2011,8,0.188,W_ATL,2
2011,9,0.064,W_ATL,3
2011,6,0.176,W_ATL,3
2011,6,0.206,W_ATL,3
2011,6,0.146,W_ATL,3
2011,6,0.2,W_ATL,3
1975,1,0.016,W_ATL,3
2011,7,0.148,W_ATL,3
2011,6,0.288,W_ATL,3
2011,6,0.376,W_ATL,3
2011,6,0.128,W_ATL,3
