ID1,Source,ID,Year,Length,Type_length,Weight,Type_of_weight,age,Prob(East),GEAR,BFT_Area,Month,Season,Quarter
1,US,1974_MA_1,1974,152.1,CFL,NA,,6,0.072,PURSE SEINE,W_ATL,8,S,3
2,US,1974_MA_10,1975,126.7,CFL,NA,,4,0.07,PURSE SEINE,W_ATL,7,S,3
3,US,1974_MA_100,1975,82.9,CFL,NA,,2,0.268,,W_ATL,7,S,3
4,US,1974_MA_1000,2011,119.4,CFL,NA,,6,0.054,RR,W_ATL,9,F,3
5,US,1974_MA_1001,2011,194.3,CFL,NA,,11,0.182,,W_ATL,7,S,3
6,US,1974_MA_1002,2011,124.5,CFL,NA,,5,0.19,RR,W_ATL,9,F,3
7,US,1974_MA_1003,2011,117.5,CFL,NA,,4,0.176,RR,W_ATL,9,F,3
8,US,1974_MA_1004,2011,189.9,CFL,NA,,11,0.212,,W_ATL,9,F,3
9,US,1974_MA_1005,2011,190.5,CFL,NA,,10,0.04,RR,W_ATL,9,F,3
10,US,1974_MA_1006,2011,241.3,CFL,NA,,10,0.066,RR,W_ATL,9,F,3
11,US,1974_MA_1007,2011,193,CFL,NA,,9,0.072,RR,W_ATL,9,F,3
12,US,1974_MA_1008,2011,119.4,CFL,NA,,6,0.042,RR,W_ATL,9,F,3
13,US,1974_MA_1009,2011,190.5,CFL,NA,,10,0.26,RR,W_ATL,10,F,4
14,US,1974_MA_101,1975,81,CFL,NA,,2,0.09,,W_ATL,7,S,3
15,US,1974_MA_1010,2011,184.6,CFL,NA,,12,0.044,,W_ATL,10,F,4
16,US,1974_MA_1011,2011,187.8,CFL,NA,,10,0.22,,W_ATL,10,F,4
17,US,1974_MA_1012,2011,182.9,CFL,NA,,10,0.126,,W_ATL,7,S,3
18,US,1974_MA_1013,2011,111.7,CFL,NA,,6,0.192,RR,W_ATL,10,F,4
19,US,1974_MA_1014,2011,106.7,CFL,NA,,5,0.652,RR,W_ATL,10,F,4
20,US,1974_MA_1015,2011,129.5,CFL,NA,,5,0.178,RR,W_ATL,10,F,4
21,US,1974_MA_1016,2011,106.7,CFL,NA,,4,0.074,RR,W_ATL,10,F,4
22,US,1974_MA_1017,2011,119.4,CFL,NA,,5,0.19,RR,W_ATL,10,F,4
23,US,1974_MA_1018,2011,104.1,CFL,NA,,4,0.038,RR,W_ATL,10,F,4
24,US,1974_MA_1019,2011,276.9,CFL,NA,,15,0.106,RR,W_ATL,10,F,4
25,US,1974_MA_102,1975,87.5,CFL,NA,,2,0.086,RR,W_ATL,7,S,3
