;ID1;Source;ID;Year;Length;Type_length;Weight;Type_of_weight;age;Prob.East.;GEAR;BFT_Area;Month;quarter;Method
100;100;US+Can;09BFT1-1;2009;265;SFL;327.2489425;EST_L;12;0.452;LL;GOM;5;2;Otolith Chemistry
102;102;US+Can;09BFT11-4;2009;266;SFL;364.6410877;EST_L;13;0.01;LL;GOM;4;2;Otolith Chemistry
103;103;US+Can;09BFT12-2;2009;273;SFL;394.3585136;EST_L;14;0;LL;GOM;4;2;Otolith Chemistry
104;104;US+Can;09BFT13-3;2009;269;SFL;377.1866962;EST_L;16;0.202;LL;GOM;4;2;Otolith Chemistry
105;105;US+Can;09BFT14-1;2009;261;SFL;344.3569323;EST_L;16;0.056;LL;GOM;4;2;Otolith Chemistry
106;106;US+Can;09BFT15-4;2009;243;SFL;252.3500815;EST_L;12;0.052;LL;GOM;5;2;Otolith Chemistry
108;108;US+Can;09BFT17-1;2009;230;SFL;235.1700646;EST_L;10;0.058;LL;GOM;4;2;Otolith Chemistry
113;113;US+Can;09BFT2-2;2009;229;SFL;232.0995771;EST_L;9;0.052;LL;GOM;4;2;Otolith Chemistry
115;115;US+Can;09BFT21-5;2009;250;SFL;302.4159279;EST_L;15;0.202;LL;GOM;4;2;Otolith Chemistry
117;117;US+Can;09BFT22-4;2009;268;SFL;372.9732877;EST_L;18;0.016;LL;GOM;4;2;Otolith Chemistry
118;118;US+Can;09BFT23-6;2009;252;SFL;309.7720767;EST_L;14;0.188;LL;GOM;4;2;Otolith Chemistry
119;119;US+Can;09BFT24-4;2009;249;SFL;271.5002834;EST_L;20;0.026;LL;GOM;5;2;Otolith Chemistry
122;122;US+Can;09BFT26-2;2009;260;SFL;340.3928027;EST_L;11;0.2;LL;GOM;4;2;Otolith Chemistry
123;123;US+Can;09BFT27-1;2009;287;SFL;458.564576;EST_L;15;0.028;LL;GOM;4;2;Otolith Chemistry
126;126;US+Can;09BFT3-3;2009;231;SFL;216.7935107;EST_L;9;0.174;LL;GOM;5;2;Otolith Chemistry
129;129;US+Can;09BFT32-3;2009;245;SFL;258.6298932;EST_L;15;0.076;LL;GOM;5;2;Otolith Chemistry
130;130;US+Can;09BFT33-2;2009;242;SFL;249.248653;EST_L;9;0.032;LL;GOM;5;2;Otolith Chemistry
134;134;US+Can;09BFT37-3;2009;266;SFL;330.966188;EST_L;16;0.052;LL;GOM;5;2;Otolith Chemistry
136;136;US+Can;09BFT39-2;2009;257;SFL;298.5077163;EST_L;13;0.072;LL;GOM;5;2;Otolith Chemistry
137;137;US+Can;09BFT4-4;2009;262;SFL;316.264382;EST_L;8;0.032;LL;GOM;5;2;Otolith Chemistry
139;139;US+Can;09BFT41-1;2009;229;SFL;211.2132699;EST_L;11;0.044;LL;GOM;5;2;Otolith Chemistry
140;140;US+Can;09BFT42-2;2009;261;SFL;312.6582361;EST_L;16;0.086;LL;GOM;5;2;Otolith Chemistry
141;141;US+Can;09BFT43-1;2009;262;SFL;348.3518029;EST_L;14;0.026;LL;GOM;4;2;Otolith Chemistry
143;143;US+Can;09BFT44-3;2009;248;SFL;295.1774782;EST_L;11;0.05;LL;GOM;4;2;Otolith Chemistry
144;144;US+Can;09BFT45-2;2009;261;SFL;344.3569323;EST_L;11;0.046;LL;GOM;4;2;Otolith Chemistry
145;145;US+Can;09BFT46-1;2009;257;SFL;328.6836622;EST_L;14;0.002;LL;GOM;4;2;Otolith Chemistry
146;146;US+Can;09BFT47-1;2009;230;SFL;235.1700646;EST_L;12;0.004;LL;GOM;4;2;Otolith Chemistry
147;147;US+Can;09BFT47-2;2009;245;SFL;284.5383965;EST_L;16;0.158;LL;GOM;4;2;Otolith Chemistry
149;149;US+Can;09BFT49-3;2009;238;SFL;237.0969976;EST_L;14;0.156;LL;GOM;5;2;Otolith Chemistry
