ID1;Source;ID;Year;Length;Type_length;Weight;Type_of_weight;age;Prob.East.;GEAR;BFT_Area;Month;quarter;Method
100;US+Can;09BFT1-1;2009;265;SFL;32.724.894.254.641;EST_L;12;0.452;LL;GOM;5;2;Otolith Chemistry
102;US+Can;09BFT11-4;2009;266;SFL;364.641.087.699.322;EST_L;13;0.01;LL;GOM;4;2;Otolith Chemistry
103;US+Can;09BFT12-2;2009;273;SFL;394.358.513.609.589;EST_L;14;0;LL;GOM;4;2;Otolith Chemistry
104;US+Can;09BFT13-3;2009;269;SFL;377.186.696.154.925;EST_L;16;0.202;LL;GOM;4;2;Otolith Chemistry
105;US+Can;09BFT14-1;2009;261;SFL;344.356.932.346.102;EST_L;16;0.056;LL;GOM;4;2;Otolith Chemistry
106;US+Can;09BFT15-4;2009;243;SFL;252.350.081.541.394;EST_L;12;0.052;LL;GOM;5;2;Otolith Chemistry
108;US+Can;09BFT17-1;2009;230;SFL;235.170.064.625.372;EST_L;10;0.058;LL;GOM;4;2;Otolith Chemistry
113;US+Can;09BFT2-2;2009;229;SFL;232.099.577.115.828;EST_L;9;0.052;LL;GOM;4;2;Otolith Chemistry
115;US+Can;09BFT21-5;2009;250;SFL;302.415.927.889.422;EST_L;15;0.202;LL;GOM;4;2;Otolith Chemistry
117;US+Can;09BFT22-4;2009;268;SFL;372.973.287.709.603;EST_L;18;0.016;LL;GOM;4;2;Otolith Chemistry
118;US+Can;09BFT23-6;2009;252;SFL;309.772.076.710.365;EST_L;14;0.188;LL;GOM;4;2;Otolith Chemistry
119;US+Can;09BFT24-4;2009;249;SFL;271.500.283.363.202;EST_L;20;0.026;LL;GOM;5;2;Otolith Chemistry
122;US+Can;09BFT26-2;2009;260;SFL;340.392.802.700.231;EST_L;11;0.2;LL;GOM;4;2;Otolith Chemistry
123;US+Can;09BFT27-1;2009;287;SFL;458.564.576.049.646;EST_L;15;0.028;LL;GOM;4;2;Otolith Chemistry
