,SampID,PortSampled,Source,ID,Year,Length,Type_length,Weight,Type_of_weight,age,Prob.East.,GEAR,BFT_Area,Month,quarter,Method
1,129,Miscou,Can,09BFT1-1,1975,289.05,CFL,431,TW,19,0.306,RR,GSL,9,3,stable isotope
2,140,Caraquet,Can,09BFT1-1,1975,292.01,CFL,445,TW,22,0.13,RR,GSL,9,3,stable isotope
3,171,Caraquet,Can,09BFT1-1,1975,284.02,CFL,376,TW,19,0.502,RR,GSL,8,3,stable isotope
4,188,Caraquet,Can,09BFT1-1,1975,296.17,CFL,426,TW,21,0.272,RR,GSL,8,3,stable isotope
5,196,Miscou,Can,09BFT1-1,1975,293.17,CFL,450,TW,22,0.31,RR,GSL,9,3,stable isotope
6,700,Virginia,Can,09BFT1-1,1977,114.45,CFL,20,TW,3,0.91,PS,W_ATL,7,3,stable isotope
7,703,Virginia,Can,09BFT1-1,1977,122.83,CFL,31,TW,4,0.078,PS,W_ATL,7,3,stable isotope
8,704,Virginia,Can,09BFT1-1,1977,109.63,CFL,25,TW,3,0.708,PS,W_ATL,7,3,stable isotope
9,705,Virginia,Can,09BFT1-1,1977,130.26,CFL,34,TW,4,0.896,PS,W_ATL,7,3,stable isotope
10,706,Virginia,Can,09BFT1-1,1977,108.8,CFL,22,TW,3,0.038,PS,W_ATL,7,3,stable isotope
11,710,Virginia,Can,09BFT1-1,1977,132.67,CFL,39,TW,4,0.018,PS,W_ATL,7,3,stable isotope
12,712,Virginia,Can,09BFT1-1,1977,114.55,CFL,28,TW,3,0.12,PS,W_ATL,7,3,stable isotope
13,713,Virginia,Can,09BFT1-1,1977,110.89,CFL,20,TW,3,0.024,PS,W_ATL,7,3,stable isotope
14,715,Virginia,Can,09BFT1-1,1977,127.54,CFL,32,TW,4,0.93,PS,W_ATL,7,3,stable isotope
15,716,Virginia,Can,09BFT1-1,1977,128.17,CFL,34,TW,4,0.03,PS,W_ATL,7,3,stable isotope
16,718,Virginia,Can,09BFT1-1,1977,130.68,CFL,34,TW,3,0.74,PS,W_ATL,7,3,stable isotope
17,719,Virginia,Can,09BFT1-1,1977,102.62,CFL,17,TW,3,0.866,PS,W_ATL,7,3,stable isotope
18,724,Virginia,Can,09BFT1-1,1977,155.29,CFL,62,TW,NA,0.024,PS,W_ATL,7,3,stable isotope
19,730,Virginia,Can,09BFT1-1,1977,92.25,CFL,13,TW,2,0.04,PS,W_ATL,7,3,stable isotope
20,731,Virginia,Can,09BFT1-1,1977,83.25,CFL,11,TW,2,0.414,PS,W_ATL,7,3,stable isotope
21,732,Virginia,Can,09BFT1-1,1977,86.49,CFL,13,TW,2,0.012,PS,W_ATL,7,3,stable isotope
22,733,Virginia,Can,09BFT1-1,1977,85.24,CFL,13,TW,2,0.034,PS,W_ATL,7,3,stable isotope
23,738,Virginia,Can,09BFT1-1,1977,81.68,CFL,12,TW,2,0.018,PS,W_ATL,7,3,stable isotope
24,739,Virginia,Can,09BFT1-1,1977,100.73,CFL,17,TW,3,0.19,PS,W_ATL,7,3,stable isotope
25,745,Virginia,Can,09BFT1-1,1977,79.16,CFL,10,TW,NA,0.802,PS,W_ATL,7,3,stable isotope
26,964,Caraquet,Can,09BFT1-1,1977,274.3,CFL,367,TW,17,0.074,RR,GSL,8,3,stable isotope
27,972,Caraquet,Can,09BFT1-1,1977,292.1,CFL,416,TW,26,0.02,RR,GSL,8,3,stable isotope
28,973,Caraquet,Can,09BFT1-1,1977,284.5,CFL,401,TW,22,0.458,RR,GSL,8,3,stable isotope
29,1019,Caraquet,Can,09BFT1-1,1977,281.9,CFL,386,TW,24,0.274,RR,GSL,8,3,stable isotope
30,1036,Caraquet,Can,09BFT1-1,1977,289.6,CFL,426,TW,24,0.02,RR,GSL,8,3,stable isotope
31,2070,B/P,Can,09BFT1-1,1982,NA,CFL,NA,TW,NA,0.024,RR,GSL,10,4,stable isotope
32,2908,New England,Can,09BFT1-1,1976,85.03,CFL,12,TW,NA,0.038,PS,W_ATL,8,3,stable isotope
33,2909,New England,Can,09BFT1-1,1976,78.32,CFL,10,TW,2,0.084,PS,W_ATL,8,3,stable isotope
34,2910,New England,Can,09BFT1-1,1976,103.04,CFL,11,TW,3,0.062,PS,W_ATL,8,3,stable isotope
35,2911,New England,Can,09BFT1-1,1976,102.09,CFL,20,TW,3,0.076,PS,W_ATL,8,3,stable isotope
36,2912,New England,Can,09BFT1-1,1976,101.15,CFL,19,TW,3,0.26,PS,W_ATL,8,3,stable isotope
37,2913,New England,Can,09BFT1-1,1976,97.59,CFL,17,TW,3,0.016,PS,W_ATL,8,3,stable isotope
38,2914,New England,Can,09BFT1-1,1976,102.2,CFL,19,TW,3,0.036,PS,W_ATL,8,3,stable isotope
39,2916,New England,Can,09BFT1-1,1976,97.7,CFL,20,TW,3,0.02,PS,W_ATL,8,3,stable isotope
40,2917,New England,Can,09BFT1-1,1976,105.03,CFL,19,TW,3,0.026,PS,W_ATL,8,3,stable isotope
41,2918,New England,Can,09BFT1-1,1976,98.95,CFL,18,TW,3,0.066,PS,W_ATL,8,3,stable isotope
42,2921,New England,Can,09BFT1-1,1976,101,CFL,17,TW,3,0.862,PS,W_ATL,8,3,stable isotope
43,2922,New England,Can,09BFT1-1,1976,101,CFL,17,TW,3,0.082,PS,W_ATL,8,3,stable isotope
44,2923,New England,Can,09BFT1-1,1976,84.4,CFL,10,TW,2,0.062,PS,W_ATL,8,3,stable isotope
45,2924,New England,Can,09BFT1-1,1976,101.69,CFL,18,TW,2,0.014,PS,W_ATL,8,3,stable isotope
46,2925,New England,Can,09BFT1-1,1976,104.2,CFL,19,TW,3,0.068,PS,W_ATL,8,3,stable isotope
47,2926,New England,Can,09BFT1-1,1976,104.7,CFL,19,TW,3,0.092,PS,W_ATL,8,3,stable isotope
48,2927,New England,Can,09BFT1-1,1976,84.8,CFL,10,TW,2,0.228,PS,W_ATL,8,3,stable isotope
49,2931,New England,Can,09BFT1-1,1976,88.2,CFL,12,TW,2,0.028,PS,W_ATL,8,3,stable isotope
50,2935,New England,Can,09BFT1-1,1976,107.7,CFL,21,TW,3,0.008,PS,W_ATL,8,3,stable isotope
51,2936,New England,Can,09BFT1-1,1976,82.1,CFL,9,TW,2,0.072,PS,W_ATL,8,3,stable isotope
52,2937,New England,Can,09BFT1-1,1976,99,CFL,16,TW,NA,0.668,PS,W_ATL,8,3,stable isotope
53,2939,New England,Can,09BFT1-1,1976,84.1,CFL,10,TW,2,0.3,PS,W_ATL,8,3,stable isotope
