"","Method","Area","Decade","Quarter","n"
"1","Otolith Chemistry","GOM",1970,1,9
"2","Otolith Chemistry","WATL",1990,1,10
"3","Otolith Chemistry","GOM",2010,1,43
"4","Genetics","SATL",2010,1,20
"5","Otolith Chemistry","WATL",2010,1,331
"6","Otolith Chemistry","GOM",1970,2,93
"7","Otolith Chemistry","WATL",1970,2,34
"8","Otolith Chemistry","WATL",1990,2,4
"9","Otolith Chemistry","GOM",2000,2,75
"10","Otolith Chemistry","WATL",2000,2,1
"11","Otolith Chemistry","EATL",2010,2,11
"12","Otolith Chemistry","GOM",2010,2,99
"13","Genetics","MED",2010,2,81
"14","Otolith Chemistry","MED",2010,2,118
"15","Genetics","SATL",2010,2,16
"16","Otolith Chemistry","SATL",2010,2,109
"17","Otolith Chemistry","WATL",2010,2,264
"18","Otolith Chemistry","WATL",1970,3,212
"19","Otolith Chemistry","WATL",1990,3,125
"20","Otolith Chemistry","WATL",2000,3,30
"21","Genetics","EATL",2010,3,30
"22","Otolith Chemistry","EATL",2010,3,30
"23","Otolith Chemistry","GSL",2010,3,594
"24","Genetics","MED",2010,3,14
"25","Otolith Chemistry","MED",2010,3,79
"26","Genetics","NATL",2010,3,1
"27","Genetics","SATL",2010,3,25
"28","Otolith Chemistry","SATL",2010,3,34
"29","Genetics","WATL",2010,3,19
"30","Otolith Chemistry","WATL",2010,3,1103
"31","Otolith Chemistry","WATL",1970,4,1
"32","Otolith Chemistry","WATL",1990,4,29
"33","Otolith Chemistry","WATL",2000,4,29
"34","Otolith Chemistry","EATL",2010,4,1
"35","Otolith Chemistry","GSL",2010,4,260
"36","Genetics","MED",2010,4,4
"37","Genetics","NATL",2010,4,2
"38","Otolith Chemistry","NATL",2010,4,1
"39","Genetics","SATL",2010,4,33
"40","Otolith Chemistry","SATL",2010,4,29
"41","Otolith Chemistry","WATL",2010,4,236
