Year,subyear,area,stock,Ino,type,index,CV,Name
2000,3,7,1,1,1,0.02,0.38,FR_AER_SUV1
2001,3,7,1,1,1,0.01,0.37,FR_AER_SUV1
2002,3,7,1,1,1,0.01,0.51,FR_AER_SUV1
2003,3,7,1,1,1,0.01,0.33,FR_AER_SUV1
2009,3,7,1,2,1,0.04,0.34,FR_AER_SUV2
2010,3,7,1,2,1,0.02,0.53,FR_AER_SUV2
2011,3,7,1,2,1,0.06,0.27,FR_AER_SUV2
2012,3,7,1,2,1,0.03,0.28,FR_AER_SUV2
2014,3,7,1,2,1,0.12,0.3,FR_AER_SUV2
2015,3,7,1,2,1,0.07,0.32,FR_AER_SUV2
2016,3,7,1,2,1,0.32,0.27,FR_AER_SUV2
2017,3,7,1,2,1,0.11,0.2,FR_AER_SUV2
2001,2,7,1,3,2,5.5,0.18,MED_LAR_SUV
2002,2,7,1,3,2,2.76,0.26,MED_LAR_SUV
2003,2,7,1,3,2,13.4,0.25,MED_LAR_SUV
2004,2,7,1,3,2,9.03,0.2,MED_LAR_SUV
2005,2,7,1,3,2,3.56,0.17,MED_LAR_SUV
2012,2,7,1,3,2,41.05,0.07,MED_LAR_SUV
2013,2,7,1,3,2,21.83,0.08,MED_LAR_SUV
2014,2,7,1,3,2,25.41,0.1,MED_LAR_SUV
2015,2,7,1,3,2,54.29,0.07,MED_LAR_SUV
1994,3,3,2,4,2,0.026,0.275,CAN_ACO_SUV
1995,3,3,2,4,2,0.034,0.135,CAN_ACO_SUV
1996,3,3,2,4,2,0.067,0.098,CAN_ACO_SUV
1997,3,3,2,4,2,0.038,0.119,CAN_ACO_SUV
1998,3,3,2,4,2,0.042,0.213,CAN_ACO_SUV
1999,3,3,2,4,2,0.035,0.12,CAN_ACO_SUV
2000,3,3,2,4,2,0.019,0.138,CAN_ACO_SUV
2001,3,3,2,4,2,0.037,0.145,CAN_ACO_SUV
2002,3,3,2,4,2,0.02,0.186,CAN_ACO_SUV
2003,3,3,2,4,2,0.036,0.144,CAN_ACO_SUV
2004,3,3,2,4,2,0.038,0.071,CAN_ACO_SUV
2005,3,3,2,4,2,0.051,0.054,CAN_ACO_SUV
2006,3,3,2,4,2,0.062,0.073,CAN_ACO_SUV
2007,3,3,2,4,2,0.042,0.131,CAN_ACO_SUV
2008,3,3,2,4,2,0.034,0.076,CAN_ACO_SUV
2009,3,3,2,4,2,0.057,0.09,CAN_ACO_SUV
2010,3,3,2,4,2,0.065,0.042,CAN_ACO_SUV
2011,3,3,2,4,2,0.05,0.08,CAN_ACO_SUV
2012,3,3,2,4,2,0.101,0.065,CAN_ACO_SUV
2013,3,3,2,4,2,0.056,0.057,CAN_ACO_SUV
2014,3,3,2,4,2,0.076,0.063,CAN_ACO_SUV
2015,3,3,2,4,2,0.073,0.098,CAN_ACO_SUV
2016,3,3,2,4,2,0.088,0.01,CAN_ACO_SUV
1977,2,1,2,5,2,3.20188,0.48411,GOM_LAR_SUV
1978,2,1,2,5,2,6.27295,0.23444,GOM_LAR_SUV
1981,2,1,2,5,2,1.11397,0.44768,GOM_LAR_SUV
1982,2,1,2,5,2,1.64395,0.28988,GOM_LAR_SUV
1983,2,1,2,5,2,1.4533,0.34379,GOM_LAR_SUV
1984,2,1,2,5,2,0.43214,0.53729,GOM_LAR_SUV
1986,2,1,2,5,2,0.46208,0.41825,GOM_LAR_SUV
1987,2,1,2,5,2,0.41591,0.46549,GOM_LAR_SUV
1988,2,1,2,5,2,1.55321,0.31992,GOM_LAR_SUV
1989,2,1,2,5,2,0.9795,0.3633,GOM_LAR_SUV
1990,2,1,2,5,2,0.45712,0.34453,GOM_LAR_SUV
1991,2,1,2,5,2,0.41978,0.56357,GOM_LAR_SUV
1992,2,1,2,5,2,0.59487,0.34269,GOM_LAR_SUV
1993,2,1,2,5,2,0.64618,0.65685,GOM_LAR_SUV
1994,2,1,2,5,2,0.72201,0.33966,GOM_LAR_SUV
1995,2,1,2,5,2,0.33446,0.53948,GOM_LAR_SUV
1996,2,1,2,5,2,1.05052,0.49152,GOM_LAR_SUV
1997,2,1,2,5,2,0.46436,0.38551,GOM_LAR_SUV
1998,2,1,2,5,2,0.15238,0.53764,GOM_LAR_SUV
1999,2,1,2,5,2,0.64954,0.50417,GOM_LAR_SUV
2000,2,1,2,5,2,0.32046,0.51215,GOM_LAR_SUV
2001,2,1,2,5,2,0.59307,0.31572,GOM_LAR_SUV
2002,2,1,2,5,2,0.33854,0.62216,GOM_LAR_SUV
2003,2,1,2,5,2,1.03354,0.38629,GOM_LAR_SUV
2004,2,1,2,5,2,0.69502,0.67179,GOM_LAR_SUV
