Species,Year,Flat,Fleet,Stock,GearGrp,GearCode,Qty_t
BFT,1950,Algerie,DZA,MED,TP,TRAP,100
BFT,1950,Canada,CAN,ATW,UN,UNCL,357
BFT,1950,Canada,CAN,ATW,RR,RRFB,75
BFT,1950,EU.France,EU.FRA-MED,MED,UN,UNCL,507
BFT,1950,EU.France,EU.FRA,ATE,BB,BB,1869
BFT,1950,EU.Greece,EU.GRC,MED,UN,UNCL,400
BFT,1950,EU.Italy,EU.ITA-IT-TYRREN,MED,TP,TRAP,2200
BFT,1950,Libya,LBY,MED,TP,TRAP,1000
BFT,1950,EU.Malta,EU.MLT,MED,UN,UNCL,100
BFT,1950,Maroc,MAR,ATE,UN,UNCL,4800
BFT,1950,EU.Portugal,EU.PRT-PT-MAINLND,ATE,TP,TRAP,1501
BFT,1950,Tunisie,TUN,MED,TP,TRAP,465
BFT,1950,U.S.A.,USA,ATW,PS,PS,1
BFT,1950,U.S.A.,USA,ATW,TP,TRAP,346
BFT,1950,U.S.A.,USA,ATW,TW,TRAW,7
BFT,1950,U.S.A.,USA,ATW,HP,HARP,102
BFT,1950,U.S.A.,USA,ATW,HL,HAND,79
BFT,1950,U.S.A.,USA,ATW,GN,GILL,2
BFT,1950,U.S.A.,USA,ATW,HL,SPHL,38
BFT,1950,Yugoslavia Fed.,YUG,MED,PS,PS,657
BFT,1951,Algerie,DZA,MED,TP,TRAP,100
BFT,1951,Canada,CAN,ATW,UN,UNCL,213
BFT,1951,Canada,CAN,ATW,RR,RRFB,86
BFT,1951,EU.France,EU.FRA-MED,MED,UN,UNCL,816
BFT,1951,EU.France,EU.FRA,ATE,BB,BB,2893
BFT,1951,EU.Greece,EU.GRC,MED,UN,UNCL,400
BFT,1951,EU.Italy,EU.ITA-IT-TYRREN,MED,TP,TRAP,1978
BFT,1951,Libya,LBY,MED,TP,TRAP,1100
BFT,1951,EU.Malta,EU.MLT,MED,UN,UNCL,100
BFT,1951,Maroc,MAR,ATE,UN,UNCL,4800
BFT,1951,EU.Portugal,EU.PRT-PT-MAINLND,ATE,TP,TRAP,1348
BFT,1951,Tunisie,TUN,MED,TP,TRAP,410
BFT,1951,U.S.A.,USA,ATW,PS,PS,100
BFT,1951,U.S.A.,USA,ATW,TP,TRAP,491
BFT,1951,U.S.A.,USA,ATW,TW,TRAW,6
BFT,1951,U.S.A.,USA,ATW,HP,HARP,50
BFT,1951,U.S.A.,USA,ATW,HL,HAND,148
BFT,1951,U.S.A.,USA,ATW,GN,GILL,1
BFT,1951,U.S.A.,USA,ATW,HL,SPHL,1
BFT,1951,Yugoslavia Fed.,YUG,MED,PS,PS,531
BFT,1952,Algerie,DZA,MED,TP,TRAP,100
BFT,1952,Canada,CAN,ATW,UN,UNCL,299
BFT,1952,Canada,CAN,ATW,RR,RRFB,69
BFT,1952,EU.France,EU.FRA-MED,MED,UN,UNCL,966
BFT,1952,EU.France,EU.FRA,ATE,BB,BB,2362
BFT,1952,EU.Greece,EU.GRC,MED,UN,UNCL,400
BFT,1952,EU.Italy,EU.ITA-IT-TYRREN,MED,TP,TRAP,1044
BFT,1952,EU.Italy,EU.ITA,MED,PS,PSFB,722
BFT,1952,Libya,LBY,MED,TP,TRAP,900
BFT,1952,EU.Malta,EU.MLT,MED,UN,UNCL,100
BFT,1952,Maroc,MAR,ATE,UN,UNCL,3400
BFT,1952,EU.Portugal,EU.PRT-PT-MAINLND,ATE,TP,TRAP,2086
BFT,1952,Tunisie,TUN,MED,TP,TRAP,290
BFT,1952,U.S.A.,USA,ATW,LL,LL,5
BFT,1952,U.S.A.,USA,ATW,TP,TRAP,135
BFT,1952,U.S.A.,USA,ATW,TW,TRAW,11
BFT,1952,U.S.A.,USA,ATW,HP,HARP,24
BFT,1952,U.S.A.,USA,ATW,HL,HAND,83
BFT,1952,U.S.A.,USA,ATW,RR,RRFB,1
BFT,1952,U.S.A.,USA,ATW,LL,LL-B,2
BFT,1952,Yugoslavia Fed.,YUG,MED,PS,PS,279
BFT,1953,Algerie,DZA,MED,TP,TRAP,98
BFT,1953,Canada,CAN,ATW,UN,UNCL,172
BFT,1953,Canada,CAN,ATW,RR,RRFB,29
BFT,1953,EU.France,EU.FRA-MED,MED,UN,UNCL,899
BFT,1953,EU.France,EU.FRA,ATE,BB,BB,2364
BFT,1953,EU.Greece,EU.GRC,MED,UN,UNCL,800
BFT,1953,EU.Italy,EU.ITA-IT-TYRREN,MED,TP,TRAP,2007
BFT,1953,EU.Italy,EU.ITA,MED,PS,PSFB,423
BFT,1953,EU.Italy,EU.ITA,MED,PS,PSFS,53
BFT,1953,Libya,LBY,MED,TP,TRAP,1700
BFT,1953,EU.Malta,EU.MLT,MED,UN,UNCL,100
BFT,1953,Maroc,MAR,ATE,UN,UNCL,4900
BFT,1953,EU.Portugal,EU.PRT-PT-MAINLND,ATE,TP,TRAP,2697
BFT,1953,Tunisie,TUN,MED,TP,TRAP,320
BFT,1953,U.S.A.,USA,ATW,LL,LL,1
BFT,1953,U.S.A.,USA,ATW,TP,TRAP,766
BFT,1953,U.S.A.,USA,ATW,TW,TRAW,1
BFT,1953,U.S.A.,USA,ATW,HP,HARP,25
BFT,1953,U.S.A.,USA,ATW,HL,HAND,85
BFT,1953,U.S.A.,USA,ATW,HL,SPHL,5
BFT,1953,Yugoslavia Fed.,YUG,MED,PS,PS,588
BFT,1954,Algerie,DZA,MED,TP,TRAP,62
BFT,1954,Canada,CAN,ATW,UN,UNCL,126
BFT,1954,Canada,CAN,ATW,RR,RRFB,49
BFT,1954,EU.France,EU.FRA-MED,MED,UN,UNCL,798
BFT,1954,EU.France,EU.FRA,ATE,BB,BB,3451
BFT,1954,EU.Greece,EU.GRC,MED,UN,UNCL,600
