FleetID,GearGrpCode,GearCode,YearC,TimePeriodID,SquareTypeCode,QuadID,Lat,Lon,Eff1,Eff1Type,DSetTypeID,CatchUnit,BFT
021ES00,TP,TRAP,1950,17,1x1,4,36,5,4,NO.TRAPS,nw,kg,6725000
021ES00,TP,TRAP,1950,17,1x1,4,36,5,4,NO.TRAPS,nw,nr,52928
026YU00,PS,PS,1950,17,5x5,1,40,15,14,NO.BOATS,#NAME?,kg,657000
021ES00,TP,TRAP,1951,17,1x1,4,36,5,4,NO.TRAPS,nw,kg,3072000
021ES00,TP,TRAP,1951,17,1x1,4,36,5,4,NO.TRAPS,nw,nr,28654
026YU00,PS,PS,1951,17,5x5,1,40,15,14,NO.BOATS,#NAME?,kg,531000
008FR00,BB,BB,1952,17,1x1,4,44,2,4800,D.AT SEA,#NAME?,kg,2362000
021ES00,TP,TRAP,1952,17,1x1,4,36,5,5,NO.TRAPS,nw,kg,4665000
021ES00,TP,TRAP,1952,17,1x1,4,36,5,5,NO.TRAPS,nw,nr,42186
026YU00,PS,PS,1952,17,5x5,1,40,15,16,NO.BOATS,#NAME?,kg,279000
008FR00,BB,BB,1953,17,1x1,4,44,2,5150,D.AT SEA,#NAME?,kg,2364000
021ES00,TP,TRAP,1953,17,1x1,4,36,5,5,NO.TRAPS,nw,kg,7171000
021ES00,TP,TRAP,1953,17,1x1,4,36,5,5,NO.TRAPS,nw,nr,62447
026YU00,PS,PS,1953,17,5x5,1,40,15,21,NO.BOATS,#NAME?,kg,588000
008FR00,BB,BB,1954,17,1x1,4,44,2,4850,D.AT SEA,#NAME?,kg,3451000
021ES00,TP,TRAP,1954,17,1x1,4,36,5,5,NO.TRAPS,nw,kg,6348000
021ES00,TP,TRAP,1954,17,1x1,4,36,5,5,NO.TRAPS,nw,nr,49139
023TN00,TP,TRAP,1954,4,5x5,1,35,10,3,TRAP D,nw,kg,1100
023TN00,TP,TRAP,1954,4,5x5,1,35,10,3,TRAP D,nw,nr,33
023TN00,TP,TRAP,1954,5,5x5,1,35,10,31,TRAP D,nw,kg,28600
023TN00,TP,TRAP,1954,5,5x5,1,35,10,31,TRAP D,nw,nr,212
023TN00,TP,TRAP,1954,6,5x5,1,35,10,60,TRAP D,nw,kg,325300
023TN00,TP,TRAP,1954,6,5x5,1,35,10,60,TRAP D,nw,nr,2956
023TN00,TP,TRAP,1954,7,5x5,1,35,10,7,TRAP D,nw,kg,100
023TN00,TP,TRAP,1954,7,5x5,1,35,10,7,TRAP D,nw,nr,2
026YU00,PS,PS,1954,17,5x5,1,40,15,27,NO.BOATS,#NAME?,kg,654000
008FR00,BB,BB,1955,17,1x1,4,44,2,3750,D.AT SEA,#NAME?,kg,3031000
021ES00,TP,TRAP,1955,17,1x1,4,36,5,5,NO.TRAPS,nw,kg,7181000
021ES00,TP,TRAP,1955,17,1x1,4,36,5,5,NO.TRAPS,nw,nr,50846
023TN00,TP,TRAP,1955,6,5x5,1,35,10,60,TRAP D,nw,kg,300600
023TN00,TP,TRAP,1955,6,5x5,1,35,10,60,TRAP D,nw,nr,2921
026YU00,PS,PS,1955,17,5x5,1,40,15,30,NO.BOATS,#NAME?,kg,345000
004CA00,RR,RR,1956,17,1x1,4,48,53,3,NO.BOATS,n-,nr,2
008FR00,BB,BB,1956,17,1x1,4,44,2,3500,D.AT SEA,#NAME?,kg,1453000
012JP00,LL,LL,1956,12,5x5,4,0,35,23400,NO.HOOKS,n-,nr,1
016MA00,TP,TRAP,1956,17,1x1,4,34,6,5,NO.TRAPS,#NAME?,kg,3347000
021ES00,TP,TRAP,1956,17,1x1,4,36,5,5,NO.TRAPS,nw,kg,7660000
021ES00,TP,TRAP,1956,17,1x1,4,36,5,5,NO.TRAPS,nw,nr,54170
026YU00,PS,PS,1956,17,5x5,1,40,15,27,NO.BOATS,#NAME?,kg,253000
004CA00,RR,RR,1957,17,1x1,4,48,53,3,NO.BOATS,n-,nr,10
008FR00,BB,BB,1957,17,1x1,4,44,2,4400,D.AT SEA,#NAME?,kg,1550000
012JP00,LL,LL,1957,4,5x5,4,0,25,1886,NO.HOOKS,n-,nr,8
012JP00,LL,LL,1957,4,5x5,4,0,40,6578,NO.HOOKS,n-,nr,13
012JP00,LL,LL,1957,8,5x5,4,5,20,23276,NO.HOOKS,n-,nr,2
012JP00,LL,LL,1957,8,5x5,4,5,30,9660,NO.HOOKS,n-,nr,1
012JP00,LL,LL,1957,9,5x5,4,0,15,138690,NO.HOOKS,n-,nr,1
012JP00,LL,LL,1957,9,5x5,4,0,20,92552,NO.HOOKS,n-,nr,13
012JP00,LL,LL,1957,9,5x5,4,0,25,2944,NO.HOOKS,n-,nr,3
012JP00,LL,LL,1957,9,5x5,4,0,30,7360,NO.HOOKS,n-,nr,1
012JP00,LL,LL,1957,10,5x5,4,0,25,22080,NO.HOOKS,n-,nr,85
