"","FleetID","GearGrpCode","GearCode","YearC","TimePeriodID","SquareTypeCode","QuadID","Lat","Lon","Eff1","Eff1Type","DSetType","CatchUnit","BFT"
"1","021ES00","TP","TRAP",1950,17,"1x1",4,36.5,-5.5,4,"NO.TRAPS","nw","kg",6725000
"2","021ES00","TP","TRAP",1950,17,"1x1",4,36.5,-5.5,4,"NO.TRAPS","nw","nr",52928
"3","026YU00","PS","PS",1950,17,"5x5",1,42.5,17.5,14,"NO.BOATS","-w","kg",657000
"4","021ES00","TP","TRAP",1951,17,"1x1",4,36.5,-5.5,4,"NO.TRAPS","nw","kg",3072000
"5","021ES00","TP","TRAP",1951,17,"1x1",4,36.5,-5.5,4,"NO.TRAPS","nw","nr",28654
"6","026YU00","PS","PS",1951,17,"5x5",1,42.5,17.5,14,"NO.BOATS","-w","kg",531000
"7","008FR00","BB","BB",1952,17,"1x1",4,44.5,-2.5,4800,"D.AT SEA","-w","kg",2362000
"8","021ES00","TP","TRAP",1952,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",4665000
"9","021ES00","TP","TRAP",1952,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",42186
"10","026YU00","PS","PS",1952,17,"5x5",1,42.5,17.5,16,"NO.BOATS","-w","kg",279000
"11","008FR00","BB","BB",1953,17,"1x1",4,44.5,-2.5,5150,"D.AT SEA","-w","kg",2364000
"12","021ES00","TP","TRAP",1953,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",7171000
"13","021ES00","TP","TRAP",1953,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",62447
"14","026YU00","PS","PS",1953,17,"5x5",1,42.5,17.5,21,"NO.BOATS","-w","kg",588000
"15","008FR00","BB","BB",1954,17,"1x1",4,44.5,-2.5,4850,"D.AT SEA","-w","kg",3451000
"16","021ES00","TP","TRAP",1954,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",6348000
"17","021ES00","TP","TRAP",1954,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",49139
"18","023TN00","TP","TRAP",1954,4,"5x5",1,37.5,12.5,3,"TRAP D","nw","kg",1100
"19","023TN00","TP","TRAP",1954,4,"5x5",1,37.5,12.5,3,"TRAP D","nw","nr",33
"20","023TN00","TP","TRAP",1954,5,"5x5",1,37.5,12.5,31,"TRAP D","nw","kg",28600
"21","023TN00","TP","TRAP",1954,5,"5x5",1,37.5,12.5,31,"TRAP D","nw","nr",212
"22","023TN00","TP","TRAP",1954,6,"5x5",1,37.5,12.5,60,"TRAP D","nw","kg",325300
"23","023TN00","TP","TRAP",1954,6,"5x5",1,37.5,12.5,60,"TRAP D","nw","nr",2956
"24","023TN00","TP","TRAP",1954,7,"5x5",1,37.5,12.5,7,"TRAP D","nw","kg",100
"25","023TN00","TP","TRAP",1954,7,"5x5",1,37.5,12.5,7,"TRAP D","nw","nr",2
"26","026YU00","PS","PS",1954,17,"5x5",1,42.5,17.5,27,"NO.BOATS","-w","kg",654000
"27","008FR00","BB","BB",1955,17,"1x1",4,44.5,-2.5,3750,"D.AT SEA","-w","kg",3031000
"28","021ES00","TP","TRAP",1955,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",7181000
"29","021ES00","TP","TRAP",1955,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",50846
"30","023TN00","TP","TRAP",1955,6,"5x5",1,37.5,12.5,60,"TRAP D","nw","kg",300600
"31","023TN00","TP","TRAP",1955,6,"5x5",1,37.5,12.5,60,"TRAP D","nw","nr",2921
"32","026YU00","PS","PS",1955,17,"5x5",1,42.5,17.5,30,"NO.BOATS","-w","kg",345000
"33","004CA00","SP","SPOR",1956,17,"1x1",4,48.5,-53.5,3,"NO.BOATS","n-","nr",2
"34","008FR00","BB","BB",1956,17,"1x1",4,44.5,-2.5,3500,"D.AT SEA","-w","kg",1453000
"35","012JP00","LL","LL",1956,12,"5x5",4,2.5,-37.5,23400,"NO.HOOKS","n-","nr",1
"36","016MA00","TP","TRAP",1956,17,"1x1",4,34.5,-6.5,5,"NO.TRAPS","-w","kg",3347000
"37","021ES00","TP","TRAP",1956,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",7660000
"38","021ES00","TP","TRAP",1956,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",54170
"39","026YU00","PS","PS",1956,17,"5x5",1,42.5,17.5,27,"NO.BOATS","-w","kg",253000
"40","004CA00","SP","SPOR",1957,17,"1x1",4,48.5,-53.5,3,"NO.BOATS","n-","nr",10
"41","008FR00","BB","BB",1957,17,"1x1",4,44.5,-2.5,4400,"D.AT SEA","-w","kg",1550000
"42","012JP00","LL","LL",1957,4,"5x5",4,2.5,-27.5,1886,"NO.HOOKS","n-","nr",8
"43","012JP00","LL","LL",1957,4,"5x5",4,2.5,-42.5,6578,"NO.HOOKS","n-","nr",13
"44","012JP00","LL","LL",1957,8,"5x5",4,7.5,-22.5,23276,"NO.HOOKS","n-","nr",2
"45","012JP00","LL","LL",1957,8,"5x5",4,7.5,-32.5,9660,"NO.HOOKS","n-","nr",1
"46","012JP00","LL","LL",1957,9,"5x5",4,2.5,-17.5,138690,"NO.HOOKS","n-","nr",1
"47","012JP00","LL","LL",1957,9,"5x5",4,2.5,-22.5,92552,"NO.HOOKS","n-","nr",13
"48","012JP00","LL","LL",1957,9,"5x5",4,2.5,-27.5,2944,"NO.HOOKS","n-","nr",3
"49","012JP00","LL","LL",1957,9,"5x5",4,2.5,-32.5,7360,"NO.HOOKS","n-","nr",1
"50","012JP00","LL","LL",1957,10,"5x5",4,2.5,-27.5,22080,"NO.HOOKS","n-","nr",85
"51","012JP00","LL","LL",1957,10,"5x5",4,2.5,-37.5,5578,"NO.HOOKS","n-","nr",2
"52","012JP00","LL","LL",1957,10,"5x5",4,7.5,-27.5,1770,"NO.HOOKS","n-","nr",8
"53","012JP00","LL","LL",1957,10,"5x5",4,7.5,-37.5,54337,"NO.HOOKS","n-","nr",36
"54","012JP00","LL","LL",1957,10,"5x5",4,7.5,-42.5,17480,"NO.HOOKS","n-","nr",3
"55","012JP00","LL","LL",1957,11,"5x5",4,2.5,-27.5,8913,"NO.HOOKS","n-","nr",6
"56","012JP00","LL","LL",1957,11,"5x5",4,2.5,-32.5,7763,"NO.HOOKS","n-","nr",10
"57","012JP00","LL","LL",1957,11,"5x5",4,2.5,-37.5,234123,"NO.HOOKS","n-","nr",20
"58","012JP00","LL","LL",1957,11,"5x5",4,7.5,-37.5,23805,"NO.HOOKS","n-","nr",10
"59","012JP00","LL","LL",1957,11,"5x5",4,7.5,-42.5,2300,"NO.HOOKS","n-","nr",6
"60","012JP00","LL","LL",1957,12,"5x5",4,2.5,-32.5,115552,"NO.HOOKS","n-","nr",6
"61","012JP00","LL","LL",1957,12,"5x5",4,2.5,-37.5,120014,"NO.HOOKS","n-","nr",8
"62","012JP00","LL","LL",1957,12,"5x5",4,7.5,-32.5,4600,"NO.HOOKS","n-","nr",1
"63","016MA00","TP","TRAP",1957,17,"1x1",4,34.5,-6.5,6,"NO.TRAPS","-w","kg",5784000
"64","021ES00","TP","TRAP",1957,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",8429000
"65","021ES00","TP","TRAP",1957,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",53484
"66","021ES02","BB","BB",1957,17,"1x1",4,44.5,-2.5,2325,"D.AT SEA","-w","kg",1604000
"67","023TN00","TP","TRAP",1957,5,"5x5",1,37.5,12.5,20,"TRAP D","nw","kg",7800
"68","023TN00","TP","TRAP",1957,5,"5x5",1,37.5,12.5,20,"TRAP D","nw","nr",104
"69","023TN00","TP","TRAP",1957,6,"5x5",1,37.5,12.5,30,"TRAP D","nw","kg",20500
"70","023TN00","TP","TRAP",1957,6,"5x5",1,37.5,12.5,30,"TRAP D","nw","nr",332
"71","023TN00","TP","TRAP",1957,7,"5x5",1,37.5,12.5,13,"TRAP D","nw","kg",5800
"72","023TN00","TP","TRAP",1957,7,"5x5",1,37.5,12.5,13,"TRAP D","nw","nr",121
"73","026YU00","PS","PS",1957,17,"5x5",1,42.5,17.5,29,"NO.BOATS","-w","kg",382000
"74","004CA00","SP","SPOR",1958,17,"1x1",4,48.5,-53.5,3,"NO.BOATS","n-","nr",8
"75","008FR00","BB","BB",1958,17,"1x1",4,44.5,-2.5,4400,"D.AT SEA","-w","kg",1303000
"76","012JP00","LL","LL",1958,1,"5x5",4,2.5,-32.5,65278,"NO.HOOKS","n-","nr",3
"77","012JP00","LL","LL",1958,2,"5x5",3,-7.5,-32.5,98688,"NO.HOOKS","n-","nr",62
"78","012JP00","LL","LL",1958,3,"5x5",3,-7.5,-27.5,8224,"NO.HOOKS","n-","nr",23
"79","012JP00","LL","LL",1958,3,"5x5",3,-7.5,-32.5,40092,"NO.HOOKS","n-","nr",134
"80","012JP00","LL","LL",1958,4,"5x5",3,-7.5,-32.5,28784,"NO.HOOKS","n-","nr",141
"81","012JP00","LL","LL",1958,4,"5x5",3,-12.5,-32.5,57568,"NO.HOOKS","n-","nr",54
"82","012JP00","LL","LL",1958,4,"5x5",4,2.5,-7.5,114283,"NO.HOOKS","n-","nr",3
"83","012JP00","LL","LL",1958,5,"5x5",4,2.5,-12.5,24137,"NO.HOOKS","n-","nr",3
"84","012JP00","LL","LL",1958,8,"5x5",4,7.5,-27.5,60845,"NO.HOOKS","n-","nr",10
"85","012JP00","LL","LL",1958,9,"5x5",4,7.5,-22.5,56900,"NO.HOOKS","n-","nr",5
"86","012JP00","LL","LL",1958,10,"5x5",4,2.5,-37.5,136146,"NO.HOOKS","n-","nr",33
"87","012JP00","LL","LL",1958,10,"5x5",4,7.5,-27.5,46620,"NO.HOOKS","n-","nr",13
"88","012JP00","LL","LL",1958,11,"5x5",4,7.5,-52.5,78359,"NO.HOOKS","n-","nr",10
"89","012JP00","LL","LL",1958,12,"5x5",4,2.5,-32.5,94473,"NO.HOOKS","n-","nr",5
"90","016MA00","TP","TRAP",1958,17,"1x1",4,34.5,-6.5,7,"NO.TRAPS","-w","kg",7961000
"91","021ES00","TP","TRAP",1958,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",8710000
"92","021ES00","TP","TRAP",1958,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",50486
"93","021ES02","BB","BB",1958,17,"1x1",4,44.5,-2.5,0,"-none-","-w","kg",1526000
"94","026YU00","PS","PS",1958,17,"5x5",1,42.5,17.5,32,"NO.BOATS","-w","kg",388000
"95","004CA00","SP","SPOR",1959,17,"1x1",4,48.5,-53.5,5,"NO.BOATS","n-","nr",11
"96","008FR00","BB","BB",1959,17,"1x1",4,44.5,-2.5,3950,"D.AT SEA","-w","kg",2031000
"97","012JP00","LL","LL",1959,2,"5x5",3,-17.5,-32.5,31205,"NO.HOOKS","n-","nr",20
"98","012JP00","LL","LL",1959,2,"5x5",3,-22.5,-37.5,6934,"NO.HOOKS","n-","nr",2
"99","012JP00","LL","LL",1959,3,"5x5",3,-7.5,-32.5,94253,"NO.HOOKS","n-","nr",1127
"100","012JP00","LL","LL",1959,3,"5x5",3,-12.5,-32.5,31638,"NO.HOOKS","n-","nr",711
"101","012JP00","LL","LL",1959,3,"5x5",3,-17.5,-32.5,10402,"NO.HOOKS","n-","nr",14
"102","012JP00","LL","LL",1959,4,"5x5",3,-7.5,-32.5,6304,"NO.HOOKS","n-","nr",18
"103","012JP00","LL","LL",1959,4,"5x5",3,-12.5,-32.5,22064,"NO.HOOKS","n-","nr",93
"104","012JP00","LL","LL",1959,4,"5x5",4,7.5,-47.5,3073,"NO.HOOKS","n-","nr",69
"105","012JP00","LL","LL",1959,4,"5x5",4,12.5,-52.5,5910,"NO.HOOKS","n-","nr",24
"106","012JP00","LL","LL",1959,6,"5x5",4,7.5,-47.5,158270,"NO.HOOKS","n-","nr",8
"107","012JP00","LL","LL",1959,7,"5x5",4,2.5,-37.5,10323,"NO.HOOKS","n-","nr",14
"108","012JP00","LL","LL",1959,7,"5x5",4,2.5,-47.5,74702,"NO.HOOKS","n-","nr",6
"109","012JP00","LL","LL",1959,7,"5x5",4,7.5,-32.5,198312,"NO.HOOKS","n-","nr",2
"110","012JP00","LL","LL",1959,7,"5x5",4,12.5,-27.5,281570,"NO.HOOKS","n-","nr",2
"111","012JP00","LL","LL",1959,7,"5x5",4,12.5,-32.5,93285,"NO.HOOKS","n-","nr",47
"112","012JP00","LL","LL",1959,8,"5x5",4,12.5,-22.5,440149,"NO.HOOKS","n-","nr",4
"113","012JP00","LL","LL",1959,8,"5x5",4,12.5,-27.5,483375,"NO.HOOKS","n-","nr",4
"114","012JP00","LL","LL",1959,9,"5x5",4,2.5,-22.5,14184,"NO.HOOKS","n-","nr",2
"115","012JP00","LL","LL",1959,9,"5x5",4,7.5,-27.5,25295,"NO.HOOKS","n-","nr",6
"116","012JP00","LL","LL",1959,9,"5x5",4,7.5,-37.5,55869,"NO.HOOKS","n-","nr",2
"117","012JP00","LL","LL",1959,9,"5x5",4,7.5,-42.5,21631,"NO.HOOKS","n-","nr",4
"118","012JP00","LL","LL",1959,9,"5x5",4,12.5,-27.5,193777,"NO.HOOKS","n-","nr",61
"119","012JP00","LL","LL",1959,10,"5x5",3,-2.5,-22.5,3940,"NO.HOOKS","n-","nr",2
"120","012JP00","LL","LL",1959,10,"5x5",4,2.5,-12.5,51850,"NO.HOOKS","n-","nr",2
"121","012JP00","LL","LL",1959,10,"5x5",4,2.5,-17.5,171193,"NO.HOOKS","n-","nr",6
"122","012JP00","LL","LL",1959,10,"5x5",4,2.5,-27.5,376301,"NO.HOOKS","n-","nr",229
"123","012JP00","LL","LL",1959,10,"5x5",4,2.5,-32.5,33490,"NO.HOOKS","n-","nr",197
"124","012JP00","LL","LL",1959,10,"5x5",4,2.5,-37.5,60341,"NO.HOOKS","n-","nr",30
"125","012JP00","LL","LL",1959,10,"5x5",4,7.5,-22.5,140469,"NO.HOOKS","n-","nr",2
"126","012JP00","LL","LL",1959,10,"5x5",4,7.5,-27.5,159152,"NO.HOOKS","n-","nr",26
"127","012JP00","LL","LL",1959,10,"5x5",4,7.5,-32.5,7486,"NO.HOOKS","n-","nr",51
"128","012JP00","LL","LL",1959,10,"5x5",4,7.5,-37.5,51291,"NO.HOOKS","n-","nr",2
"129","012JP00","LL","LL",1959,10,"5x5",4,7.5,-47.5,210004,"NO.HOOKS","n-","nr",4
"130","012JP00","LL","LL",1959,10,"5x5",4,7.5,-52.5,50688,"NO.HOOKS","n-","nr",2
"131","012JP00","LL","LL",1959,10,"5x5",4,12.5,-52.5,3940,"NO.HOOKS","n-","nr",2
"132","012JP00","LL","LL",1959,10,"5x5",4,17.5,-42.5,3940,"NO.HOOKS","n-","nr",2
"133","012JP00","LL","LL",1959,11,"5x5",3,-12.5,-17.5,66389,"NO.HOOKS","n-","nr",55
"134","012JP00","LL","LL",1959,11,"5x5",3,-12.5,-22.5,224363,"NO.HOOKS","n-","nr",4
"135","012JP00","LL","LL",1959,11,"5x5",3,-12.5,-27.5,12411,"NO.HOOKS","n-","nr",4
"136","012JP00","LL","LL",1959,11,"5x5",3,-17.5,-22.5,34278,"NO.HOOKS","n-","nr",2
"137","012JP00","LL","LL",1959,11,"5x5",4,2.5,-27.5,15705,"NO.HOOKS","n-","nr",65
"138","012JP00","LL","LL",1959,11,"5x5",4,2.5,-32.5,65499,"NO.HOOKS","n-","nr",165
"139","012JP00","LL","LL",1959,11,"5x5",4,2.5,-37.5,218936,"NO.HOOKS","n-","nr",75
"140","012JP00","LL","LL",1959,11,"5x5",4,7.5,-27.5,49644,"NO.HOOKS","n-","nr",26
"141","012JP00","LL","LL",1959,11,"5x5",4,7.5,-32.5,103961,"NO.HOOKS","n-","nr",37
"142","012JP00","LL","LL",1959,11,"5x5",4,7.5,-37.5,16410,"NO.HOOKS","n-","nr",16
"143","012JP00","LL","LL",1959,11,"5x5",4,7.5,-47.5,182816,"NO.HOOKS","n-","nr",8
"144","012JP00","LL","LL",1959,11,"5x5",4,7.5,-52.5,54864,"NO.HOOKS","n-","nr",2
"145","012JP00","LL","LL",1959,11,"5x5",4,12.5,-32.5,11347,"NO.HOOKS","n-","nr",6
"146","012JP00","LL","LL",1959,11,"5x5",4,12.5,-57.5,176807,"NO.HOOKS","n-","nr",20
"147","012JP00","LL","LL",1959,12,"5x5",3,-7.5,-27.5,90941,"NO.HOOKS","n-","nr",10
"148","012JP00","LL","LL",1959,12,"5x5",3,-7.5,-32.5,47859,"NO.HOOKS","n-","nr",2
"149","012JP00","LL","LL",1959,12,"5x5",3,-12.5,-17.5,159865,"NO.HOOKS","n-","nr",47
"150","012JP00","LL","LL",1959,12,"5x5",3,-12.5,-22.5,178837,"NO.HOOKS","n-","nr",2
"151","012JP00","LL","LL",1959,12,"5x5",3,-12.5,-27.5,358254,"NO.HOOKS","n-","nr",2
"152","012JP00","LL","LL",1959,12,"5x5",3,-17.5,-17.5,211204,"NO.HOOKS","n-","nr",6
"153","012JP00","LL","LL",1959,12,"5x5",3,-17.5,-22.5,216897,"NO.HOOKS","n-","nr",49
"154","012JP00","LL","LL",1959,12,"5x5",4,12.5,-52.5,262630,"NO.HOOKS","n-","nr",33
"155","016MA00","TP","TRAP",1959,17,"1x1",4,34.5,-6.5,7,"NO.TRAPS","-w","kg",5378000
"156","021ES00","TP","TRAP",1959,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","kg",4738000
"157","021ES00","TP","TRAP",1959,17,"1x1",4,36.5,-5.5,5,"NO.TRAPS","nw","nr",32605
"158","021ES02","BB","BB",1959,17,"1x1",4,44.5,-2.5,3781,"D.AT SEA","-w","kg",1021000
"159","023TN00","TP","TRAP",1959,5,"5x5",1,37.5,12.5,40,"TRAP D","nw","kg",17100
"160","023TN00","TP","TRAP",1959,5,"5x5",1,37.5,12.5,40,"TRAP D","nw","nr",209
"161","023TN00","TP","TRAP",1959,6,"5x5",1,37.5,12.5,53,"TRAP D","nw","kg",62200
"162","023TN00","TP","TRAP",1959,6,"5x5",1,37.5,12.5,53,"TRAP D","nw","nr",611
"163","023TN00","TP","TRAP",1959,7,"5x5",1,37.5,12.5,10,"TRAP D","nw","kg",5200
"164","023TN00","TP","TRAP",1959,7,"5x5",1,37.5,12.5,10,"TRAP D","nw","nr",102
"165","026YU00","PS","PS",1959,17,"5x5",1,42.5,17.5,27,"NO.BOATS","-w","kg",224000
"166","004CA00","RR","RR",1960,17,"1x1",4,48.5,-53.5,5,"NO.BOATS","n-","nr",11
"167","008FR00","BB","BB",1960,17,"1x1",4,44.5,-2.5,3500,"D.AT SEA","-w","kg",553000
"168","012JP00","LL","LL",1960,1,"5x5",3,-7.5,-32.5,220852,"NO.HOOKS","n-","nr",176
"169","012JP00","LL","LL",1960,1,"5x5",3,-12.5,-22.5,38793,"NO.HOOKS","n-","nr",9
"170","012JP00","LL","LL",1960,1,"5x5",3,-12.5,-27.5,102845,"NO.HOOKS","n-","nr",17
"171","012JP00","LL","LL",1960,2,"5x5",3,-7.5,-32.5,188944,"NO.HOOKS","n-","nr",8
"172","012JP00","LL","LL",1960,3,"5x5",3,-7.5,-32.5,58007,"NO.HOOKS","n-","nr",21
"173","012JP00","LL","LL",1960,3,"5x5",4,2.5,-2.5,7397,"NO.HOOKS","n-","nr",11
"174","012JP00","LL","LL",1960,3,"5x5",4,7.5,-12.5,4824,"NO.HOOKS","n-","nr",63
"175","012JP00","LL","LL",1960,4,"5x5",1,2.5,2.5,216812,"NO.HOOKS","n-","nr",20
"176","012JP00","LL","LL",1960,4,"5x5",2,-2.5,2.5,526990,"NO.HOOKS","n-","nr",27
"177","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-2.5,16605,"NO.HOOKS","n-","nr",1
"178","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-7.5,16884,"NO.HOOKS","n-","nr",78
"179","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-12.5,10184,"NO.HOOKS","n-","nr",27
"180","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-17.5,2519,"NO.HOOKS","n-","nr",20
"181","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-27.5,8994,"NO.HOOKS","n-","nr",1
"182","012JP00","LL","LL",1960,4,"5x5",3,-2.5,-32.5,29681,"NO.HOOKS","n-","nr",244
"183","012JP00","LL","LL",1960,4,"5x5",3,-7.5,-32.5,48106,"NO.HOOKS","n-","nr",628
"184","012JP00","LL","LL",1960,4,"5x5",4,2.5,-2.5,52153,"NO.HOOKS","n-","nr",386
"185","012JP00","LL","LL",1960,4,"5x5",4,2.5,-7.5,226878,"NO.HOOKS","n-","nr",101
"186","012JP00","LL","LL",1960,4,"5x5",4,2.5,-12.5,154186,"NO.HOOKS","n-","nr",200
"187","012JP00","LL","LL",1960,4,"5x5",4,7.5,-12.5,81692,"NO.HOOKS","n-","nr",7
"188","012JP00","LL","LL",1960,5,"5x5",3,-2.5,-17.5,68415,"NO.HOOKS","n-","nr",43
"189","012JP00","LL","LL",1960,5,"5x5",3,-2.5,-22.5,147920,"NO.HOOKS","n-","nr",12
"190","012JP00","LL","LL",1960,5,"5x5",3,-2.5,-27.5,44567,"NO.HOOKS","n-","nr",154
"191","012JP00","LL","LL",1960,5,"5x5",3,-7.5,-12.5,2412,"NO.HOOKS","n-","nr",3
"192","012JP00","LL","LL",1960,5,"5x5",4,2.5,-17.5,59496,"NO.HOOKS","n-","nr",302
"193","012JP00","LL","LL",1960,5,"5x5",4,7.5,-22.5,185645,"NO.HOOKS","n-","nr",5
"194","012JP00","LL","LL",1960,6,"5x5",4,7.5,-22.5,218331,"NO.HOOKS","n-","nr",7
"195","012JP00","LL","LL",1960,6,"5x5",4,7.5,-27.5,446552,"NO.HOOKS","n-","nr",1
"196","012JP00","LL","LL",1960,6,"5x5",4,7.5,-32.5,107321,"NO.HOOKS","n-","nr",1
"197","012JP00","LL","LL",1960,6,"5x5",4,12.5,-22.5,439000,"NO.HOOKS","n-","nr",42
"198","012JP00","LL","LL",1960,6,"5x5",4,12.5,-27.5,103118,"NO.HOOKS","n-","nr",1
"199","012JP00","LL","LL",1960,6,"5x5",4,12.5,-32.5,13011,"NO.HOOKS","n-","nr",1
"200","012JP00","LL","LL",1960,7,"5x5",4,12.5,-22.5,605617,"NO.HOOKS","n-","nr",31
"201","012JP00","LL","LL",1960,8,"5x5",4,7.5,-27.5,42572,"NO.HOOKS","n-","nr",3
"202","012JP00","LL","LL",1960,8,"5x5",4,12.5,-32.5,116962,"NO.HOOKS","n-","nr",1
"203","012JP00","LL","LL",1960,9,"5x5",3,-7.5,-27.5,4824,"NO.HOOKS","n-","nr",1
"204","012JP00","LL","LL",1960,9,"5x5",4,2.5,-37.5,11444,"NO.HOOKS","n-","nr",11
"205","012JP00","LL","LL",1960,9,"5x5",4,7.5,-32.5,86276,"NO.HOOKS","n-","nr",931
"206","012JP00","LL","LL",1960,9,"5x5",4,7.5,-37.5,426072,"NO.HOOKS","n-","nr",149
"207","012JP00","LL","LL",1960,9,"5x5",4,7.5,-42.5,145583,"NO.HOOKS","n-","nr",1
"208","012JP00","LL","LL",1960,9,"5x5",4,7.5,-52.5,56698,"NO.HOOKS","n-","nr",1
"209","012JP00","LL","LL",1960,9,"5x5",4,12.5,-32.5,41607,"NO.HOOKS","n-","nr",444
"210","012JP00","LL","LL",1960,9,"5x5",4,12.5,-37.5,105160,"NO.HOOKS","n-","nr",1
"211","012JP00","LL","LL",1960,9,"5x5",4,12.5,-47.5,63261,"NO.HOOKS","n-","nr",1
